model,region,year,area,lai,tas,pr,gpp,pct_growth_gpp
MIROC-ES2L,Afghanistan,1850,641668456448.0,85977536805.57384,15.283038650513275,0.5567299130638274,0.1896521791097428,
MIROC-ES2L,Afghanistan,1851,641668456448.0,89348494528.82199,15.890120622931015,0.06400745283391279,0.23466895161914117,0.21298404622227807
MIROC-ES2L,Afghanistan,1852,641668456448.0,84871450915.06729,15.34704242649826,-0.0786135776253391,0.2110153418504648,-0.10624496343132894
MIROC-ES2L,Afghanistan,1853,641668456448.0,79368254754.84938,14.693605747580797,0.25606397166371136,0.21422682317008843,0.015104534032781558
MIROC-ES2L,Afghanistan,1854,641668456448.0,82689714437.72818,14.560683641962552,0.21757054127711956,0.1653267622462698,-0.25911148226858827
MIROC-ES2L,Afghanistan,1855,641668456448.0,76538671755.33844,14.453698406643246,0.31543031050816633,0.17756855008927255,0.07143283925760313
MIROC-ES2L,Afghanistan,1856,641668456448.0,77133929555.17897,15.5475368536645,0.03452667705031156,0.13587791176013064,-0.26759995713724694
MIROC-ES2L,Afghanistan,1857,641668456448.0,82989396474.76468,15.366165327427197,0.1905127191395931,0.21083797017390804,0.4393331497023123
MIROC-ES2L,Afghanistan,1858,641668456448.0,84443894339.13515,15.852282781969379,0.178943564679398,0.27024782420150406,0.24824948081719667
MIROC-ES2L,Afghanistan,1859,641668456448.0,85954955326.65793,15.428904875755302,0.28963943745914766,0.28483776476177664,0.052580366307827475
MIROC-ES2L,Afghanistan,1860,641668456448.0,91934563204.4603,14.75205824013139,0.43716277761012207,0.30352813477235235,0.06355453552872059
MIROC-ES2L,Afghanistan,1861,641668456448.0,91724044397.68303,14.012466767679108,0.3726171263129413,0.264724092786074,-0.13678618295964884
MIROC-ES2L,Afghanistan,1862,641668456448.0,91591056043.05553,15.949150278998934,-0.2282194164329849,0.17567009631891323,-0.4100803409857965
MIROC-ES2L,Afghanistan,1863,641668456448.0,92036078389.71446,15.703243593892372,0.13289362431225285,0.22614485395541972,0.2525679573393247
MIROC-ES2L,Afghanistan,1864,641668456448.0,92088757814.61023,15.59303358365803,0.06384771220038797,0.28030016671991714,0.21468531230249432
MIROC-ES2L,Afghanistan,1865,641668456448.0,97198802391.21591,16.27189578170462,0.24640469288081512,0.22198374318883185,-0.23325690264978682
MIROC-ES2L,Afghanistan,1866,641668456448.0,89516428568.28726,14.869082746497611,0.3234788559339622,0.2185483619858142,-0.015596823947886973
MIROC-ES2L,Afghanistan,1867,641668456448.0,88841359833.63039,14.702204276304638,0.12944199689862806,0.19023981731797818,-0.13872185369323176
MIROC-ES2L,Afghanistan,1868,641668456448.0,78034574488.49844,13.89127850117151,0.023425557119405672,0.1873491010008547,-0.015311745943385136
MIROC-ES2L,Afghanistan,1869,641668456448.0,79660406434.17746,14.826706963990429,0.3485696377717765,0.19536275737544878,0.04188439786520659
MIROC-ES2L,Afghanistan,1870,641668456448.0,86974069870.52988,15.283503898959358,0.301274369752633,0.25039626584809527,0.24818660177504293
