Country,Year,Temperature,Precipitation
Actaeon Group,1901,24.5,1701.8
Actaeon Group,1902,24.5,1701.8
Actaeon Group,1903,24.6,1701.8
Actaeon Group,1904,24.5,1701.8
Actaeon Group,1905,24.5,1701.8
Actaeon Group,1906,24.5,1701.8
Actaeon Group,1907,24.5,1701.8
Actaeon Group,1908,24.5,1701.8
Actaeon Group,1909,24.5,1701.8
Actaeon Group,1910,24.5,1701.8
Actaeon Group,1911,24.5,1701.8
Actaeon Group,1912,24.5,1701.8
Actaeon Group,1913,24.5,1701.8
Actaeon Group,1914,24.5,1701.8
Actaeon Group,1915,24.5,1701.8
Actaeon Group,1916,24.5,1701.8
Actaeon Group,1917,24.5,1701.8
Actaeon Group,1918,24.5,1701.8
Actaeon Group,1919,24.5,1701.8
Actaeon Group,1920,24.5,1701.8
Actaeon Group,1921,24.5,1701.8
Actaeon Group,1922,24.5,1701.8
Actaeon Group,1923,24.5,1701.8
Actaeon Group,1924,24.5,1701.8
Actaeon Group,1925,24.5,1701.8
Actaeon Group,1926,24.5,1701.8
Actaeon Group,1927,24.5,1701.8
Actaeon Group,1928,24.5,1701.8
Actaeon Group,1929,24.5,1701.8
Actaeon Group,1930,24.5,1701.8
Actaeon Group,1931,24.5,1701.8
Actaeon Group,1932,24.5,1701.8
Actaeon Group,1933,24.5,1701.8
Actaeon Group,1934,24.5,1701.8
Actaeon Group,1935,24.5,1701.8
Actaeon Group,1936,24.5,1701.8
Actaeon Group,1937,24.5,1701.8
Actaeon Group,1938,24.5,1701.8
Actaeon Group,1939,24.5,1701.8
Actaeon Group,1940,24.7,1703.6
Actaeon Group,1941,24.7,1704.0
Actaeon Group,1942,24.7,1702.4
Actaeon Group,1943,24.7,1703.6
Actaeon Group,1944,24.6,1705.0
Actaeon Group,1945,24.5,1702.0
Actaeon Group,1946,24.5,1703.1
Actaeon Group,1947,24.6,1705.3
Actaeon Group,1948,24.5,1706.7
Actaeon Group,1949,24.5,1704.3
Actaeon Group,1950,24.5,1698.7
Actaeon Group,1951,24.5,1698.2
Actaeon Group,1952,24.4,1705.9
Actaeon Group,1953,24.4,1702.5
Actaeon Group,1954,24.5,1705.8
Actaeon Group,1955,24.6,1700.2
Actaeon Group,1956,24.7,1704.5
Actaeon Group,1957,24.6,1706.3
Actaeon Group,1958,24.4,1705.4
Actaeon Group,1959,24.5,1708.2
Actaeon Group,1960,24.4,1703.8
Actaeon Group,1961,24.5,1702.6
Actaeon Group,1962,24.3,1706.7
Actaeon Group,1963,24.4,1706.0
Actaeon Group,1964,24.6,1698.7
Actaeon Group,1965,24.4,1702.4
Actaeon Group,1966,24.3,1699.8
Actaeon Group,1967,24.7,1699.6
Actaeon Group,1968,24.3,1698.8
Actaeon Group,1969,24.7,1700.6
Actaeon Group,1970,24.8,1697.5
Actaeon Group,1971,24.7,1695.3
Actaeon Group,1972,24.6,1698.5
Actaeon Group,1973,24.7,1699.2
Actaeon Group,1974,24.6,1700.4
Actaeon Group,1975,24.6,1700.0
Actaeon Group,1976,24.5,1701.6
Actaeon Group,1977,24.5,1705.8
Actaeon Group,1978,24.6,1699.0
Actaeon Group,1979,24.4,1702.3
Actaeon Group,1980,24.6,1697.3
Actaeon Group,1981,24.4,1699.8
Actaeon Group,1982,24.2,1705.1
Actaeon Group,1983,24.2,1701.4
Actaeon Group,1984,24.4,1704.8
Actaeon Group,1985,24.6,1705.2
Actaeon Group,1986,24.4,1705.6
Actaeon Group,1987,24.2,1707.0
Actaeon Group,1988,24.6,1706.4
Actaeon Group,1989,24.6,1702.5
Actaeon Group,1990,24.5,1704.0
Actaeon Group,1991,24.3,1708.1
Actaeon Group,1992,24.4,1702.2
Actaeon Group,1993,24.1,1704.8
Actaeon Group,1994,24.5,1709.7
Actaeon Group,1995,24.5,1707.1
Actaeon Group,1996,24.5,1700.7
Actaeon Group,1997,24.3,1701.3
Actaeon Group,1998,24.5,1702.0
Actaeon Group,1999,24.9,1701.3
Actaeon Group,2000,24.7,1704.3
Actaeon Group,2001,24.5,1704.8
Actaeon Group,2002,24.7,1702.2
Actaeon Group,2003,24.5,1704.0
Actaeon Group,2004,24.3,1701.6
Actaeon Group,2005,24.3,1710.2
Actaeon Group,2006,24.7,1701.6
Actaeon Group,2007,24.5,1705.9
Actaeon Group,2008,24.5,1699.5
Actaeon Group,2009,24.6,1702.4
Actaeon Group,2010,24.6,1699.0
Actaeon Group,2011,24.6,1697.4
Actaeon Group,2012,24.5,1703.9
Actaeon Group,2013,24.2,1701.6
Actaeon Group,2014,24.4,1700.6
Actaeon Group,2015,24.4,1704.0
Actaeon Group,2016,24.4,1705.2
Actaeon Group,2017,24.7,1700.8
Actaeon Group,2018,24.6,1703.4
Actaeon Group,2019,24.1,1711.0
Actaeon Group,2020,24.6,1701.5
Actaeon Group,2021,24.9,1701.7
Actaeon Group,2022,24.6,1702.5
Actaeon Group,2023,24.5,1702.9
Actaeon Group,2024,24.3,1701.0
Afghanistan,1901,12.4,299.6
Afghanistan,1902,12.6,278.8
Afghanistan,1903,11.4,343.3
Afghanistan,1904,11.8,326.4
Afghanistan,1905,11.6,295.8
Afghanistan,1906,12.1,315.0
Afghanistan,1907,11.5,325.2
Afghanistan,1908,11.9,345.3
Afghanistan,1909,12.4,310.2
Afghanistan,1910,11.9,329.9
Afghanistan,1911,11.7,324.0
Afghanistan,1912,12.2,321.2
Afghanistan,1913,12.1,305.9
Afghanistan,1914,12.7,373.4
Afghanistan,1915,13.3,289.3
Afghanistan,1916,11.8,299.4
Afghanistan,1917,12.5,201.7
Afghanistan,1918,11.8,317.8
Afghanistan,1919,11.8,336.3
Afghanistan,1920,11.0,325.2
Afghanistan,1921,11.8,316.2
Afghanistan,1922,12.5,327.3
Afghanistan,1923,11.5,351.9
Afghanistan,1924,11.7,394.4
Afghanistan,1925,12.3,268.2
Afghanistan,1926,12.1,331.9
Afghanistan,1927,12.1,272.9
Afghanistan,1928,11.5,298.1
Afghanistan,1929,11.3,300.0
Afghanistan,1930,11.2,318.5
Afghanistan,1931,11.4,398.1
Afghanistan,1932,11.6,314.4
Afghanistan,1933,11.8,350.7
Afghanistan,1934,11.2,355.5
Afghanistan,1935,11.5,340.5
Afghanistan,1936,12.1,313.2
Afghanistan,1937,11.4,328.1
Afghanistan,1938,12.2,330.2
Afghanistan,1939,12.3,365.2
Afghanistan,1940,12.8,307.2
Afghanistan,1941,13.4,330.3
Afghanistan,1942,12.4,370.4
Afghanistan,1943,11.7,363.3
Afghanistan,1944,12.5,323.7
Afghanistan,1945,11.7,357.0
Afghanistan,1946,12.4,260.2
Afghanistan,1947,12.9,276.2
Afghanistan,1948,12.2,314.7
Afghanistan,1949,11.4,310.7
Afghanistan,1950,11.0,305.4
Afghanistan,1951,11.8,341.8
Afghanistan,1952,12.1,338.7
Afghanistan,1953,12.4,401.6
Afghanistan,1954,11.7,356.4
Afghanistan,1955,12.6,306.2
Afghanistan,1956,12.0,376.6
Afghanistan,1957,11.1,458.0
Afghanistan,1958,12.6,340.8
