# k(t) scatter data
year,k_ApproachQJ,k_ApproachQP
1961,-0.09251083,-0.09191307
1962,-0.08236460,-0.08279875
1963,-0.07822352,-0.07891496
1964,-0.07034051,-0.06982154
1965,-0.07792800,-0.07805594
1966,-0.07516741,-0.07606475
1967,-0.08090858,-0.07988585
1968,-0.06887772,-0.06860908
1969,-0.05829107,-0.06005027
1970,-0.05688662,-0.05778961
1971,-0.06598081,-0.06492089
1972,-0.06370699,-0.06338792
1973,-0.05780433,-0.05825666
1974,-0.06612489,-0.06456702
1975,-0.08896540,-0.08736561
1976,-0.05189015,-0.05083060
1977,-0.06234733,-0.06244446
1978,-0.05968023,-0.05996759
1979,-0.06490654,-0.06584303
1980,-0.07051242,-0.07161799
1981,-0.07639450,-0.07669033
1982,-0.08514567,-0.08470468
1983,-0.08213230,-0.08261112
1984,-0.06344461,-0.06328632
1985,-0.06697552,-0.06757833
1986,-0.06624727,-0.06624186
1987,-0.06362396,-0.06556430
1988,-0.06036810,-0.06052802
1989,-0.06615548,-0.06487857
1990,-0.07395584,-0.07396746
1991,-0.07332380,-0.07342926
1992,-0.06006966,-0.05912772
1993,-0.06609862,-0.06616582
1994,-0.04824472,-0.04788840
1995,-0.02906930,-0.02914335
1996,-0.02873032,-0.02913739
1997,-0.02309004,-0.02326162
1998,-0.03847483,-0.04027334
1999,-0.04153326,-0.04122963
2000,-0.02969869,-0.02896465
2001,-0.03434732,-0.03484968
2002,-0.03257172,-0.03303667
2003,-0.03625806,-0.03684092
2004,-0.01601685,-0.01638203
2005,-0.02279520,-0.02344460
2006,-0.01601334,-0.01611430
2007,-0.01593949,-0.01560378
2008,-0.03322463,-0.03236245
2009,-0.06555086,-0.06605408
2010,-0.02675557,-0.02881072
2011,-0.04419175,-0.04356980
2012,-0.04538146,-0.04538444
2013,-0.05510344,-0.05497870
2014,-0.05304926,-0.05263885
2015,-0.05867561,-0.05901275
2016,-0.05652890,-0.05729692
2017,-0.05312959,-0.05310978
2018,-0.05630971,-0.05582412
2019,-0.06484030,-0.06460423
2020,-0.13608548,-0.13573321
2021,-0.03876319,-0.03904549
2022,-0.05429337,-0.05311803

# j coefficient scatter data
country_idx,iso,j0_ApproachQJ,j0_ApproachQP_pred,j1_ApproachQJ,j1_ApproachQP_pred,j2_ApproachQJ,j2_ApproachQP_pred
0,AFG,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,AGO,0.03489009,0.03466954,0.00038067,0.00038114,-0.00001316,-0.00001232
2,ALB,0.01382492,0.01355997,-0.00010483,-0.00010794,0.00004336,0.00004420
3,ARE,0.04960178,0.05066020,0.00027498,0.00027450,0.00003207,0.00002878
4,ARG,0.00080329,0.00094851,-0.00068385,-0.00068376,0.00002997,0.00002962
5,AUS,0.02751531,0.02780265,-0.00067005,-0.00067034,0.00002170,0.00002090
6,AUT,0.02981205,0.02932883,-0.00126705,-0.00126916,0.00002452,0.00002594
7,BDI,-0.00774686,-0.00780586,-0.00089954,-0.00089897,0.00004253,0.00004286
8,BEL,0.01426721,0.01415965,-0.00119201,-0.00119294,0.00003535,0.00003555
9,BEN,0.04251825,0.04288875,-0.00016825,-0.00016799,0.00004359,0.00004254
10,BFA,0.05016312,0.05036302,-0.00029510,-0.00029460,0.00005121,0.00005070
11,BGD,0.04933095,0.04916602,0.00073795,0.00073790,0.00002905,0.00002968
12,BGR,0.00034299,-0.00019901,-0.00063258,-0.00063610,0.00008055,0.00008218
13,BHR,0.08135134,0.08359936,0.00001622,0.00001267,-0.00001308,-0.00002013
14,BOL,0.01071937,0.01105876,-0.00054200,-0.00054166,0.00004898,0.00004804
15,BRA,0.04508644,0.04550657,-0.00089140,-0.00089151,0.00002540,0.00002423
16,BRB,0.03124421,0.03050021,-0.00138356,-0.00138235,0.00005671,0.00005915
17,BWA,0.07217551,0.07221283,-0.00134171,-0.00134139,-0.00001486,-0.00001491
18,CAF,0.00559275,0.00622601,-0.00062963,-0.00062958,0.00002986,0.00002801
19,CAN,0.06772208,0.06875858,-0.00116211,-0.00116091,0.00003293,0.00002976
20,CHE,0.03166474,0.03122204,-0.00095843,-0.00096017,0.00002341,0.00002471
21,CHL,0.02504043,0.02505403,-0.00041035,-0.00041038,0.00000415,0.00000423
22,CHN,0.05716966,0.05703360,0.00009709,0.00009656,0.00000630,0.00000684
23,CIV,0.01883914,0.01928569,-0.00019323,-0.00019314,0.00009953,0.00009827
24,CMR,0.02707429,0.02792570,-0.00055719,-0.00055713,0.00003830,0.00003577
25,COG,0.04106989,0.04182584,-0.00120228,-0.00120244,-0.00000753,-0.00000976
