# Input data: Maddison_CRU_dataset.csv
Approach,h1,h1_SE,h2,h2_SE,T_optimal,R_squared,Total_R_squared,Adj_R_squared,RMSE,RMS_Imbalance,RMS_h_T,Imbalance_Ratio,n_obs,n_params,rms_j,rms_k,rms_dy,var_frac_h,var_frac_j,var_frac_k,var_frac_resid,cov_frac_hj,cov_frac_hk,cov_frac_jk,beta,beta_SE,Y_ref
Conjoined OLS Fit,0.014201645761906582,0.0030869165924838687,-0.0004340071550819509,9.920124477633649e-05,16.36107330906212,0.19624833559880805,0.19624833559880805,0.14814282006713164,0.05809821017601363,0.03471233235598518,0.08890243483343716,0.39045423695110654,9404,532,0.05730162017453985,0.11173768538772728,0.06480399960686628,0.1751777819482847,0.3151083052030186,0.12185899920893459,0.8037516644011921,-0.3384464754170662,-0.004593780305093529,-0.07290072525844543,,,
Linear Temperature Detrending,0.015525263846372546,0.003115365930041967,-0.00045316872007555354,9.870605688927163e-05,17.12967285538169,0.09269647451111607,0.09269647451111607,0.08657654709079499,0.06172741781496475,0.12628350935364022,0.10576139060487771,1.194041687910787,9404,64,0.0,0.027756285957462847,0.06480399960686628,0.20749075542770348,0.0,0.09207983495106428,0.9073035254888839,0.0,-0.00040110324736225886,0.0,,,
Quadratic GDP Growth Detrending,0.0001345016780290396,0.00031828405630613836,-4.530034100692612e-06,9.722248219422121e-06,14.845548073079096,0.09510159303926091,0.19181481923001786,0.08899788858117463,0.05825822548283957,0.03429573453281316,0.0006893106420721596,49.75367046374856,9404,64,0.028803259017082184,0.018896664247894022,0.06480399960686628,2.0314463690006075e-05,0.10687744109925593,0.08493609358571542,0.808185180769982,0.0001518958003038784,-1.90319424577689e-05,0.0032991370440854885,,,
Combined Detrending (Mixed),0.013942882387476176,0.0029366834556666358,-0.0004085191816677266,9.304475003901352e-05,17.065150197545396,0.097311977023948,0.1937889630305749,0.09122318200815671,0.058187028660157104,0.11689727520166637,0.09434962867605458,1.2389797060360266,9404,64,0.028803259017082184,0.019091775777100355,0.06480399960686628,0.16701381017145928,0.10687744109925593,0.08679278078863055,0.8062110369694251,0.0004543037241011233,-0.0013249898610652095,0.003067067120931623,,,
Combined Linear Detrending,0.0160782647195618,0.0029782824171487817,-0.000457974830515825,9.436275554809219e-05,17.55365540662199,0.09622494535841364,0.1707867724152362,0.09012881811618456,0.059011264571359495,0.13590186838217566,0.11423872583211081,1.1896304636827073,9404,64,0.02696766642702666,0.019187848425446727,0.06480399960686628,0.22790325722213975,0.08250042604505359,0.08766821940842644,0.8292132275847638,-0.0034941630373787314,-0.0009232720567114393,0.0035333621784896883,,,
Combined Quadratic Detrending,0.014176960830015732,0.0030146895328079593,-0.00042404473595582714,9.686062284268302e-05,16.716350455406374,0.09728045117840756,0.19376080658673434,0.09119144351505004,0.05818804472507394,0.1150216153070956,0.09241137099388856,1.2446695040884344,9404,64,0.028803259017082184,0.019100061056949186,0.06480399960686628,0.17224153551758126,0.10687744109925593,0.08686821158547084,0.8062391934132658,0.0026318442524605034,-0.0015306330070001283,0.003218370580357201,,,
Precomputed k Linear,0.013674820910414292,0.0027889098398860964,-0.00038838559511533146,8.58224488438605e-05,17.60469631520904,0.0026061679442589414,0.17056317877395344,0.002500084788328749,0.0590192200969956,0.11955725557388687,0.09763592505088138,1.2245211535772467,9404,2,0.018118185763255593,0.027562825402737932,0.06480399960686628,0.16552045598026777,0.07816742305192018,0.0902284557189722,0.8294358411368589,-0.0052513688128673335,0.0007018910356645854,0.0032423780040588763,,,
Precomputed k Quadratic,0.012240773828420544,0.0028157688992907835,-0.0003524069130220679,8.722927363296958e-05,17.36738607572948,0.002061215431057861,0.1958253408853492,0.0019550743137882742,0.058113495993990336,0.10811775338630035,0.08541058628476624,1.2658589302481364,9404,2,0.020892218939372483,0.027562825402737932,0.06480399960686628,0.13043884235750478,0.10393588426906358,0.0902284557189722,0.8041739671041278,-0.002844994697289056,0.00046797650516954996,-0.0014390611548376776,,,
GDP-Response Quadratic,0.007555349493783114,0.0012801194336996891,-0.00018005145083390713,2.9770684085457624e-05,20.981084736586574,0.00395536209609626,0.1973517118133299,0.003743460247802699,0.058058318377686116,0.3010985712339556,0.28772977752922996,1.0464630175560037,9404,3,0.020892218939372483,0.027562825402737932,0.06480399960686628,8.393072153161208,0.10393588426906358,0.0902284557189722,0.8026475894550718,-0.47843518768202636,0.039387905619676616,-0.0014390611548376776,0.6928130076248117,0.15136263169713557,19834.649054620244
Precomputed k LOESS,0.014978311137094021,0.0027935079499501626,-0.00046907069268030795,8.807559071485926e-05,15.965942203196215,0.0006526301653105859,0.2318641432939773,0.0005463392304206893,0.056796402725191236,0.11508123294885529,0.08937957083046144,1.2875563384293458,9404,2,0.02366481266825613,0.027562825402737932,0.06480399960686628,0.2019190024824612,0.13131092337842015,0.0902284557189722,0.7662584687027519,0.01457841550875275,-0.0007046992894239847,-0.011979884116333356,,,
GDP-Response LOESS,0.009880681358754017,0.0014983280858501477,-0.0002372911835100357,3.567892608454672e-05,20.81973972357076,0.002219460062205969,0.23306846749744559,0.0020071889123415287,0.05675186105088719,0.318235069607041,0.30196125165578386,1.0538937292848694,9404,3,0.02366481266825613,0.027562825402737932,0.06480399960686628,8.18991253556117,0.13131092337842015,0.0902284557189722,0.7650858092102001,-0.5236447069560454,0.03822734716934344,-0.011979884116333356,0.6103066761266511,0.1375718515120335,19834.649054620244
