# Input data: Maddison_CRU_dataset.csv
Approach,h1,h1_SE,h2,h2_SE,T_optimal,R_squared,Total_R_squared,Adj_R_squared,RMSE,RMS_Imbalance,RMS_h_T,Imbalance_Ratio,n_obs,n_params,beta,beta_SE,Y_ref
Conjoined OLS Fit,0.014201645761909711,0.00308691659248499,-0.0004340071550820143,9.920124477637324e-05,16.361073309063332,0.19624833559880783,0.19624833559880783,0.14814282006713142,0.05809821017601363,0.03471233235598166,0.08890243483346941,0.3904542369509253,9404,532,,,
Combined Detrending (Mixed),0.01394288238747618,0.002936683455666634,-0.00040851918166772723,9.304475003901348e-05,17.065150197545375,0.097311977023948,0.1937889630305748,0.09122318200815671,0.058187028660157104,0.11689727520166616,0.09434962867605438,1.238979706036027,9404,64,,,
Linear Temperature Detrending,0.015525263846372546,0.003115365930041966,-0.00045316872007555354,9.870605688927159e-05,17.12967285538169,0.09269647451111585,0.09269647451111585,0.08657654709079476,0.06172741781496475,0.12628350935364022,0.1057613906048777,1.194041687910787,9404,64,,,
Quadratic GDP Growth Detrending,0.0001345016780290396,0.00031828405630613955,-4.530034100692611e-06,9.722248219422155e-06,14.845548073079101,0.09510159303926102,0.19181481923001786,0.08899788858117463,0.05825822548283957,0.03429573453281316,0.00068931064207216,49.75367046374853,9404,64,,,
Combined Quadratic Detrending,0.014176960830015732,0.0030146895328079593,-0.0004240447359558272,9.6860622842683e-05,16.71635045540637,0.09728045117840745,0.1937608065867341,0.09119144351504982,0.05818804472507394,0.11502161530709558,0.09241137099388855,1.2446695040884344,9404,64,,,
Precomputed k Quadratic,0.012240773828420544,0.0028157688992907835,-0.0003524069130220679,8.722927363296958e-05,17.36738607572948,0.00206121543105775,0.1958253408853491,0.001955074313788052,0.058113495993990336,0.10811775338630035,0.08541058628476622,1.2658589302481367,9404,2,,,
Precomputed k Linear Temp,0.013626764237650371,0.0029173932337593056,-0.00038663256985892983,8.977623728845915e-05,17.62236978977528,0.002364359770347102,0.09237948295847687,0.002258250895615155,0.061738199962663,0.11803574607582325,0.09745596568624323,1.2111700422305192,9404,2,,,
Precomputed k GDP Only,4.280074293702354e-05,0.0001551676472625866,-1.752085515416014e-06,6.38416046029754e-06,12.214227719033724,8.129792951727666e-06,0.1941708912651049,-9.822969122263991e-05,0.058173244489075696,0.034498570662066165,0.00016586883497939558,207.9870559550962,9404,2,,,
Precomputed k Combined,0.011726960789507322,0.0027462096066547307,-0.0003366683336580365,8.450844488083909e-05,17.416192164688002,0.001989193077229001,0.19576730270431586,0.0018830442996367047,0.058115593014028355,0.10503561087344832,0.08221951081940085,1.2775022598244854,9404,2,,,
Precomputed k LOESS,0.014978311137094021,0.0027935079499501643,-0.00046907069268030795,8.807559071485931e-05,15.965942203196215,0.000652630165310697,0.2318641432939773,0.0005463392304209114,0.05679640272519123,0.11508123294885529,0.08937957083046144,1.2875563384293458,9404,2,,,
GDP-Response LOESS,0.009880681359011474,0.0014983280858894825,-0.00023729118351716833,3.567892608564e-05,20.819739723487437,0.002219460062205969,0.23306846749744548,0.0020071889123415287,0.05675186105088719,0.31823506960146486,0.30196125164998244,1.0538937292866508,9404,3,0.6103066761107258,0.13757185150485574,19834.649054620244
