# Input data: Maddison_CRU_dataset.csv
Approach,h1,h1_SE,h2,h2_SE,T_optimal,R_squared,Total_R_squared,Adj_R_squared,RMSE,RMS_Imbalance,RMS_h_T,Imbalance_Ratio,n_obs,n_params,beta,beta_SE,Y_ref,T_opt,T_opt_SE
0: Conjoined OLS Fit,0.014201645761906582,0.0030869165924838687,-0.0004340071550819509,9.920124477633649e-05,16.36107330906212,0.19624833559880805,0.19624833559880805,0.14814282006713164,0.05809821017601363,0.03471233235598518,0.08890243483343716,0.39045423695110654,9404,532,,,,,
1: Combined Detrending (Mixed),0.013942882387476176,0.0029366834556666358,-0.0004085191816677266,9.304475003901352e-05,17.065150197545396,0.097311977023948,0.1937889630305749,0.09122318200815671,0.058187028660157104,0.11689727520166637,0.09434962867605458,1.2389797060360266,9404,64,,,,,
2: Linear Temperature Detrending,0.015525263846372546,0.003115365930041967,-0.00045316872007555354,9.870605688927163e-05,17.12967285538169,0.09269647451111607,0.09269647451111607,0.08657654709079499,0.06172741781496475,0.12628350935364022,0.10576139060487771,1.194041687910787,9404,64,,,,,
3: Quadratic GDP Growth Detrending,0.0001345016780290396,0.00031828405630613836,-4.530034100692612e-06,9.722248219422121e-06,14.845548073079096,0.09510159303926091,0.19181481923001786,0.08899788858117463,0.05825822548283957,0.03429573453281316,0.0006893106420721596,49.75367046374856,9404,64,,,,,
4: Combined Quadratic Detrending,0.014176960830015732,0.0030146895328079593,-0.00042404473595582714,9.686062284268302e-05,16.716350455406374,0.09728045117840756,0.19376080658673434,0.09119144351505004,0.05818804472507394,0.1150216153070956,0.09241137099388856,1.2446695040884344,9404,64,,,,,
5: Precomputed k Quadratic,0.012240773828420544,0.0028157688992907835,-0.0003524069130220679,8.722927363296958e-05,17.36738607572948,0.002061215431057861,0.1958253408853492,0.0019550743137882742,0.058113495993990336,0.10811775338630035,0.08541058628476624,1.2658589302481364,9404,2,,,,,
5a: Precomputed k Linear Temp,0.013626764237650371,0.0029173932337593065,-0.00038663256985892983,8.977623728845917e-05,17.62236978977528,0.002364359770347435,0.0923794829584772,0.002258250895615599,0.06173819996266299,0.11803574607582325,0.09745596568624323,1.2111700422305192,9404,2,,,,,
5b: Precomputed k GDP Only,4.280074293702354e-05,0.00015516764726258652,-1.752085515416014e-06,6.384160460297536e-06,12.214227719033724,8.12979295194971e-06,0.19417089126510512,-9.822969122219583e-05,0.05817324448907569,0.034498570662066165,0.00016586883497939558,207.9870559550962,9404,2,,,,,
5c: Precomputed k Combined,0.011726960789507322,0.002746209606654732,-0.0003366683336580365,8.450844488083912e-05,17.416192164688002,0.001989193077229112,0.19576730270431597,0.0018830442996369268,0.058115593014028355,0.10503561087344832,0.08221951081940085,1.2775022598244854,9404,2,,,,,
5d: Precomputed k GDP Response,-3.664415576302981e-08,6.084168558749238e-09,0.0,0.0,,0.003842981812130386,0.19726115177302794,0.003737030204154612,0.05806159354529941,0.03457734775573276,0.003606278114155736,9.58809793953666,9404,2,3.8420568191246063,0.438560291104888,19834.649054620244,,
6: Precomputed k LOESS,0.014978311137094021,0.0027935079499501626,-0.00046907069268030795,8.807559071485926e-05,15.965942203196215,0.0006526301653105859,0.2318641432939773,0.0005463392304206893,0.056796402725191236,0.11508123294885529,0.08937957083046144,1.2875563384293458,9404,2,,,,,
7: GDP-Response LOESS,1.3365763483086776e-12,1.6309284164826475e-12,-3.3523127984909037e-15,3.870660232521752e-14,199.3513774893498,-0.001920215774181111,0.22988655744189168,-0.0021333676124482004,0.056869467640640305,0.3042316711313678,0.30151558704777054,1.009008105054174,9404,3,6.865164835526688,1.737764075736755,19834.649054620244,,
8: Gaussian LOESS,0.0,0.0,2.042656658364994,0.3511540862307371,17.22933032518267,0.000938542682205834,0.23208390637410092,0.0007259990257187932,0.056788277440336654,0.2151643116502654,0.003406615553273469,63.16072603012415,9404,3,12.56106772252171,4.351729036713985,,17.22933032518267,1.8941469305957195
nocr0: No Climate Response (Joint),0.0,0.0,0.0,0.0,,0.19424619015909983,0.19424619015909983,0.14621331147915428,0.05817052649139099,,,,9404,530,,,,,
nocr5: No Climate Response (Precomputed k),0.0,0.0,0.0,0.0,,0.19416433998803584,0.19416433998803584,0.14583781861205058,0.05817348095873405,,,,9404,533,,,,,
