# Input data: Maddison_CRU_dataset.csv
Approach,h1,h1_SE,h2,h2_SE,T_opt,T_opt_SE,h4,h4_SE,R_squared,Total_R_squared,Adj_R_squared,RMSE,RMS_Imbalance,RMS_h_T,Imbalance_Ratio,n_obs,n_params
Approach NJ: No Climate Response (Joint),0.0,0.0,0.0,0.0,,,,,0.1856673502562165,0.1856673502562165,0.13820350358172218,0.05659997385210653,,,,8680,479
Approach NP: No Climate Response (Precomputed k),0.0,0.0,0.0,0.0,,,,,0.1856673502562165,0.1856673502562165,0.13788813526149102,0.05659997385210653,,,,8680,482
Approach NL: No Climate Response (LOESS Precomputed k),0.0,0.0,0.0,0.0,,,,,0.18566735025621617,0.18566735025621617,0.17990333405357395,0.05659997385210654,,,,8680,62
Approach QJ: Quadratic (Joint OLS),0.008071028777755417,0.0034244384661098427,-0.00027720242123014895,0.00010265005898994661,14.558005557704702,,,,0.18639293452791938,0.18639293452791938,0.13876134635538628,0.05657475246194125,0.033735758985297994,0.03906985585133874,0.8634728296327212,8680,481
Approach QP: Quadratic (Polynomial Detrending),0.006627829238296455,0.00306079086064356,-0.00021482203994184926,8.762611883301394e-05,15.42632506443603,,,,0.00069397271103111,0.18623247489284034,0.0005788187553628088,0.056580331024969364,0.06220060598782171,0.03667487817835653,1.6960003434865951,8680,2
Approach QL: Quadratic (LOESS Detrending),0.007911756899983607,0.0031362954989210853,-0.00025746146006771034,9.010933282113911e-05,15.364934421452588,,,,0.0009430819651529143,0.18643533269182466,0.0008279567153216538,0.05657327834932607,0.06782713577621739,0.043388504942528536,1.5632512774076852,8680,2
Approach PJ: Piecewise (Joint OLS),0.0,0.0,-0.0001275514243508074,7.410084054424632e-05,22.785919387927915,0.9925239276384243,-0.0012598935581561188,0.00048324844810620284,0.18661318713062258,0.18661318713062258,0.13899449336585845,0.05656709423204411,0.03374859849811581,0.023070722596469754,1.4628323129887562,8680,3
Approach PP: Piecewise (Polynomial Detrending),0.0,0.0,-0.00016155073139400287,0.00010519692997813653,16.59324127821702,3.29972266462116,-0.00030893675069666157,0.00015046810359472832,0.0007569577595730737,0.1862837656743137,0.0005266378235949665,0.05657854790200466,0.03114990034522742,0.0015572274592066688,20.003436338771454,8680,3
Approach PL: Piecewise (LOESS Detrending),0.0,0.0,-0.00018979185326526695,0.00010527216494994464,16.83581588412889,4.040061312883118,-0.0003854001727049473,0.00016031486342937338,0.0010394374460420686,0.18651379810589452,0.0008091826200530283,0.05657055013795761,0.031719526866276646,0.0018248005775889148,17.382462092480946,8680,3
Approach DJ: Decay (Joint OLS),0.009328600123371156,0.0029234997514288106,-0.0002668950703738369,8.929281788813e-05,17.476156660189886,,,,0.18670681712372406,0.18670681712372406,0.1390936048075132,0.056563838383175,0.08990269337084895,0.0021837530273049618,41.168892382395775,8680,3
Approach DP: Decay (Polynomial Detrending),0.008172234390157726,0.0026664930331428776,-0.0002214722359712675,7.749228211266492e-05,18.449794292088928,,,,0.0011071128925219664,0.18656890843154939,0.000876873665344835,0.05656863389510272,0.08730569835745226,0.0018832682498727833,46.358610019231115,8680,3
Approach DL: Decay (LOESS Detrending),0.00800607994915594,0.0026813898552497046,-0.0002140089965969456,7.778089789813213e-05,18.705007911966923,,,,0.0010444550622003002,0.18651788411455605,0.0008142013927436853,0.05657040806545068,0.08699670517062938,0.0018291996521803153,47.55998344244906,8680,3
