# Input data: Maddison_CRU_dataset.csv
Approach,h1,h1_SE,h2,h2_SE,T_opt,R_squared,Total_R_squared,Adj_R_squared,RMSE,RMS_Imbalance,RMS_h_T,Imbalance_Ratio,n_obs,n_params,f1,f1_SE,Y_ref,h3,h3_SE,h4,h4_SE,f2,T_opt_SE
0: Conjoined OLS Fit,0.014201645761906582,0.0030869165924838687,-0.0004340071550819509,9.920124477633649e-05,16.36107330906212,0.19624833559880805,0.19624833559880805,0.14814282006713164,0.05809821017601363,0.03471233235598518,0.08890243483343716,0.39045423695110654,9404,532,,,,,,,,,
1: Combined Detrending (Mixed),0.013942882387476176,0.0029366834556666358,-0.0004085191816677266,9.304475003901352e-05,17.065150197545396,0.097311977023948,0.1937889630305749,0.09122318200815671,0.058187028660157104,0.11689727520166637,0.09434962867605458,1.2389797060360266,9404,64,,,,,,,,,
2: Linear Temperature Detrending,0.015525263846372546,0.003115365930041967,-0.00045316872007555354,9.870605688927163e-05,17.12967285538169,0.09269647451111607,0.09269647451111607,0.08657654709079499,0.06172741781496475,0.12628350935364022,0.10576139060487771,1.194041687910787,9404,64,,,,,,,,,
3: Quadratic GDP Growth Detrending,0.0001345016780290396,0.00031828405630613836,-4.530034100692612e-06,9.722248219422121e-06,14.845548073079096,0.09510159303926091,0.19181481923001786,0.08899788858117463,0.05825822548283957,0.03429573453281316,0.0006893106420721596,49.75367046374856,9404,64,,,,,,,,,
4: Combined Quadratic Detrending,0.014176960830015732,0.0030146895328079593,-0.00042404473595582714,9.686062284268302e-05,16.716350455406374,0.09728045117840756,0.19376080658673434,0.09119144351505004,0.05818804472507394,0.1150216153070956,0.09241137099388856,1.2446695040884344,9404,64,,,,,,,,,
5: Precomputed k Quadratic,0.012240773828420544,0.0028157688992907835,-0.0003524069130220679,8.722927363296958e-05,17.36738607572948,0.002061215431057861,0.1958253408853492,0.0019550743137882742,0.058113495993990336,0.10811775338630035,0.08541058628476624,1.2658589302481364,9404,2,,,,,,,,,
5a: Precomputed k Linear Temp,0.013626764237650371,0.0029173932337593065,-0.00038663256985892983,8.977623728845917e-05,17.62236978977528,0.002364359770347435,0.0923794829584772,0.002258250895615599,0.06173819996266299,0.11803574607582325,0.09745596568624323,1.2111700422305192,9404,2,,,,,,,,,
5b: Precomputed k GDP Only,4.280074293702354e-05,0.00015516764726258652,-1.752085515416014e-06,6.384160460297536e-06,12.214227719033724,8.12979295194971e-06,0.19417089126510512,-9.822969122219583e-05,0.05817324448907569,0.034498570662066165,0.00016586883497939558,207.9870559550962,9404,2,,,,,,,,,
5c: Precomputed k Combined,0.011726960789507322,0.002746209606654732,-0.0003366683336580365,8.450844488083912e-05,17.416192164688002,0.001989193077229112,0.19576730270431597,0.0018830442996369268,0.058115593014028355,0.10503561087344832,0.08221951081940085,1.2775022598244854,9404,2,,,,,,,,,
5d: Precomputed k GDP Response,-3.664415576302981e-08,6.084168558749238e-09,0.0,0.0,,0.003842981812130386,0.19726115177302794,0.003737030204154612,0.05806159354529941,0.03457734775573276,0.003606278114155736,9.58809793953666,9404,2,3.8420568191246063,0.438560291104888,19834.649054620244,,,,,,
6: Precomputed k LOESS,0.014978311137094021,0.0027935079499501626,-0.00046907069268030795,8.807559071485926e-05,15.965942203196215,0.0006526301653105859,0.2318641432939773,0.0005463392304206893,0.056796402725191236,0.11508123294885529,0.08937957083046144,1.2875563384293458,9404,2,,,,,,,,,
6a: Separate Total/Trend Freq LOESS,0.014343935382205466,0.0027923423925501132,-0.00045488526719015914,8.799599970413198e-05,15.766542045655175,0.0036023613973711344,0.23413141731238618,0.0032843621510085796,0.056712519014343286,0.1121187939703106,0.0044948494097358785,24.94383765726621,9404,4,15.656907003382639,,,0.015053801446929006,0.0027901555407134336,-0.000480739952139866,8.806370795693125e-05,,
6b: Trend Freq Only LOESS,0.0,0.0,0.0,0.0,,0.0005337351048217975,0.23177275609278647,0.00042743152421187425,0.05679978123555873,0.038988660893013186,0.0032091020178741463,12.149399014382544,9404,2,13.713076979028251,,,0.0007390750025716463,0.00015161923665822345,-2.694781790045852e-05,6.240696940018974e-06,,
6c: Departure/Trend LOESS,0.001941357005985016,0.0015615824656332947,-0.002411618458726305,0.001788409189849119,,0.0009630357476998475,0.23210273266255133,0.0006441941633641424,0.05678758132323919,0.03577778560616989,0.001229475550203021,29.10003830516351,9404,4,0.40250085973598465,,,-0.0006599182771918821,0.00016069752053317072,2.4107553178177952e-05,6.521146423705503e-06,13.6869609353229,
8: Piecewise Quadratic LOESS,0.0,0.0,-0.0002624682729552806,6.0177518330572186e-05,22.725543332991023,0.000919890730125883,0.23206956978441984,0.0007073431055604207,0.05678880754150214,0.04324500952550513,0.0033977672349181933,12.7274785279829,9404,3,,,,,,-0.001713374040142241,0.0004478844617833929,,0.8695740781503866
8a: Shared T_opt Total/Trend LOESS,0.0,0.0,-0.00038055387673824087,7.330888337062212e-05,19.05716642571779,0.0019701380262400203,0.23287682923284092,0.0017578138347766892,0.05675895108981834,0.04023476468751224,0.003864576995230308,10.411169123340098,9404,3,,,,,,-0.00035873289260530933,7.376419542522856e-05,,1.9662045634395073
8b: Modulated Response LOESS,-0.0005640870544255437,9.730656320353033e-05,2.1259230393027584e-05,4.136066576658887e-06,13.266873823676798,0.0013497144992813404,0.23239994844865497,0.0011372583168537398,0.05677659040047006,0.036118471531026,0.0035961460851451155,10.043660817958264,9404,3,1.9445698650983432,1.099214204457635,,,,,,,
nocr0: No Climate Response (Joint),0.0,0.0,0.0,0.0,,0.19424619015909983,0.19424619015909983,0.14621331147915428,0.05817052649139099,,,,9404,530,,,,,,,,,
nocr5: No Climate Response (Precomputed k),0.0,0.0,0.0,0.0,,0.19416433998803584,0.19416433998803584,0.14583781861205058,0.05817348095873405,,,,9404,533,,,,,,,,,
