# k(t) scatter data
year,k_approach0,k_approach5c
1961,-0.14412502,-0.14384734
1962,-0.13312012,-0.13458308
1963,-0.12887772,-0.13055723
1964,-0.12148718,-0.12132962
1965,-0.12870096,-0.12943771
1966,-0.12608092,-0.12732809
1967,-0.13249240,-0.13103863
1968,-0.12007246,-0.11965918
1969,-0.10873562,-0.11100556
1970,-0.10778648,-0.10865797
1971,-0.11760142,-0.11557308
1972,-0.11510110,-0.11396738
1973,-0.10913630,-0.10884649
1974,-0.11816175,-0.11504341
1975,-0.14096441,-0.13757243
1976,-0.10360833,-0.10135234
1977,-0.11406475,-0.11287630
1978,-0.11093913,-0.11032632
1979,-0.11630311,-0.11632218
1980,-0.11961570,-0.12149354
1981,-0.12539367,-0.12559841
1982,-0.13326654,-0.13282407
1983,-0.13004176,-0.13008116
1984,-0.11348640,-0.11393889
1985,-0.11751132,-0.11964758
1986,-0.11582890,-0.11654985
1987,-0.11357768,-0.11739049
1988,-0.10790360,-0.10837968
1989,-0.11755190,-0.11574990
1990,-0.12575132,-0.12459869
1991,-0.13530785,-0.13534674
1992,-0.13661372,-0.13548601
1993,-0.12749103,-0.12847704
1994,-0.11368497,-0.11321855
1995,-0.08736557,-0.08751577
1996,-0.08154448,-0.08358574
1997,-0.07492956,-0.07572864
1998,-0.08928142,-0.09186098
1999,-0.09299272,-0.09260394
2000,-0.08002622,-0.07909610
2001,-0.08207127,-0.08311413
2002,-0.08152765,-0.08225096
2003,-0.08245235,-0.08400393
2004,-0.06519684,-0.06623028
2005,-0.07053668,-0.07216414
2006,-0.06467010,-0.06532351
2007,-0.06546226,-0.06515326
2008,-0.08543138,-0.08465219
2009,-0.12361432,-0.12479650
2010,-0.07981528,-0.08323994
2011,-0.09477505,-0.09469949
2012,-0.09788355,-0.09871872
2013,-0.10720487,-0.10735629
2014,-0.10681605,-0.10628456
2015,-0.11367440,-0.11357176
2016,-0.11140789,-0.11201893
2017,-0.10719146,-0.10698325
2018,-0.11139848,-0.11019174
2019,-0.11982598,-0.11848387
2020,-0.19119709,-0.18960975
2021,-0.09458822,-0.09427815
2022,-0.11541887,-0.11265940

# j coefficient scatter data
country_idx,iso,j0_approach0,j0_approach5c_pred,j1_approach0,j1_approach5c_pred,j2_approach0,j2_approach5c_pred
0,AFG,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000
1,AGO,0.02811804,0.02806125,0.00044908,0.00044981,-0.00001286,-0.00001244
2,ALB,0.01487124,0.01412696,-0.00010438,-0.00010925,0.00004185,0.00004420
3,ARE,0.05249492,0.05408331,0.00040961,0.00040887,0.00003370,0.00002877
4,ARG,-0.00380069,-0.00348062,-0.00063639,-0.00063624,0.00003034,0.00002951
5,ARM,-0.00079220,-0.00044177,-0.00072539,-0.00079728,0.00013155,0.00013360
6,AUS,0.02077469,0.02130853,-0.00059689,-0.00059735,0.00002232,0.00002080
7,AUT,0.04740296,0.04657989,-0.00135299,-0.00135629,0.00002360,0.00002604
8,AZE,0.00140295,0.00199368,0.00117530,0.00116986,0.00000945,0.00000812
9,BDI,-0.01527247,-0.01511503,-0.00083591,-0.00083502,0.00004303,0.00004277
10,BEL,0.02081734,0.02068120,-0.00123979,-0.00124124,0.00003543,0.00003564
11,BEN,0.04586845,0.04653913,-0.00005289,-0.00005249,0.00004439,0.00004247
12,BFA,0.05700156,0.05744507,-0.00016947,-0.00016870,0.00005185,0.00005063
13,BGD,0.04710023,0.04706209,0.00081506,0.00081500,0.00002925,0.00002955
14,BGR,0.00498886,0.00379343,-0.00065169,-0.00065721,0.00007857,0.00008220
15,BHR,0.08213655,0.08531676,0.00015996,0.00015440,-0.00001011,-0.00002009
16,BLR,0.04503032,0.04550403,-0.00253624,-0.00250499,0.00010110,0.00009828
17,BOL,0.00366740,0.00425861,-0.00047914,-0.00047860,0.00004957,0.00004790
18,BRA,0.04237338,0.04309798,-0.00079186,-0.00079202,0.00002621,0.00002417
19,BRB,0.03116505,0.03035158,-0.00127604,-0.00127416,0.00005636,0.00005909
20,BWA,0.06545297,0.06567971,-0.00126465,-0.00126414,-0.00001438,-0.00001498
21,CAF,0.00314415,0.00414545,-0.00054178,-0.00054169,0.00003084,0.00002790
22,CAN,0.12079952,0.12274331,-0.00123149,-0.00122962,0.00003567,0.00002969
23,CHE,0.05186629,0.05113107,-0.00105093,-0.00105364,0.00002263,0.00002480
24,CHL,0.03478212,0.03487925,-0.00038194,-0.00038198,0.00000422,0.00000411
25,CHN,0.07261508,0.07244009,0.00006434,0.00006350,0.00000608,0.00000681
