# Input data: Maddison_CRU_dataset.csv
approach,approach_name,n_bootstrap,n_successful,h1_point,h1_median,h1_p5,h1_p25,h1_p75,h1_p95,h1_std,h2_point,h2_median,h2_p5,h2_p25,h2_p75,h2_p95,h2_std,T_optimal_point,T_optimal_median,T_optimal_p5,T_optimal_p25,T_optimal_p75,T_optimal_p95,T_optimal_std,total_r_squared_median,total_r_squared_p5,total_r_squared_p25,total_r_squared_p75,total_r_squared_p95,total_r_squared_std,r_squared_median,r_squared_p5,r_squared_p25,r_squared_p75,r_squared_p95,r_squared_std,beta_point,beta_median,beta_p5,beta_p25,beta_p75,beta_p95,beta_std
approach0,Conjoined OLS Fit,1000,1000,0.014201645761906582,0.01433078790273296,0.008947504565213734,0.011950212903538933,0.01695291161447092,0.02133370899034685,0.0038482790124691434,-0.0004340071550819509,-0.0004407137737416282,-0.0006350601005127371,-0.0005238469785048297,-0.000359172857221038,-0.000250149100273028,0.00012271133727417082,16.36107330906212,16.549044428510044,12.505873395338163,14.695636411464505,18.52922158888041,21.922829785215228,14.199759996594313,0.20106973942607387,0.17720051583806296,0.19042364248753943,0.21310074360833228,0.22848196481402014,0.015973422836871105,0.20106973942607387,0.17720051583806296,0.19042364248753943,0.21310074360833228,0.22848196481402014,0.015973422836871105,,,,,,,
approach1,Linear Temperature Detrending,1000,1000,0.015525263846372546,0.015698313457579723,0.010181639346635284,0.013144653135492703,0.018422286589662603,0.02315783295430412,0.004007703869502655,-0.00045316872007555354,-0.0004581840267975926,-0.0006804593077371062,-0.0005539956477503855,-0.00036859730857503946,-0.0002521143391487339,0.00013345164345164527,17.12967285538169,17.358131720894942,13.588376283375638,15.591199024500998,19.30457239065995,23.603965100896488,16.14657744369607,0.0977065946628689,0.08301541624904178,0.09180434303774113,0.10458207348140452,0.11727076632599324,0.010269555188757001,0.0977065946628689,0.08301541624904178,0.09180434303774113,0.10458207348140452,0.11727076632599324,0.010269555188757001,,,,,,,
approach2,Quadratic GDP Growth Detrending,1000,1000,0.0001345016780290396,0.00013866595926104587,7.691415656752025e-05,0.0001095756864519153,0.0001710326933757015,0.00023142787342564404,4.739172871570146e-05,-4.530034100692612e-06,-4.651415047548088e-06,-7.346207785344125e-06,-5.602128019285595e-06,-3.8090826282125898e-06,-2.69519076584612e-06,1.3931750423742462e-06,14.845548073079096,14.984639881505416,13.221661802875493,14.263372105826136,15.509632707573054,16.489041483601948,1.3720802012170354,0.1961008155050703,0.17239240532910144,0.18597289920670984,0.2082310938633804,0.22314699159150292,0.01579024326258038,0.09999402092845322,0.08483952362882688,0.09392109085843989,0.10701372890226918,0.11950918856259012,0.0105787141248686,,,,,,,
approach3,Combined Detrending (Mixed),1000,1000,0.013942882387476176,0.014063718411592976,0.008795410918743316,0.01171681816183084,0.01666455120556895,0.02092052250017258,0.003756542320907036,-0.0004085191816677266,-0.0004129522058467349,-0.0005952555226483963,-0.0004947048736246693,-0.00033779865883217886,-0.00023856961107133128,0.00011490820471500349,17.065150197545396,17.245533815720865,13.258715808856815,15.4224953967227,19.23482424520062,22.744396878300208,7.858665787104693,0.19872927989506262,0.17511384700577215,0.18782704425120642,0.2103064893902568,0.22543373124557356,0.01581759538003384,0.10270360403192158,0.08713004606480054,0.09663879038241657,0.1095219858954101,0.1219859875281597,0.010630776753241934,,,,,,,
approach4,Combined Linear Detrending,1000,1000,0.0160782647195618,0.01619659011374184,0.010690304774729794,0.013656473806922469,0.01901481917855149,0.0237782003589802,0.004055030291743482,-0.000457974830515825,-0.0004631857188539874,-0.0006839626573814243,-0.0005582993691201446,-0.00037333431064084076,-0.0002593318870367175,0.00013262493839431055,17.55365540662199,17.755588625895967,13.99517447707977,15.969389326947597,19.731192845810362,23.952427211625405,208.4509712494242,0.17525062628831484,0.1539778818615195,0.1659474859788146,0.18631509153321563,0.200336705784523,0.014432586741098503,0.10131884317993212,0.08597118703105544,0.09557505191425866,0.10845590626784787,0.12113985317396053,0.010613193634213407,,,,,,,
approach5,Combined Quadratic Detrending,1000,1000,0.014176960830015732,0.014280498026543745,0.008885068601135242,0.011922419620731234,0.01690504082801596,0.021379830987022386,0.0038363535495926863,-0.00042404473595582714,-0.0004308223130770912,-0.0006242764181065947,-0.0005135351186483882,-0.00034719383120104287,-0.00024160202265444963,0.00012200746308978353,16.716350455406374,16.87941651411596,12.793788203168198,15.005548104138024,18.95742004505293,22.622040737286262,35.80465405732623,0.19865568014342588,0.1751157424329685,0.18786753565717298,0.2103800698291775,0.2254307166324826,0.015825677958397247,0.10270155537865439,0.08705961188718184,0.09661090335870542,0.10950856055488561,0.12191755112198716,0.01063125923972779,,,,,,,
approach6,Precomputed k Linear,1000,1000,0.013674820910414292,0.013679794729897506,0.008715170762876041,0.01146895828012375,0.016229350232747804,0.0204155797441507,0.003594391982799964,-0.00038838559511533146,-0.00038654177968985913,-0.0005820877967805864,-0.0004701875399589579,-0.00032023941208922315,-0.00022388922706637401,0.00011156222948734094,17.60469631520904,17.863184833838485,14.060038410853766,16.103465163750464,19.746412267704883,23.826140828972104,7.593277065131719,0.17500457972496336,0.15357938254112824,0.1657642932304814,0.1859807026680115,0.2000342011479165,0.014388476833191052,0.0027473797938804,0.001227792863624938,0.002102906835629359,0.0035799867794764906,0.005171688309198341,0.0011973821661796576,,,,,,,
approach7,Precomputed k Quadratic,1000,1000,0.012240773828420544,0.012244208373257064,0.007536571666027148,0.010108443924905232,0.014648140880851352,0.018629396413157587,0.003442049663872264,-0.0003524069130220679,-0.0003543861734969626,-0.0005161313060851324,-0.00042292419783159917,-0.0002894147468478839,-0.00020258094663961986,9.993944409401961e-05,17.36738607572948,17.55817229264042,13.227134199722698,15.658405655410734,19.646574219916374,23.251136605651286,7.223334222937116,0.20061659979200586,0.1766495823298979,0.18986717480128595,0.21250802427350945,0.22790645265139572,0.01594165773197374,0.0022025089529636444,0.0009293863186473572,0.0016419217590699087,0.00292413928330168,0.004293352065707456,0.0010233092577699348,,,,,,,
approach8,GDP-Response Quadratic,1000,1000,0.007555349493783114,0.0076370051208415335,0.0034285085233002888,0.005810877689986997,0.009558669876740467,0.012366230252746906,0.0027494395679214926,-0.00018005145083390713,-0.00018007803323783248,-0.000298289907182101,-0.00022718544282765272,-0.00013809444271410592,-8.203708844630855e-05,6.58718540960922e-05,20.981084736586574,21.27220630356363,17.179583890278675,20.06343941336261,22.28911847185419,23.603335258934973,1.9842075489338635,0.20234561001650914,0.17843072393171114,0.19148911670695984,0.21391863577951323,0.22957323445590283,0.01592083530942795,0.0041552985118335495,0.0018904551745235144,0.0031447380074429987,0.0056377313273755225,0.00846302446074213,0.0020517872238116105,0.6928130076248117,0.7272783344429538,0.4416594400171728,0.6124636980779653,0.8445532156273884,0.9899994957330541,0.1736137609018312
approach9,Precomputed k LOESS,1000,1000,0.014978311137094021,0.015098266010572039,0.0101476517694626,0.012817890304475114,0.017484950098546254,0.021660861994471876,0.0035766841214275613,-0.00046907069268030795,-0.0004679795438535558,-0.0006529150290748433,-0.0005411134040660918,-0.00040636609722611086,-0.00031629867844494455,0.00010268997127225274,15.965942203196215,16.12203561575008,12.841004188199797,14.70350050768258,17.530741172748908,19.587486919577454,2.1031000660797674,0.23653663514989948,0.2048485079431386,0.2220831965400385,0.25150761791142895,0.27227058417199895,0.020900662619356223,0.0008334851784358999,-0.0012472507027964763,-2.735987996937972e-06,0.0019163114654393854,0.0036273835024443254,0.0014933940901081118,,,,,,,
