# Input data: Maddison_CRU_dataset.csv
approach,approach_name,n_bootstrap,n_successful,h1_point,h1_median,h1_p5,h1_p25,h1_p75,h1_p95,h1_std,h2_point,h2_median,h2_p5,h2_p25,h2_p75,h2_p95,h2_std,T_optimal_point,T_optimal_median,T_optimal_p5,T_optimal_p25,T_optimal_p75,T_optimal_p95,T_optimal_std,total_r_squared_point,total_r_squared_median,total_r_squared_p5,total_r_squared_p25,total_r_squared_p75,total_r_squared_p95,total_r_squared_std,r_squared_point,r_squared_median,r_squared_p5,r_squared_p25,r_squared_p75,r_squared_p95,r_squared_std,beta_point,beta_median,beta_p5,beta_p25,beta_p75,beta_p95,beta_std,rms_j_point,rms_j_median,rms_j_p5,rms_j_p25,rms_j_p75,rms_j_p95,rms_j_std,rms_k_point,rms_k_median,rms_k_p5,rms_k_p25,rms_k_p75,rms_k_p95,rms_k_std,rms_dy_point,rms_dy_median,rms_dy_p5,rms_dy_p25,rms_dy_p75,rms_dy_p95,rms_dy_std,var_frac_h_point,var_frac_h_median,var_frac_h_p5,var_frac_h_p25,var_frac_h_p75,var_frac_h_p95,var_frac_h_std,var_frac_j_point,var_frac_j_median,var_frac_j_p5,var_frac_j_p25,var_frac_j_p75,var_frac_j_p95,var_frac_j_std,var_frac_k_point,var_frac_k_median,var_frac_k_p5,var_frac_k_p25,var_frac_k_p75,var_frac_k_p95,var_frac_k_std,var_frac_resid_point,var_frac_resid_median,var_frac_resid_p5,var_frac_resid_p25,var_frac_resid_p75,var_frac_resid_p95,var_frac_resid_std,cov_frac_hj_point,cov_frac_hj_median,cov_frac_hj_p5,cov_frac_hj_p25,cov_frac_hj_p75,cov_frac_hj_p95,cov_frac_hj_std,cov_frac_hk_point,cov_frac_hk_median,cov_frac_hk_p5,cov_frac_hk_p25,cov_frac_hk_p75,cov_frac_hk_p95,cov_frac_hk_std,cov_frac_jk_point,cov_frac_jk_median,cov_frac_jk_p5,cov_frac_jk_p25,cov_frac_jk_p75,cov_frac_jk_p95,cov_frac_jk_std
approach0,Conjoined OLS Fit,1000,1000,0.014201645761906582,0.01433078790273296,0.008947504565213734,0.011950212903538933,0.01695291161447092,0.02133370899034685,0.0038482790124691434,-0.0004340071550819509,-0.0004407137737416282,-0.0006350601005127371,-0.0005238469785048297,-0.000359172857221038,-0.000250149100273028,0.00012271133727417082,16.36107330906212,16.549044428510044,12.505873395338163,14.695636411464505,18.52922158888041,21.922829785215228,14.199759996594313,0.19624833559880805,0.20106973942607387,0.17720051583806296,0.19042364248753943,0.21310074360833228,0.22848196481402014,0.015973422836871105,0.19624833559880805,0.20106973942607387,0.17720051583806296,0.19042364248753943,0.21310074360833228,0.22848196481402014,0.015973422836871105,,,,,,,,0.05730162017453985,0.048671682792836686,0.03330066413419559,0.04096342943759491,0.059820770699473745,0.0894936370388452,0.03982879147673496,0.11173768538772728,0.07719547414979333,0.026326005787380927,0.048059972599637665,0.10643591989612149,0.16879606450153511,0.05073404921268639,0.06480399960686628,0.06470936295699625,0.05868130513234491,0.06244744850503364,0.06727646264471791,0.07115280478582343,0.0037329298522753313,0.1751777819482847,0.2391735773322219,0.0897216258742422,0.16531922706677293,0.3349961559329637,0.545309406379689,0.1470766789020355,0.3151083052030186,0.39720329651779496,0.23217599041047307,0.31492530237445343,0.5231546166952641,0.8294440188841388,2.4614410691835795,0.12185899920893459,0.13994464271149584,0.09530195132689939,0.1126759569041948,0.1874435635558782,0.45671660978909256,2.458090038343892,0.8037516644011921,0.7989302605739261,0.7715180351859798,0.7868992563916677,0.8095763575124605,0.822799484161937,0.015973422836871108,-0.3384464754170662,-0.46756273968431605,-1.0736274696299943,-0.6630882737008871,-0.3254798873353157,-0.18395677625606252,0.2899152656539478,-0.004593780305093529,-0.0014734976527631901,-0.009940197555641498,-0.004467800224643647,0.0020238564574841405,0.013081671895439049,0.017846561864817617,-0.07290072525844543,-0.08664423054056969,-0.7046131331453057,-0.17255925697029337,-0.03164923100621308,-0.005154644255669467,4.906736752189369
approach1,Linear Temperature Detrending,1000,1000,0.015525263846372546,0.015698313457579723,0.010181639346635284,0.013144653135492703,0.018422286589662603,0.02315783295430412,0.004007703869502655,-0.00045316872007555354,-0.0004581840267975926,-0.0006804593077371062,-0.0005539956477503855,-0.00036859730857503946,-0.0002521143391487339,0.00013345164345164527,17.12967285538169,17.358131720894942,13.588376283375638,15.591199024500998,19.30457239065995,23.603965100896488,16.14657744369607,0.09269647451111607,0.0977065946628689,0.08301541624904178,0.09180434303774113,0.10458207348140452,0.11727076632599324,0.010269555188757001,0.09269647451111607,0.0977065946628689,0.08301541624904178,0.09180434303774113,0.10458207348140452,0.11727076632599324,0.010269555188757001,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027756285957462847,0.028177421726723238,0.026415917925805877,0.027406026614913488,0.02890018468012131,0.029961520659691696,0.0010813632843079584,0.06480399960686628,0.06470936295699625,0.05868130513234491,0.06244744850503364,0.06727646264471791,0.07115280478582343,0.0037329298522753313,0.20749075542770348,0.26930543376151955,0.11639247248325715,0.19381248223881495,0.3697408202449575,0.5880594029667097,0.15672517235360775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09207983495106428,0.09678172158727202,0.0822323633832362,0.0910237005606185,0.10369894614541153,0.11539877429923436,0.01008948871176698,0.9073035254888839,0.9022934053371311,0.8827292336740068,0.8954179265185955,0.9081956569622589,0.9169845837509581,0.010269555188757001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00040110324736225886,-0.0003459663771470609,-0.00512115674160457,-0.00230598026575187,0.0014639242611473205,0.004632950325990205,0.0029826632491738864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
approach2,Quadratic GDP Growth Detrending,1000,1000,0.0001345016780290396,0.00013866595926104587,7.691415656752025e-05,0.0001095756864519153,0.0001710326933757015,0.00023142787342564404,4.739172871570146e-05,-4.530034100692612e-06,-4.651415047548088e-06,-7.346207785344125e-06,-5.602128019285595e-06,-3.8090826282125898e-06,-2.69519076584612e-06,1.3931750423742462e-06,14.845548073079096,14.984639881505416,13.221661802875493,14.263372105826136,15.509632707573054,16.489041483601948,1.3720802012170354,0.19181481923001786,0.1961008155050703,0.17239240532910144,0.18597289920670984,0.2082310938633804,0.22314699159150292,0.01579024326258038,0.09510159303926091,0.09999402092845322,0.08483952362882688,0.09392109085843989,0.10701372890226918,0.11950918856259012,0.0105787141248686,,,,,,,,0.028803259017082184,0.02876793746997268,0.027299885912599128,0.028108653297795497,0.029381100640271218,0.030336618231888303,0.0009471798202439846,0.018896664247894022,0.019464484366270268,0.01761974495482761,0.01866309873326302,0.020190836896635,0.02134869529077616,0.001131580824246268,0.06480399960686628,0.06470936295699625,0.05868130513234491,0.06244744850503364,0.06727646264471791,0.07115280478582343,0.0037329298522753313,2.0314463690006075e-05,2.122645847511191e-05,8.860056402984969e-06,1.5299589311853308e-05,2.8383159446532897e-05,4.181505777226686e-05,1.0439535525981971e-05,0.10687744109925593,0.1063326077476916,0.08915663591114344,0.09924049852974837,0.11436258814996635,0.12543263131309332,0.010918372443624338,0.08493609358571542,0.0893311053400818,0.07627849413876402,0.0842038676071483,0.09579020159682812,0.10605988068456826,0.009110984484992892,0.808185180769982,0.8038991844949295,0.776853008408497,0.7917689061366195,0.8140271007932903,0.8276075946708984,0.01579024326258039,0.0001518958003038784,0.00014284459153760033,-6.926261454108495e-05,5.839567447315216e-05,0.0002611281441128651,0.0004214606662305214,0.00015434494484594898,-1.90319424577689e-05,-1.8806929380863683e-05,-3.555339414280363e-05,-2.524857798941388e-05,-1.330502296065554e-05,-5.730969176991054e-06,8.965978860786126e-06,0.0032991370440854885,0.003171919086157328,0.0008484603170353536,0.002139823452542378,0.004254488640437561,0.0059054070572167,0.0015697406906275315
approach3,Combined Detrending (Mixed),1000,1000,0.013942882387476176,0.014063718411592976,0.008795410918743316,0.01171681816183084,0.01666455120556895,0.02092052250017258,0.003756542320907036,-0.0004085191816677266,-0.0004129522058467349,-0.0005952555226483963,-0.0004947048736246693,-0.00033779865883217886,-0.00023856961107133128,0.00011490820471500349,17.065150197545396,17.245533815720865,13.258715808856815,15.4224953967227,19.23482424520062,22.744396878300208,7.858665787104693,0.1937889630305749,0.19872927989506262,0.17511384700577215,0.18782704425120642,0.2103064893902568,0.22543373124557356,0.01581759538003384,0.097311977023948,0.10270360403192158,0.08713004606480054,0.09663879038241657,0.1095219858954101,0.1219859875281597,0.010630776753241934,,,,,,,,0.028803259017082184,0.02876793746997268,0.027299885912599128,0.028108653297795497,0.029381100640271218,0.030336618231888303,0.0009471798202439846,0.019091775777100355,0.019646292342949824,0.01776670286595075,0.018861726635268375,0.02038623288550065,0.02152704330045775,0.0011352972743547945,0.06480399960686628,0.06470936295699625,0.05868130513234491,0.06244744850503364,0.06727646264471791,0.07115280478582343,0.0037329298522753313,0.16701381017145928,0.2206438044859588,0.08719255151911444,0.15299856882583668,0.30146218678795,0.4894294910273719,0.13357523368276247,0.10687744109925593,0.1063326077476916,0.08915663591114344,0.09924049852974837,0.11436258814996635,0.12543263131309332,0.010918372443624338,0.08679278078863055,0.09132996900391795,0.07822255610314345,0.08611325049298876,0.09731884521352761,0.10811701354211303,0.009106474707942387,0.8062110369694251,0.8012707201049374,0.7745662687544265,0.7896935106097431,0.8121729557487936,0.8248861529942279,0.01581759538003384,0.0004543037241011233,0.001085829604981095,-0.03123171651626799,-0.010590804490763404,0.01518033066758322,0.03855859503192491,0.021843019921994042,-0.0013249898610652095,-0.0012673022465445227,-0.003966163685958294,-0.0024023755720691342,-0.00029471754026008125,0.0012676210845709746,0.0016326802087003303,0.003067067120931623,0.0029691871544183478,0.000655338235288887,0.0018893998435124198,0.004012095097809286,0.005606482621885701,0.0015525285308968866
approach4,Combined Linear Detrending,1000,1000,0.0160782647195618,0.01619659011374184,0.010690304774729794,0.013656473806922469,0.01901481917855149,0.0237782003589802,0.004055030291743482,-0.000457974830515825,-0.0004631857188539874,-0.0006839626573814243,-0.0005582993691201446,-0.00037333431064084076,-0.0002593318870367175,0.00013262493839431055,17.55365540662199,17.755588625895967,13.99517447707977,15.969389326947597,19.731192845810362,23.952427211625405,208.4509712494242,0.1707867724152362,0.17525062628831484,0.1539778818615195,0.1659474859788146,0.18631509153321563,0.200336705784523,0.014432586741098503,0.09622494535841364,0.10131884317993212,0.08597118703105544,0.09557505191425866,0.10845590626784787,0.12113985317396053,0.010613193634213407,,,,,,,,0.02696766642702666,0.026897076640543277,0.025445795722003,0.026240612621007086,0.02758288696737229,0.028519529889710956,0.000960059114128164,0.019187848425446727,0.019757682474858283,0.01791390620126414,0.018952208695517166,0.020474238074135384,0.021704788840678807,0.001143353315125396,0.06480399960686628,0.06470936295699625,0.05868130513234491,0.06244744850503364,0.06727646264471791,0.07115280478582343,0.0037329298522753313,0.22790325722213975,0.2911056851833287,0.1231878958209609,0.20549809745093903,0.3915610967566308,0.6283985031017357,0.1684246496697812,0.08250042604505359,0.08208450038270569,0.06688741251945565,0.07566023460871105,0.08866014380439784,0.0988264913076983,0.009432902859622257,0.08766821940842644,0.09219813118178298,0.07884827715763391,0.08707351855242235,0.09864365302972687,0.1097537454075584,0.009401963117012968,0.8292132275847638,0.8247493737116851,0.799663294215477,0.8136849084667844,0.8340525140211855,0.8460221181384804,0.014432586741098508,-0.0034941630373787314,-0.0024404306587675166,-0.04040023621537167,-0.01706564411282632,0.012729066671569159,0.035780197740564776,0.023892531368647583,-0.0009232720567114393,-0.0008634973611750109,-0.004607524906105868,-0.0024025741943596766,0.000508862709174602,0.0028216229921196193,0.0023016439133289874,0.0035333621784896883,0.0033558625631631266,0.0017927200403549798,0.002743996718585684,0.004140437493555262,0.00538565283394895,0.0011168145202409187
approach5,Combined Quadratic Detrending,1000,1000,0.014176960830015732,0.014280498026543745,0.008885068601135242,0.011922419620731234,0.01690504082801596,0.021379830987022386,0.0038363535495926863,-0.00042404473595582714,-0.0004308223130770912,-0.0006242764181065947,-0.0005135351186483882,-0.00034719383120104287,-0.00024160202265444963,0.00012200746308978353,16.716350455406374,16.87941651411596,12.793788203168198,15.005548104138024,18.95742004505293,22.622040737286262,35.80465405732623,0.19376080658673434,0.19865568014342588,0.1751157424329685,0.18786753565717298,0.2103800698291775,0.2254307166324826,0.015825677958397247,0.09728045117840756,0.10270155537865439,0.08705961188718184,0.09661090335870542,0.10950856055488561,0.12191755112198716,0.01063125923972779,,,,,,,,0.028803259017082184,0.02876793746997268,0.027299885912599128,0.028108653297795497,0.029381100640271218,0.030336618231888303,0.0009471798202439846,0.019100061056949186,0.01965317530186472,0.017789678317847,0.018875027018746795,0.020389843320854036,0.02152689440120267,0.0011335133302821277,0.06480399960686628,0.06470936295699625,0.05868130513234491,0.06244744850503364,0.06727646264471791,0.07115280478582343,0.0037329298522753313,0.17224153551758126,0.23531251828863214,0.09209008761072221,0.16460317656399648,0.325664629477553,0.5583914765019803,0.14670471823761067,0.10687744109925593,0.1063326077476916,0.08915663591114344,0.09924049852974837,0.11436258814996635,0.12543263131309332,0.010918372443624338,0.08686821158547084,0.09139237586985571,0.07843151652201778,0.08616141142145073,0.09741730898756572,0.10792051159936565,0.00910584726986878,0.8062391934132658,0.8013443198565742,0.7745692833675174,0.7896199301708223,0.8121324643428269,0.8248842575670313,0.01582567795839725,0.0026318442524605034,0.003332099952512108,-0.031216597473242735,-0.009579600386512866,0.017692697183979242,0.044594688339521994,0.02343696912396899,-0.0015306330070001283,-0.0014445080431084029,-0.004507389667093074,-0.002721145917457301,-0.0003331667106026866,0.0014738978487331433,0.0018500290101114258,0.003218370580357201,0.0031067966882478114,0.0007987093775857731,0.002082590264458506,0.004157818434695292,0.005770487862434371,0.001562120468553849
approach6,Precomputed k Linear,1000,1000,0.013674820910414292,0.013679794729897506,0.008715170762876041,0.01146895828012375,0.016229350232747804,0.0204155797441507,0.003594391982799964,-0.00038838559511533146,-0.00038654177968985913,-0.0005820877967805864,-0.0004701875399589579,-0.00032023941208922315,-0.00022388922706637401,0.00011156222948734094,17.60469631520904,17.863184833838485,14.060038410853766,16.103465163750464,19.746412267704883,23.826140828972104,7.593277065131719,0.17056317877395344,0.17500457972496336,0.15357938254112824,0.1657642932304814,0.1859807026680115,0.2000342011479165,0.014388476833191052,0.0026061679442589414,0.0027473797938804,0.001227792863624938,0.002102906835629359,0.0035799867794764906,0.005171688309198341,0.0011973821661796576,,,,,,,,0.018118185763255593,0.018009122163793922,0.016520066462161535,0.01738638920434515,0.018689092017638593,0.019655379160833125,0.000946904569523051,0.027562825402737932,0.027988984767743825,0.02614912990727129,0.02721693439835181,0.028681031788145725,0.029756728097553163,0.0010892491612646707,0.06480399960686628,0.06470936295699625,0.05868130513234491,0.06244744850503364,0.06727646264471791,0.07115280478582343,0.0037329298522753313,0.16552045598026777,0.20716435666433686,0.08456196184494592,0.14409545416981406,0.2831453773437299,0.4407167360006571,0.12150407659709181,0.07816742305192018,0.07758644625250985,0.06379584234348813,0.0715419763028788,0.08381436678173149,0.09339224756333375,0.00892063259615826,0.0902284557189722,0.09483995421102367,0.08034899933987877,0.089017819433084,0.1017115169323563,0.11384200564081338,0.010160312010201516,0.8294358411368589,0.8249942228774665,0.7999647394834337,0.8140174400439752,0.8342350188410035,0.8464202366209526,0.014388502618854054,-0.0052513688128673335,-0.004571314783842391,-0.036662965262764774,-0.016734283392428828,0.00811467473450216,0.028129114885829407,0.020271234106679088,0.0007018910356645854,0.0007008875992326168,-0.0026970967392419823,-0.000673377088093127,0.0023923674574200526,0.005060947318428416,0.0024610668638132996,0.0032423780040588763,0.00307535957925165,0.0013762732128235827,0.0024243367926716185,0.004004470859351151,0.005324520864665046,0.0012441507476114897
approach7,Precomputed k Quadratic,1000,1000,0.012240773828420544,0.012244208373257064,0.007536571666027148,0.010108443924905232,0.014648140880851352,0.018629396413157587,0.003442049663872264,-0.0003524069130220679,-0.0003543861734969626,-0.0005161313060851324,-0.00042292419783159917,-0.0002894147468478839,-0.00020258094663961986,9.993944409401961e-05,17.36738607572948,17.55817229264042,13.227134199722698,15.658405655410734,19.646574219916374,23.251136605651286,7.223334222937116,0.1958253408853492,0.20061659979200586,0.1766495823298979,0.18986717480128595,0.21250802427350945,0.22790645265139572,0.01594165773197374,0.002061215431057861,0.0022025089529636444,0.0009293863186473572,0.0016419217590699087,0.00292413928330168,0.004293352065707456,0.0010233092577699348,,,,,,,,0.020892218939372483,0.020764396279371065,0.019171303572765353,0.020123253754774275,0.021515691742291523,0.022510102380106586,0.0010045911441711264,0.027562825402737932,0.027988984767743825,0.02614912990727129,0.02721693439835181,0.028681031788145725,0.029756728097553163,0.0010892491612646707,0.06480399960686628,0.06470936295699625,0.05868130513234491,0.06244744850503364,0.06727646264471791,0.07115280478582343,0.0037329298522753313,0.13043884235750478,0.17003902496207127,0.06202506786410065,0.11592201721422012,0.24189947324218347,0.39418855281814724,0.11283399444806246,0.10393588426906358,0.10318954156705219,0.08660716565001388,0.09624574354342703,0.11069354481208349,0.12084710365551186,0.010413405755069967,0.0902284557189722,0.09483995421102367,0.08034899933987877,0.089017819433084,0.1017115169323563,0.11384200564081338,0.010160312010201516,0.8041739671041278,0.7993825983553364,0.7720928550192766,0.7874913664788691,0.8101320621137356,0.8233493560407384,0.015941693666649888,-0.002844994697289056,-0.0024120832592312365,-0.03311013459467061,-0.01330647185722604,0.009895231492027748,0.03174759421864949,0.019944752220155182,0.00046797650516954996,0.00047202298348620816,-0.002750523319491692,-0.0008628906893522259,0.0021064872140976725,0.004830742467506152,0.002391482036806691,-0.0014390611548376776,-0.001372416462121591,-0.0038738841804431116,-0.0024341765767673888,-0.0004140508666275035,0.000980887343840947,0.0015101172116304283
approach8,GDP-Response Quadratic,1000,1000,0.007555349493783114,0.0076370051208415335,0.0034285085233002888,0.005810877689986997,0.009558669876740467,0.012366230252746906,0.0027494395679214926,-0.00018005145083390713,-0.00018007803323783248,-0.000298289907182101,-0.00022718544282765272,-0.00013809444271410592,-8.203708844630855e-05,6.58718540960922e-05,20.981084736586574,21.27220630356363,17.179583890278675,20.06343941336261,22.28911847185419,23.603335258934973,1.9842075489338635,0.1973517118133299,0.20234561001650914,0.17843072393171114,0.19148911670695984,0.21391863577951323,0.22957323445590283,0.01592083530942795,0.00395536209609626,0.0041552985118335495,0.0018904551745235144,0.0031447380074429987,0.0056377313273755225,0.00846302446074213,0.0020517872238116105,0.6928130076248117,0.7272783344429538,0.4416594400171728,0.6124636980779653,0.8445532156273884,0.9899994957330541,0.1736137609018312,0.020892218939372483,0.020764396279371065,0.019171303572765353,0.020123253754774275,0.021515691742291523,0.022510102380106586,0.0010045911441711264,0.027562825402737932,0.027988984767743825,0.02614912990727129,0.02721693439835181,0.028681031788145725,0.029756728097553163,0.0010892491612646707,0.06480399960686628,0.06470936295699625,0.05868130513234491,0.06244744850503364,0.06727646264471791,0.07115280478582343,0.0037329298522753313,8.393072153161208,10.421686147417258,0.9071816315356974,4.634153412160664,20.403348932148344,47.216949807823006,16.79881177077153,0.10393588426906358,0.10318954156705219,0.08660716565001388,0.09624574354342703,0.11069354481208349,0.12084710365551186,0.010413405755069967,0.0902284557189722,0.09483995421102367,0.08034899933987877,0.089017819433084,0.1017115169323563,0.11384200564081338,0.010160312010201516,0.8026475894550718,0.7976536551877205,0.7704257193345456,0.7860808323685446,0.8085102395355928,0.8215682189629622,0.015920853263816127,-0.47843518768202636,-0.5131830099143986,-1.179743304222364,-0.7513969834570563,-0.3397287191853797,-0.14001634870473717,0.3214771113754948,0.039387905619676616,0.03769845872437549,0.0003060412917883871,0.019189398806051992,0.0649282962344489,0.11498709324932363,0.037564898479213425,-0.0014390611548376776,-0.001372416462121591,-0.0038738841804431116,-0.0024341765767673888,-0.0004140508666275035,0.000980887343840947,0.0015101172116304283
approach9,Precomputed k LOESS,1000,1000,0.014978311137094021,0.015098266010572039,0.0101476517694626,0.012817890304475114,0.017484950098546254,0.021660861994471876,0.0035766841214275613,-0.00046907069268030795,-0.0004679795438535558,-0.0006529150290748433,-0.0005411134040660918,-0.00040636609722611086,-0.00031629867844494455,0.00010268997127225274,15.965942203196215,16.12203561575008,12.841004188199797,14.70350050768258,17.530741172748908,19.587486919577454,2.1031000660797674,0.2318641432939773,0.23653663514989948,0.2048485079431386,0.2220831965400385,0.25150761791142895,0.27227058417199895,0.020900662619356223,0.0006526301653105859,0.0008334851784358999,-0.0012472507027964763,-2.735987996937972e-06,0.0019163114654393854,0.0036273835024443254,0.0014933940901081118,,,,,,,,0.02366481266825613,0.02351730527153515,0.02147055360260654,0.022692296505954848,0.024520768615225414,0.025811121565365736,0.0013069084992074578,0.027562825402737932,0.027988984767743825,0.02614912990727129,0.02721693439835181,0.028681031788145725,0.029756728097553163,0.0010892491612646707,0.06480399960686628,0.06470936295699625,0.05868130513234491,0.06244744850503364,0.06727646264471791,0.07115280478582343,0.0037329298522753313,0.2019190024824612,0.23891340685906998,0.10887956027521221,0.1793948644504323,0.3145554340722186,0.4734195771199032,0.11594438344225554,0.13131092337842015,0.1303372321202849,0.11109758021932141,0.12157896000601896,0.13990514267693743,0.15377657003398024,0.013217398005976969,0.0902284557189722,0.09483995421102367,0.08034899933987877,0.089017819433084,0.1017115169323563,0.11384200564081338,0.010160312010201516,0.7662584687027519,0.7617151636559395,0.7258023971135253,0.7467968163448346,0.776103575592468,0.7930318642380303,0.02086305968932646,0.01457841550875275,0.012645537994389382,-0.031240896632018466,-0.007079814312448156,0.034007074566551505,0.06848144199436648,0.03129324970382166,-0.0007046992894239847,-0.00056284078870438,-0.003955163877856701,-0.0020029134509758047,0.0009334487091188584,0.00348027778734705,0.0023223199265304736,-0.011979884116333356,-0.01181553457218102,-0.016010627503753923,-0.013518916130170797,-0.01022814728530863,-0.007986803584076227,0.0025001480778844253
