# Input data: Maddison_CRU_dataset.csv
Metric,0: Conjoined OLS Fit_point,0: Conjoined OLS Fit_p5,0: Conjoined OLS Fit_p25,0: Conjoined OLS Fit_p50,0: Conjoined OLS Fit_p75,0: Conjoined OLS Fit_p95,method0h0: No Climate Response (Joint)_point,method0h0: No Climate Response (Joint)_p5,method0h0: No Climate Response (Joint)_p25,method0h0: No Climate Response (Joint)_p50,method0h0: No Climate Response (Joint)_p75,method0h0: No Climate Response (Joint)_p95,5c: Precomputed k Combined_point,5c: Precomputed k Combined_p5,5c: Precomputed k Combined_p25,5c: Precomputed k Combined_p50,5c: Precomputed k Combined_p75,5c: Precomputed k Combined_p95,method1h0: No Climate Response (Precomputed k)_point,method1h0: No Climate Response (Precomputed k)_p5,method1h0: No Climate Response (Precomputed k)_p25,method1h0: No Climate Response (Precomputed k)_p50,method1h0: No Climate Response (Precomputed k)_p75,method1h0: No Climate Response (Precomputed k)_p95,6: Precomputed k LOESS_point,6: Precomputed k LOESS_p5,6: Precomputed k LOESS_p25,6: Precomputed k LOESS_p50,6: Precomputed k LOESS_p75,6: Precomputed k LOESS_p95,6e: T/Quadratic Departure LOESS_point,6e: T/Quadratic Departure LOESS_p5,6e: T/Quadratic Departure LOESS_p25,6e: T/Quadratic Departure LOESS_p50,6e: T/Quadratic Departure LOESS_p75,6e: T/Quadratic Departure LOESS_p95,8: Piecewise Quadratic LOESS_point,8: Piecewise Quadratic LOESS_p5,8: Piecewise Quadratic LOESS_p25,8: Piecewise Quadratic LOESS_p50,8: Piecewise Quadratic LOESS_p75,8: Piecewise Quadratic LOESS_p95,5: Persistence Decay LOESS_point,5: Persistence Decay LOESS_p5,5: Persistence Decay LOESS_p25,5: Persistence Decay LOESS_p50,5: Persistence Decay LOESS_p75,5: Persistence Decay LOESS_p95
Total R²,0.20106973942607387,0.17720051583806296,0.19042364248753943,0.20106973942607387,0.21310074360833228,0.22848196481402014,0.19858930134447017,0.174671539645524,0.18811440015241998,0.19858930134447017,0.210643692362929,0.2261483344730374,0.20053976605501445,0.17658711507134756,0.18978821697245002,0.20053976605501445,0.21242914859202686,0.2278424204891629,0.19849023007517336,0.17456100435551763,0.1880322188238188,0.19849023007517336,0.21058546899510178,0.22591103579206664,0.23653663514989948,0.2048485079431386,0.2220831965400385,0.23653663514989948,0.25150761791142895,0.27227058417199895,0.23705844573209345,0.2051719955756855,0.22274143176281705,0.23705844573209345,0.25184431375284166,0.27285905181620684,0.2368070216879345,0.20564398015194696,0.2224418003047207,0.2368070216879345,0.2517862938962721,0.27228638130009875,0.23648577998804715,0.20459553082953047,0.2220056332513472,0.23648577998804715,0.2512227894585091,0.2718550041829657
Var(h(T))/Var(Δy),0.239173577332222,0.08972162587424223,0.165319227066773,0.239173577332222,0.3349961559329637,0.545309406379689,0.0,0.0,0.0,0.0,0.0,0.0,0.1530384188354323,0.057356383515442214,0.10502161769847572,0.1530384188354323,0.21449131324099469,0.34505279977122877,0.0,0.0,0.0,0.0,0.0,0.0,0.23891340685907003,0.10887956027521219,0.1793948644504323,0.23891340685907003,0.31455543407221864,0.4734195771199033,0.20704414556426626,0.08757427768074083,0.15065363891250855,0.20704414556426626,0.2796921042777729,0.4541384572934676,0.2655956875874006,0.12579690449375167,0.19762244914628185,0.2655956875874006,0.3594625000095103,0.5157436545274326,0.2076163994611881,0.07838181500482475,0.13454378994959004,0.2076163994611881,0.3008037496514912,0.4744046616203546
Var(j)/Var(Δy),0.3972032965177949,0.23217599041047313,0.3149253023744533,0.3972032965177949,0.5231546166952639,0.8294440188841384,0.13976930340177363,0.0977340836591701,0.11592918313237549,0.13976930340177363,0.18172467107576812,0.4249788139262436,0.1031895415670522,0.08660716565001386,0.09624574354342702,0.1031895415670522,0.11069354481208346,0.12084710365551185,0.1031895415670522,0.08660716565001386,0.09624574354342702,0.1031895415670522,0.11069354481208346,0.12084710365551185,0.13033723212028486,0.11109758021932141,0.12157896000601898,0.13033723212028486,0.13990514267693746,0.15377657003398024,0.13033723212028486,0.11109758021932141,0.12157896000601898,0.13033723212028486,0.13990514267693746,0.15377657003398024,0.13033723212028486,0.11109758021932141,0.12157896000601898,0.13033723212028486,0.13990514267693746,0.15377657003398024,0.13033723212028486,0.11109758021932141,0.12157896000601898,0.13033723212028486,0.13990514267693746,0.15377657003398024
Var(k)/Var(Δy),0.13994464271149595,0.09530195132689942,0.11267595690419485,0.13994464271149595,0.1874435635558783,0.45671660978909245,0.129824203207829,0.09200742364648982,0.10821645619540055,0.129824203207829,0.18122210543661216,0.42519919597533073,0.09483995421102365,0.08034899933987874,0.08901781943308396,0.09483995421102365,0.1017115169323563,0.11384200564081336,0.09483995421102365,0.08034899933987874,0.08901781943308396,0.09483995421102365,0.1017115169323563,0.11384200564081336,0.09483995421102365,0.08034899933987874,0.08901781943308396,0.09483995421102365,0.1017115169323563,0.11384200564081336,0.09483995421102365,0.08034899933987874,0.08901781943308396,0.09483995421102365,0.1017115169323563,0.11384200564081336,0.09483995421102365,0.08034899933987874,0.08901781943308396,0.09483995421102365,0.1017115169323563,0.11384200564081336,0.09483995421102365,0.08034899933987874,0.08901781943308396,0.09483995421102365,0.1017115169323563,0.11384200564081336
Var(ε)/Var(Δy),0.7989302605739259,0.77151803518598,0.7868992563916676,0.7989302605739259,0.8095763575124606,0.8227994841619372,0.8014106986555297,0.7738516655269626,0.789356307637071,0.8014106986555297,0.81188559984758,0.825328460354476,0.9503358625884077,0.853124225921983,0.9018325648573531,0.9503358625884077,1.014984647533717,1.146190964918392,0.8015097699248265,0.7740889642079334,0.7894145310048981,0.8015097699248265,0.8119677811761814,0.8254389956444824,1.0034753987949738,0.8673231392183047,0.9414135741952493,1.0034753987949738,1.0856909066953018,1.2565548803428674,0.9758193061806587,0.8475593007251485,0.9125523481126213,0.9758193061806587,1.049720688344535,1.2386714039359008,1.0251817057836998,0.8789600941608676,0.9524973576808163,1.0251817057836998,1.1172965228642402,1.2702700558371853,0.9669801130635444,0.8277001721280947,0.8905805571024542,0.9669801130635444,1.0695576871106132,1.255211620930671
"2Cov(h(T),j)/Var(Δy)",-0.467512254675992,-1.0735122306852392,-0.6630174842642246,-0.467512254675992,-0.32544531915638925,-0.18393722289698058,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024667114695954557,-0.030614646107856573,-0.012812430385410845,-0.0024667114695954557,0.009116735057372918,0.02908196270021204,0.0,0.0,0.0,0.0,0.0,0.0,0.012644201881602937,-0.031237584269874216,-0.007079059131568647,0.012644201881602937,0.034003466771668565,0.06847411133885234,0.017960124188596445,-0.023976849833818883,-0.0010924438774940525,0.017960124188596445,0.03788425161836461,0.07399281494678675,-0.0029913629561338444,-0.05502559577189816,-0.02609549033769242,-0.0029913629561338444,0.023298159140360198,0.0583721079375848,-0.003917158436236454,-0.04965197016989049,-0.022909660269224044,-0.003917158436236454,0.018975576733262042,0.06277641664600139
"2Cov(h(T),k)/Var(Δy)",-0.0014733420301967673,-0.009939146914195278,-0.0044673298051060555,-0.0014733420301967673,0.0020236401704906534,0.013080269619340298,0.0,0.0,0.0,0.0,0.0,0.0,0.00045039217839102415,-0.002483597953813279,-0.0007754729876109749,0.00045039217839102415,0.001994189052441192,0.004514265103754182,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005627809493063483,-0.003954744965164312,-0.0020027007114242473,-0.0005627809493063483,0.0009333498242237383,0.0034799028826097444,-0.0005409061040754916,-0.0039026355760936517,-0.0019228844679597726,-0.0005409061040754916,0.0009370660777185263,0.0033129497536576948,0.000465747575608905,-0.0031600271518303865,-0.0011699145643823327,0.000465747575608905,0.002314949745094932,0.005268001445986959,0.0007395476717424724,-0.0033496812440400618,-0.0007447239548743537,0.0007395476717424724,0.00218752354030594,0.004579830932274963
"2Cov(h(T),ε)/Var(Δy)",-1.5126304661738895e-17,-4.7553273270741235e-14,-1.3037690892147303e-14,-1.5126304661738895e-17,1.4594196727313396e-14,4.328296139044149e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.30272327810382466,-0.685750609803777,-0.42564545447822355,-0.30272327810382466,-0.20656779640872652,-0.11275015150093882,0.0,0.0,0.0,0.0,0.0,0.0,-0.47761379019115546,-0.9569351348421553,-0.6304452013898125,-0.47761379019115546,-0.356572422792841,-0.2182455103092569,-0.4172477271821514,-0.9266736961183661,-0.5606307804382622,-0.4172477271821514,-0.30104395742744405,-0.17538194165372864,-0.5244019156575124,-1.0136519235761463,-0.7070361001690314,-0.5244019156575124,-0.38681033243979107,-0.2499028626466804,-0.4065777080515123,-0.9616729803268333,-0.6033041400771617,-0.4065777080515123,-0.2626123798014067,-0.15198902353755914
"2Cov(j,k)/Var(Δy)",-0.08663486568028886,-0.7045394722046415,-0.17254064692156856,-0.08663486568028886,-0.031645899263706,-0.0051540863813079535,-0.06958458198740163,-0.6426575090476244,-0.1616325936953179,-0.06958458198740163,-0.027023168138608732,-0.004830995977643817,-0.001372270180344688,-0.003873469088270791,-0.002433917602867979,-0.001372270180344688,-0.00041400688821712503,0.0009807828593431257,-0.001372270180344688,-0.003873469088270791,-0.002433917602867979,-0.001372270180344688,-0.00041400688821712503,0.0009807828593431257,-0.01181427583093361,-0.016008928375105234,-0.0135174884621959,-0.01181427583093361,-0.01022705941233187,-0.0079859456973833,-0.01181427583093361,-0.016008928375105234,-0.0135174884621959,-0.01181427583093361,-0.01022705941233187,-0.0079859456973833,-0.01181427583093361,-0.016008928375105234,-0.0135174884621959,-0.01181427583093361,-0.01022705941233187,-0.0079859456973833,-0.01181427583093361,-0.016008928375105234,-0.0135174884621959,-0.01181427583093361,-0.01022705941233187,-0.0079859456973833
"2Cov(j,ε)/Var(Δy)",-5.380112906982934e-16,-6.86127382507578e-14,-2.2243552863460568e-14,-5.380112906982934e-16,2.0030025806693424e-14,7.045698428109011e-14,2.407577913737828e-16,-1.5320936238311582e-14,-4.957808451693135e-15,2.407577913737828e-16,5.623771452012792e-15,1.847467556609914e-14,0.002466711469595451,-0.029081962700212138,-0.009116735057372944,0.002466711469595451,0.012812430385410817,0.0306146461078566,-1.4637912294068676e-17,-7.822647120165529e-17,-3.5141264066483584e-17,-1.4637912294068676e-17,1.9962973018516895e-18,4.0109322072612866e-17,-0.0027659444506522284,-0.06233720226922363,-0.024228226637955305,-0.0027659444506522284,0.016938565736324542,0.04379203817762084,-0.008535970346099295,-0.0660622645829302,-0.028678034305924343,-0.008535970346099295,0.012449706523755304,0.036738078586962535,0.013662207690038192,-0.050771657381377726,-0.012268762158662705,0.013662207690038192,0.036103875156682674,0.06253398870753192,0.014737044128390768,-0.054999078857895095,-0.009945476955340028,0.014737044128390768,0.03299668289030762,0.057314357989478204
