# Input data: Maddison_CRU_dataset.csv
Metric,0: Conjoined OLS Fit_point,0: Conjoined OLS Fit_p5,0: Conjoined OLS Fit_p25,0: Conjoined OLS Fit_p50,0: Conjoined OLS Fit_p75,0: Conjoined OLS Fit_p95,method0h0: No Climate Response (Joint)_point,method0h0: No Climate Response (Joint)_p5,method0h0: No Climate Response (Joint)_p25,method0h0: No Climate Response (Joint)_p50,method0h0: No Climate Response (Joint)_p75,method0h0: No Climate Response (Joint)_p95,5c: Precomputed k Combined_point,5c: Precomputed k Combined_p5,5c: Precomputed k Combined_p25,5c: Precomputed k Combined_p50,5c: Precomputed k Combined_p75,5c: Precomputed k Combined_p95,method1h0: No Climate Response (Precomputed k)_point,method1h0: No Climate Response (Precomputed k)_p5,method1h0: No Climate Response (Precomputed k)_p25,method1h0: No Climate Response (Precomputed k)_p50,method1h0: No Climate Response (Precomputed k)_p75,method1h0: No Climate Response (Precomputed k)_p95,6: Precomputed k LOESS_point,6: Precomputed k LOESS_p5,6: Precomputed k LOESS_p25,6: Precomputed k LOESS_p50,6: Precomputed k LOESS_p75,6: Precomputed k LOESS_p95,method2h0: No Climate Response (LOESS Precomputed k)_point,method2h0: No Climate Response (LOESS Precomputed k)_p5,method2h0: No Climate Response (LOESS Precomputed k)_p25,method2h0: No Climate Response (LOESS Precomputed k)_p50,method2h0: No Climate Response (LOESS Precomputed k)_p75,method2h0: No Climate Response (LOESS Precomputed k)_p95,6e: T/Quadratic Departure LOESS_point,6e: T/Quadratic Departure LOESS_p5,6e: T/Quadratic Departure LOESS_p25,6e: T/Quadratic Departure LOESS_p50,6e: T/Quadratic Departure LOESS_p75,6e: T/Quadratic Departure LOESS_p95,8: Piecewise Quadratic LOESS_point,8: Piecewise Quadratic LOESS_p5,8: Piecewise Quadratic LOESS_p25,8: Piecewise Quadratic LOESS_p50,8: Piecewise Quadratic LOESS_p75,8: Piecewise Quadratic LOESS_p95,5: Persistence Decay LOESS_point,5: Persistence Decay LOESS_p5,5: Persistence Decay LOESS_p25,5: Persistence Decay LOESS_p50,5: Persistence Decay LOESS_p75,5: Persistence Decay LOESS_p95,5: Persistence Decay LOESS (h4>0)_point,5: Persistence Decay LOESS (h4>0)_p5,5: Persistence Decay LOESS (h4>0)_p25,5: Persistence Decay LOESS (h4>0)_p50,5: Persistence Decay LOESS (h4>0)_p75,5: Persistence Decay LOESS (h4>0)_p95
Total R²,0.1863929345279196,0.16577270518266787,0.18227972862097022,0.19283343228868094,0.20490175870913954,0.22356427203008392,0.1856673502562166,0.16447996381095054,0.18126011813627801,0.19164677012637304,0.20398059894830703,0.2227511022705945,0.18623247489284067,0.16544221209783147,0.18209102141551312,0.1925457723601265,0.20462579195090716,0.22337956283006985,0.1856673502562165,0.16447996381095042,0.18126011813627801,0.191646770126373,0.20398059894830722,0.2227511022705945,0.18643533269182488,0.16589917156913803,0.18201354137169892,0.19250375417560417,0.2047281030330371,0.22227046883248686,0.1856673502562165,0.1649390530555616,0.18118474216862615,0.19177632362510322,0.2038154950697243,0.2214579394250744,0.18694590736338712,0.16635800503415632,0.1827466719024269,0.19317876842043896,0.20548997663011245,0.22266006853003395,0.1865137983795735,0.16620301879948066,0.18226563618388275,0.19269567633490592,0.20484370556982978,0.2223794306241725,0.1865766312470295,0.16610957696606937,0.18239166304168766,0.19287407358752562,0.20486137144606587,0.2226113496125874,0.1922978108942558,0.1641797310713993,0.1820991076946887,0.1922978108942558,0.20473740282567432,0.2227961544778684
Var(h(T))/Var(Δy),0.08708434328264038,0.034067265629406415,0.0790599457097399,0.13402335439120727,0.22243591634837134,0.49419792796126705,0.0,0.0,0.0,0.0,0.0,0.0,0.04738289938103376,0.02082886753928014,0.047241000478914046,0.07554184331827364,0.12097950742656845,0.23862247517248905,0.0,0.0,0.0,0.0,0.0,0.0,0.06835621453116554,0.030567777099120435,0.06368557755709445,0.10034682441886103,0.15095769823294458,0.3078080523050067,0.0,0.0,0.0,0.0,0.0,0.0,0.0834395622997223,0.04066939484468588,0.07865168363070632,0.11186331877706569,0.1612589431925684,0.28205792955721276,0.07545122822608268,0.0301397671371208,0.06947372581915032,0.10579499855772484,0.15556278511687288,0.2855272248799402,0.06820745932454864,0.03916836891879163,0.07470127144257413,0.11379443269701363,0.17842908094678805,0.32715239044902156,0.10493283930329417,0.034175504920614594,0.06807429988826087,0.10493283930329417,0.1630266975991461,0.29224601660467475
Var(j)/Var(Δy),0.22652245065249696,0.15410888003473874,0.21735309675137804,0.27802333533549883,0.38791922838282095,0.633527912037664,0.15929400584918785,0.09738657769159566,0.11497753854637476,0.134517378703076,0.1749536455331453,0.30479298672761185,0.10382283322160415,0.08446043908637817,0.09566998714473021,0.10337824241638628,0.11225603200896683,0.12566961279082253,0.10382283322160415,0.08446043908637817,0.09566998714473021,0.10337824241638628,0.11225603200896683,0.12566961279082253,0.08740998496108893,0.07102322463963319,0.08023022266736966,0.08684237069590109,0.09379004691725427,0.1063649697059307,0.08740998496108893,0.07102322463963319,0.08023022266736966,0.08684237069590109,0.09379004691725427,0.1063649697059307,0.08740998496108893,0.07102322463963319,0.08023022266736966,0.08684237069590109,0.09379004691725427,0.1063649697059307,0.08740998496108893,0.07102322463963319,0.08023022266736966,0.08684237069590109,0.09379004691725427,0.1063649697059307,0.08740998496108893,0.07102322463963319,0.08023022266736966,0.08684237069590109,0.09379004691725427,0.1063649697059307,0.08597942911764714,0.07072754305577907,0.07934652115191215,0.08597942911764714,0.0938428602026025,0.1069231041938178
Var(k)/Var(Δy),0.11805755622041358,0.08624519098513407,0.10091949215344621,0.12157873453098397,0.16373326704398652,0.30553522148240414,0.11951981289702494,0.08434960014784644,0.09850654669054276,0.11873542357030811,0.15734990076031619,0.2888152868755403,0.08184451703461235,0.0749663935252333,0.08223535015696021,0.08809339669151028,0.09381083468258176,0.10392012027351259,0.08184451703461235,0.0749663935252333,0.08223535015696021,0.08809339669151028,0.09381083468258176,0.10392012027351259,0.08184451703461235,0.0749663935252333,0.08223535015696021,0.08809339669151028,0.09381083468258176,0.10392012027351259,0.08184451703461235,0.0749663935252333,0.08223535015696021,0.08809339669151028,0.09381083468258176,0.10392012027351259,0.08184451703461235,0.0749663935252333,0.08223535015696021,0.08809339669151028,0.09381083468258176,0.10392012027351259,0.08184451703461235,0.0749663935252333,0.08223535015696021,0.08809339669151028,0.09381083468258176,0.10392012027351259,0.08184451703461235,0.0749663935252333,0.08223535015696021,0.08809339669151028,0.09381083468258176,0.10392012027351259,0.0883243624048165,0.07508322857957293,0.08248799461633591,0.0883243624048165,0.09400706763010841,0.10449666158427916
Var(ε)/Var(Δy),0.8136070654720804,0.7764357279699163,0.7950982412908606,0.8071665677113191,0.8177202713790297,0.8342272948173323,0.8143326497437833,0.7772488977294055,0.7960194010516932,0.808353229873627,0.8187398818637217,0.8355200361890495,0.8605852998515692,0.8187348876662791,0.8529357553508718,0.8830375877208336,0.9323575147826161,1.046017594402401,0.8143326497437832,0.7772488977294052,0.7960194010516929,0.8083532298736269,0.8187398818637219,0.8355200361890494,0.8825054430464031,0.830704624770636,0.8709208093645251,0.9070550216825526,0.9633518233776033,1.1039155533974057,0.8143326497437836,0.7785420605749255,0.7961845049302754,0.808223676374897,0.8188152578313737,0.8350609469444382,0.8960964115323466,0.8394813580504886,0.8810237787107693,0.9192833906305602,0.971481486974848,1.0895639202218093,0.8896095719912418,0.831407115789822,0.8748033026934336,0.9154529594010525,0.9662562408456626,1.0926689590546395,0.880655269157318,0.8359879363490931,0.8781974739566087,0.9206117371316651,0.990704391743882,1.141672334660394,0.90859519428942,0.8318528736258415,0.8695728816845774,0.90859519428942,0.9711991658279029,1.1022653503648818
"2Cov(h(T),j)/Var(Δy)",-0.15643864921908304,-0.9198254901718832,-0.4282429436078613,-0.2556357773910345,-0.15490731670278818,-0.06547998271524909,0.0,0.0,0.0,0.0,0.0,0.0,0.004340127845640353,-0.025781606784933693,-0.008649426661254105,0.004693883719805591,0.018469948273056307,0.047670992476591574,0.0,0.0,0.0,0.0,0.0,0.0,0.0067642668462161715,-0.028380948883690773,-0.009324721309771258,0.007373028033235572,0.02308567236153268,0.05706878819439555,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007831935815447327,-0.03363385272832893,-0.014452351637279953,-0.00033199646909317173,0.014767774058891032,0.044571472641197984,0.010187796388605017,-0.03049438592864824,-0.011794486060267931,0.005059206668080176,0.02186605868542337,0.05348361092104131,-0.011750994811929146,-0.0455087019871207,-0.02091988694347268,-0.005229341972056359,0.014353389860433653,0.0515001035733036,-0.014804382510955318,-0.04899067041648447,-0.027765471867515698,-0.014804382510955318,-0.001969471344734222,0.022474531067019188
"2Cov(h(T),k)/Var(Δy)",-0.0048707780937290585,-0.01542904428136005,-0.0043414607892099406,-0.0010912170913140646,0.0018237213369453615,0.011117874904746554,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024412345786552642,-0.001400545245897466,-0.000736171081035355,-0.0003452649317383044,0.0001652052997275751,0.0011391412265066632,0.0,0.0,0.0,0.0,0.0,0.0,-0.00028251892229820476,-0.001514040099703013,-0.0008259976991319733,-0.0003911158658485495,0.00016772270117102768,0.0011801243708958352,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006067973773468754,-0.0018185478342487545,-0.0010759789278182489,-0.0006473194188263975,-0.00012665783592276405,0.0008886166308862519,-7.529693550749729e-05,-0.0014959769054872871,-0.0007834891247740989,-0.00031318233523353387,0.0003319583109492616,0.0014867055226532543,-0.0005175160771819808,-0.002238062671375473,-0.0010912804094025423,-0.00048662748062605377,0.00016953767895185843,0.0013538513539011322,-0.0006915830225936884,-0.0024478447805203357,-0.0012720659912926098,-0.0006915830225936884,-7.414264481936297e-05,0.001046051581823369
"2Cov(h(T),ε)/Var(Δy)",-5.798947473596201e-15,-2.834682667881314e-14,-7.979116500903187e-15,-9.828255473423462e-16,7.436357448438703e-15,2.8832643330423925e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.09363554948881973,-0.4736247325994887,-0.23947870318336759,-0.1496974153663414,-0.0934273510930097,-0.04099519598195375,0.0,0.0,0.0,0.0,0.0,0.0,-0.13652900783378522,-0.6134315629417957,-0.30199372074077035,-0.19885478314724864,-0.1279548159642226,-0.061799549930960165,0.0,0.0,0.0,0.0,0.0,0.0,-0.1652033240882852,-0.5614514932929127,-0.3202545262650483,-0.22108998131256868,-0.1558130029628886,-0.07977214355451061,-0.1507281504735409,-0.5718949064252923,-0.3103808149878197,-0.20944115483467418,-0.13852917573854168,-0.06010523733576871,-0.13453007873808293,-0.6500161290484441,-0.3541221005306095,-0.22621660466750393,-0.14826692155310064,-0.07780450755217308,-0.20812101884727696,-0.5759297238760347,-0.31806049476392306,-0.20812101884727696,-0.13564438234324788,-0.0687075503177052
"2Cov(j,k)/Var(Δy)",-0.08396198831478568,-0.40682814701041387,-0.14139637483429124,-0.06418042601200251,-0.02634649455272855,-0.001961894185751854,-0.09314646848999181,-0.38656545653516766,-0.13848175913133562,-0.056099895385625084,-0.022575908330759637,-0.0016650270051362542,-4.3181611216613235e-19,-4.5666623955304034e-18,-2.0066284602382616e-18,-6.823068879726638e-19,3.928860957416381e-19,1.8478238664414863e-18,-4.3181611216613235e-19,-4.5666623955304034e-18,-2.0066284602382616e-18,-6.823068879726638e-19,3.928860957416381e-19,1.8478238664414863e-18,-2.870307098516056e-18,-7.31443659243118e-18,-5.209932478243723e-18,-3.8642743140013254e-18,-2.675478487372755e-18,-1.023089889185997e-18,-2.870307098516056e-18,-7.31443659243118e-18,-5.209932478243723e-18,-3.8642743140013254e-18,-2.675478487372755e-18,-1.023089889185997e-18,-2.870307098516056e-18,-7.31443659243118e-18,-5.209932478243723e-18,-3.8642743140013254e-18,-2.675478487372755e-18,-1.023089889185997e-18,-2.870307098516056e-18,-7.31443659243118e-18,-5.209932478243723e-18,-3.8642743140013254e-18,-2.675478487372755e-18,-1.023089889185997e-18,-2.870307098516056e-18,-7.31443659243118e-18,-5.209932478243723e-18,-3.8642743140013254e-18,-2.675478487372755e-18,-1.023089889185997e-18,-4.040357379593991e-18,-7.431900701569623e-18,-5.388814470813928e-18,-4.040357379593991e-18,-2.7766256647197898e-18,-1.2044082612643673e-18
"2Cov(j,ε)/Var(Δy)",2.4800875784254093e-14,-1.0757071281630218e-13,-2.4619956973180753e-14,5.82092396672914e-16,2.4268868193769547e-14,9.970833560995237e-14,-8.743920658095337e-15,-1.689284939189003e-14,-7.375929181434479e-15,-1.9329968228821663e-15,3.2692581437498765e-15,1.224738975471804e-14,-0.004340127845640325,-0.047670992476591616,-0.0184699482730563,-0.004693883719805593,0.008649426661254091,0.025781606784933703,1.2008298060384651e-17,-1.9527009213665218e-17,-6.112967668856778e-18,2.790642398630077e-18,1.2138303976816094e-17,2.4307033482323285e-17,0.009648581414298958,-0.037237912333554196,-0.006084542347711039,0.010009686315774282,0.025078316254556875,0.044796981202258,0.016412848260515124,0.010888718184138845,0.01404702321013577,0.016277246350602344,0.018907960304546362,0.023009313942646333,0.01719604184205987,-0.02674074395589472,0.002179552448802663,0.016760747735726982,0.030821256687692818,0.048930179670944256,0.006225051871910116,-0.035448766957251784,-0.005535044992921638,0.012379904726824445,0.028419578259426412,0.04737352190009318,0.02816384307244428,-0.03364874572368909,0.0032743953132623625,0.022562480028278833,0.037035827481078955,0.060287253642247164,0.031276544369071325,-0.0033786075497859057,0.01942302712871366,0.031276544369071325,0.043099130867797875,0.06470815433189346
