# Input data: Maddison_CRU_dataset.csv
Metric,0: Conjoined OLS Fit_point,0: Conjoined OLS Fit_p5,0: Conjoined OLS Fit_p25,0: Conjoined OLS Fit_p50,0: Conjoined OLS Fit_p75,0: Conjoined OLS Fit_p95,approach0h0: No Climate Response (Joint)_point,approach0h0: No Climate Response (Joint)_p5,approach0h0: No Climate Response (Joint)_p25,approach0h0: No Climate Response (Joint)_p50,approach0h0: No Climate Response (Joint)_p75,approach0h0: No Climate Response (Joint)_p95,1: Precomputed k Combined_point,1: Precomputed k Combined_p5,1: Precomputed k Combined_p25,1: Precomputed k Combined_p50,1: Precomputed k Combined_p75,1: Precomputed k Combined_p95,approach1h0: No Climate Response (Precomputed k)_point,approach1h0: No Climate Response (Precomputed k)_p5,approach1h0: No Climate Response (Precomputed k)_p25,approach1h0: No Climate Response (Precomputed k)_p50,approach1h0: No Climate Response (Precomputed k)_p75,approach1h0: No Climate Response (Precomputed k)_p95,2: Precomputed k LOESS_point,2: Precomputed k LOESS_p5,2: Precomputed k LOESS_p25,2: Precomputed k LOESS_p50,2: Precomputed k LOESS_p75,2: Precomputed k LOESS_p95,approach2h0: No Climate Response (LOESS Precomputed k)_point,approach2h0: No Climate Response (LOESS Precomputed k)_p5,approach2h0: No Climate Response (LOESS Precomputed k)_p25,approach2h0: No Climate Response (LOESS Precomputed k)_p50,approach2h0: No Climate Response (LOESS Precomputed k)_p75,approach2h0: No Climate Response (LOESS Precomputed k)_p95,3: Piecewise Quadratic LOESS_point,3: Piecewise Quadratic LOESS_p5,3: Piecewise Quadratic LOESS_p25,3: Piecewise Quadratic LOESS_p50,3: Piecewise Quadratic LOESS_p75,3: Piecewise Quadratic LOESS_p95,4: Persistence Decay LOESS_point,4: Persistence Decay LOESS_p5,4: Persistence Decay LOESS_p25,4: Persistence Decay LOESS_p50,4: Persistence Decay LOESS_p75,4: Persistence Decay LOESS_p95,4: T/Quadratic Departure LOESS_point,4: T/Quadratic Departure LOESS_p5,4: T/Quadratic Departure LOESS_p25,4: T/Quadratic Departure LOESS_p50,4: T/Quadratic Departure LOESS_p75,4: T/Quadratic Departure LOESS_p95,6: Interaction Model LOESS_point,6: Interaction Model LOESS_p5,6: Interaction Model LOESS_p25,6: Interaction Model LOESS_p50,6: Interaction Model LOESS_p75,6: Interaction Model LOESS_p95,7: Lagged Deviation LOESS_point,7: Lagged Deviation LOESS_p5,7: Lagged Deviation LOESS_p25,7: Lagged Deviation LOESS_p50,7: Lagged Deviation LOESS_p75,7: Lagged Deviation LOESS_p95
Total R²,0.1863929345279196,0.16307225787887428,0.17668390472045262,0.19312113743144327,0.2010672870458318,0.22666942886798602,0.1856673502562166,0.1618536387021935,0.17522133853919108,0.19179419168378026,0.20004952037599555,0.2258000094788277,0.18623247489284067,0.16277748169730308,0.17631346723678565,0.192847276938373,0.2008079548568294,0.2264776541934756,0.1856673502562165,0.1618536387021935,0.17522133853919108,0.19179419168378015,0.20004952037599558,0.22580000947882764,0.18643533269182488,0.16403359243437154,0.177057217658437,0.1910890578407919,0.2006780714948601,0.22582929073442592,0.1856673502562165,0.16309657206775835,0.17609450957433315,0.19055209414493823,0.1997754945873551,0.22482970339925423,0.1865137983795735,0.16433546666679513,0.17738116130898537,0.19129405968339164,0.20123105407932276,0.22584267170792535,0.1865178841145564,0.16408869406999163,0.17689491775160843,0.19151656467348233,0.2008429234240524,0.22555961441987646,0.18694590736338712,0.16462887000893087,0.17794573212816278,0.19173527082090647,0.20138027030399525,0.2259784635929658,0.18637717472391524,0.16399015903225037,0.17697916158269278,0.19103886603627956,0.20060979004646995,0.22579279865847632,0.185899017400858,0.16376930567767498,0.1766283536939147,0.1908139228500249,0.2003996194365283,0.2257586039980623
Var(h(T))/Var(Δy),0.08708434328264038,0.04146554959065196,0.0839033101678941,0.12191750549827957,0.20044962580803224,0.3964256787563775,0.0,0.0,0.0,0.0,0.0,0.0,0.04738289938103376,0.028456866411821206,0.05019973820343253,0.07568440025005532,0.0980691088938612,0.18757676834412781,0.0,0.0,0.0,0.0,0.0,0.0,0.06835621453116554,0.03477739977114346,0.06817360286702531,0.09592782702738792,0.14052867464188634,0.2515578707265748,0.0,0.0,0.0,0.0,0.0,0.0,0.07545122822608268,0.04745721955751139,0.07244141813765266,0.11010594683230052,0.14769465608511226,0.2251544898821951,0.06711631971870331,0.042327935156863235,0.0626371392444732,0.09240967948261841,0.14205785784722108,0.19591515794576497,0.0834395622997223,0.05609310787972393,0.08864901836570173,0.11469386398620449,0.14757527697192396,0.2360840333696326,0.000708498058442686,0.0003904636932006961,0.0005541518427764145,0.0007810908590423162,0.0011964768518808431,0.0016411409675865054,0.024812605835114607,0.002744985796723688,0.009405032651155235,0.042243152570374275,0.12680129379714103,0.34403375878696146
Var(j)/Var(Δy),0.22652245065249696,0.15336146599450812,0.23762082731456016,0.2654897117669617,0.3586837003538287,0.5085987157193684,0.15929400584918785,0.10722401777078804,0.11535999605736424,0.14005170057772948,0.16835877776950714,0.23352384794035558,0.10382283322160415,0.08429182641092772,0.09240242887442963,0.10212285040427427,0.11009383776999879,0.12678358007787036,0.10382283322160415,0.08429182641092772,0.09240242887442963,0.10212285040427427,0.11009383776999879,0.12678358007787036,0.08740998496108893,0.07147524378180133,0.07843729313362914,0.08665986199838957,0.09201854691966124,0.10705789233847193,0.08740998496108893,0.07147524378180133,0.07843729313362914,0.08665986199838957,0.09201854691966124,0.10705789233847193,0.08740998496108893,0.07147524378180133,0.07843729313362914,0.08665986199838957,0.09201854691966124,0.10705789233847193,0.08740998496108893,0.07147524378180133,0.07843729313362914,0.08665986199838957,0.09201854691966124,0.10705789233847193,0.08740998496108893,0.07147524378180133,0.07843729313362914,0.08665986199838957,0.09201854691966124,0.10705789233847193,0.08740998496108893,0.07147524378180133,0.07843729313362914,0.08665986199838957,0.09201854691966124,0.10705789233847193,0.0853669844468175,0.06871829543333156,0.07651303456632813,0.08463016258275707,0.0901345441714088,0.10503000935486716
Var(k)/Var(Δy),0.11805755622041358,0.09191770070004344,0.10118012117429152,0.11901374797178403,0.16658371318609672,0.2362493524082045,0.11951981289702494,0.08905428443737244,0.10177332216675126,0.11346699768822882,0.16634804075144158,0.2323700560263478,0.08184451703461235,0.07611724454690787,0.08137128589206934,0.08793395259510484,0.09324005015802707,0.10621061675481153,0.08184451703461235,0.07611724454690787,0.08137128589206934,0.08793395259510484,0.09324005015802707,0.10621061675481153,0.08184451703461235,0.07611724454690787,0.08137128589206934,0.08793395259510484,0.09324005015802707,0.10621061675481153,0.08184451703461235,0.07611724454690787,0.08137128589206934,0.08793395259510484,0.09324005015802707,0.10621061675481153,0.08184451703461235,0.07611724454690787,0.08137128589206934,0.08793395259510484,0.09324005015802707,0.10621061675481153,0.08184451703461235,0.07611724454690787,0.08137128589206934,0.08793395259510484,0.09324005015802707,0.10621061675481153,0.08184451703461235,0.07611724454690787,0.08137128589206934,0.08793395259510484,0.09324005015802707,0.10621061675481153,0.08184451703461235,0.07611724454690787,0.08137128589206934,0.08793395259510484,0.09324005015802707,0.10621061675481153,0.0827730085473414,0.07704583445606449,0.08207721641758665,0.08874958204071612,0.09410115005488946,0.10695004906357702
Var(ε)/Var(Δy),0.8136070654720804,0.7733305711320141,0.7989327129541681,0.8068788625685568,0.8233160952795473,0.8369277421211254,0.8143326497437833,0.7741999905211724,0.7999504796240045,0.8082058083162196,0.8247786614608088,0.8381463612978065,0.8605852998515692,0.8264083683147103,0.8551640755104316,0.875914968551728,0.9307095126403945,1.001326256782046,0.8143326497437832,0.7741999905211724,0.7999504796240045,0.8082058083162196,0.8247786614608089,0.8381463612978063,0.8825054430464031,0.8507759923250428,0.8761461551930989,0.9060040565019413,0.9621169411287678,1.0473180542801503,0.8143326497437836,0.7751702966007458,0.800224505412645,0.8094479058550617,0.8239054904256667,0.8369034279322416,0.8896095719912418,0.8578053567668118,0.8800763387825314,0.9103047792753047,0.9557060925533973,1.0488274650123142,0.8795264748932741,0.8370145078834677,0.8601911563829672,0.8990550008279208,0.9541298673353531,0.9962623416382717,0.8960964115323466,0.8576066771736025,0.8869963728264973,0.9203006419856086,0.9654205592895744,1.0559549362763956,0.8136214988668284,0.7742042362111404,0.7993879485606816,0.8089603657320317,0.8230181154047862,0.8360069887500736,0.8382514857760798,0.7943311248213127,0.8175457415401798,0.8449213394538931,0.9428410202803722,1.1744747503525803
"2Cov(h(T),j)/Var(Δy)",-0.15643864921908304,-0.7568560145859503,-0.3859393343973244,-0.24110495929490772,-0.16151695861994952,-0.0829751317313066,0.0,0.0,0.0,0.0,0.0,0.0,0.004340127845640353,-0.016609854924919256,-0.009370740586188803,0.003433765979069446,0.01773391989058228,0.03746854437078437,0.0,0.0,0.0,0.0,0.0,0.0,0.0067642668462161715,-0.01798059866534352,-0.010545036179040231,0.0033696780812239317,0.0210433043392662,0.04638854377193672,0.0,0.0,0.0,0.0,0.0,0.0,0.010187796388605017,-0.0341739304029877,-0.01649800471283846,-0.0007046054693233576,0.022471867704465794,0.04413459079201415,-0.013509605532397006,-0.040549501824155176,-0.02312733579432135,-0.012426570642224216,-0.0037726092907373948,0.03679772429082126,-0.0007831935815447327,-0.026024816416349787,-0.0152345226169872,-0.001631985979128657,0.015337167074595816,0.03164284187753317,-0.00012052972889141696,-0.0003429061445035342,-0.0002141115798199709,-0.00013213031891305997,-5.8512109818127734e-05,-1.8524281270936346e-05,-0.003346648715673892,-0.014573252760214171,-0.003912087756887768,0.0018349696906138537,0.017463830880456416,0.05216625783034915
"2Cov(h(T),k)/Var(Δy)",-0.0048707780937290585,-0.011768667193006671,-0.003349513290244754,-0.0003019081986635235,0.002716951358822018,0.005925087753914187,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024412345786552642,-0.0010574688790189787,-0.0007443690503772079,-0.0004982507897483158,0.00027219631645462866,0.0005687631681486947,0.0,0.0,0.0,0.0,0.0,0.0,-0.00028251892229820476,-0.0012610359390198274,-0.0008109424563682408,-0.0005622687648136212,0.0002758942104501687,0.0006465041578817372,0.0,0.0,0.0,0.0,0.0,0.0,-7.529693550749729e-05,-0.0012728847829226874,-0.0008244058259919173,-0.0005194567298538404,0.00043072454210779843,0.0011952679634748024,-0.0006125598761126968,-0.00200625532624366,-0.0011534769810014585,-0.0006340929867540345,-0.0002235581488054906,0.0005337747419802689,-0.0006067973773468754,-0.0015645662647374538,-0.0011067752317211416,-0.0009087464978241463,-0.0001128936289305895,0.00033082626597314097,-0.000741799790890187,-0.0015641159440312516,-0.0010288990994094579,-0.0008718583196994534,-0.0005865454557226167,-0.0003187056604193749,-0.00039309455660216223,-0.0010142462259111727,-0.0007065809060343506,-0.00043189270553431263,7.116632396060573e-05,0.0006549924103775072
"2Cov(h(T),ε)/Var(Δy)",-5.798947473596201e-15,-2.486602949244386e-14,-1.126467336002361e-14,-5.4935616682389585e-15,5.730305503521882e-15,3.3627668628802095e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.09363554948881973,-0.3729860473090985,-0.19448793158227146,-0.1496974153663414,-0.09954729131538245,-0.05623590972873965,0.0,0.0,0.0,0.0,0.0,0.0,-0.13652900783378522,-0.5026298542202049,-0.2786496297913938,-0.18833610627877012,-0.13766021306799,-0.06908176299538868,0.0,0.0,0.0,0.0,0.0,0.0,-0.1507281504735409,-0.4490591731491697,-0.29551428688845455,-0.21857754264269907,-0.1429261317345158,-0.0938288694073861,-0.13231014486819392,-0.38267550542213113,-0.27892790573617077,-0.18188873970924596,-0.1244968671214587,-0.08389678471798312,-0.1652033240882852,-0.46453553213316207,-0.29691849809604987,-0.22463599735216988,-0.17549053045909738,-0.11115039921332331,2.6528185124104943e-06,6.454061196849078e-07,2.262411964445544e-06,3.8550863473186846e-06,5.326913326420491e-06,7.218436296619306e-06,-0.04813734425703329,-0.6930480757426294,-0.25704761598466475,-0.08372276467162175,-0.016856676999718646,-0.0036339663008798356
"2Cov(j,k)/Var(Δy)",-0.08396198831478568,-0.29463088728024284,-0.1543720511217637,-0.06230044002253926,-0.029886980784872133,0.00022560123582592012,-0.09314646848999181,-0.28034860240395765,-0.15318177989077023,-0.05189114796370979,-0.024149806513985496,0.00034445934985971734,-4.3181611216613235e-19,-4.756157145722846e-18,-2.7306998674230945e-18,-2.1487720064251186e-18,-4.44173252091717e-19,7.303544186267596e-19,-4.3181611216613235e-19,-4.756157145722846e-18,-2.7306998674230945e-18,-2.1487720064251186e-18,-4.44173252091717e-19,7.303544186267596e-19,-2.870307098516056e-18,-7.061324146588472e-18,-5.040699725436565e-18,-3.470854543399216e-18,-2.6588247476202935e-18,-5.822224584593724e-19,-2.870307098516056e-18,-7.061324146588472e-18,-5.040699725436565e-18,-3.470854543399216e-18,-2.6588247476202935e-18,-5.822224584593724e-19,-2.870307098516056e-18,-7.061324146588472e-18,-5.040699725436565e-18,-3.470854543399216e-18,-2.6588247476202935e-18,-5.822224584593724e-19,-2.870307098516056e-18,-7.061324146588472e-18,-5.040699725436565e-18,-3.470854543399216e-18,-2.6588247476202935e-18,-5.822224584593724e-19,-2.870307098516056e-18,-7.061324146588472e-18,-5.040699725436565e-18,-3.470854543399216e-18,-2.6588247476202935e-18,-5.822224584593724e-19,-2.870307098516056e-18,-7.061324146588472e-18,-5.040699725436565e-18,-3.470854543399216e-18,-2.6588247476202935e-18,-5.822224584593724e-19,-4.819558966731507e-19,-8.562874003700731e-18,-5.3577814190700586e-18,-3.752549066880334e-18,-2.6972630541891296e-18,-1.1492802468086244e-18
"2Cov(j,ε)/Var(Δy)",2.4800875784254093e-14,-4.2655792291068e-14,-6.227953345972357e-15,3.852867953809897e-15,1.2573936258426817e-14,3.98856548968891e-14,-8.743920658095337e-15,-1.504270106437055e-14,-7.0862936096637255e-15,-3.4601752292977693e-15,-7.074905144346931e-16,6.830911773424885e-15,-0.004340127845640325,-0.03746854437078438,-0.017733919890582255,-0.003433765979069428,0.009370740586188827,0.01660985492491924,1.2008298060384651e-17,-7.11209252020054e-18,-3.039760234699232e-18,4.830231068126422e-18,1.3949010937398653e-17,2.864957188368208e-17,0.009648581414298958,-0.029015189146525754,-0.006337451460713918,0.014245533210003474,0.026800815102000573,0.03245638078285453,0.016412848260515124,0.011145546610483533,0.012757885873958007,0.015086515376550562,0.016828251218336643,0.020639442670181057,0.006225051871910116,-0.026761236166603176,-0.007947995245899253,0.015275748525067412,0.0312861213559094,0.05025130721425586,0.029922453792912147,-0.019783443739134675,0.020588823304192153,0.028866930328594356,0.038342409386631776,0.05340793273058555,0.01719604184205987,-0.015261078979795934,0.0017792006995507664,0.019264791152270526,0.030679617102342356,0.04104908830823511,0.01653337798940656,0.011178283368645667,0.012928953600878037,0.015354492993299076,0.016963909929605794,0.02083232773960899,0.020279908367354153,-0.036535760139487734,-0.003273925712491695,0.015275494496717293,0.021558476576045475,0.030128252322395924
