# Input data: Maddison_CRU_dataset.csv
iteration,approach,approach_name,year,k_value
0,approach0,0: Conjoined OLS Fit,1961,0.001021731068086899
1,approach0,0: Conjoined OLS Fit,1961,-0.006516736794715743
2,approach0,0: Conjoined OLS Fit,1961,-0.0024959940196749037
3,approach0,0: Conjoined OLS Fit,1961,-0.007334929833334963
4,approach0,0: Conjoined OLS Fit,1961,-0.0074243720080881745
5,approach0,0: Conjoined OLS Fit,1961,0.0004826365277533842
6,approach0,0: Conjoined OLS Fit,1961,-0.008169767169643738
7,approach0,0: Conjoined OLS Fit,1961,-0.006021902531875543
8,approach0,0: Conjoined OLS Fit,1961,0.003786874965203385
9,approach0,0: Conjoined OLS Fit,1961,-0.006705689553242418
10,approach0,0: Conjoined OLS Fit,1961,-0.009279181575565813
11,approach0,0: Conjoined OLS Fit,1961,-0.009195475880934549
12,approach0,0: Conjoined OLS Fit,1961,-0.00234903732890546
13,approach0,0: Conjoined OLS Fit,1961,-0.008177106827674335
14,approach0,0: Conjoined OLS Fit,1961,-0.0016026519073856701
15,approach0,0: Conjoined OLS Fit,1961,-0.003096875336523461
16,approach0,0: Conjoined OLS Fit,1961,-0.0036124060021031114
17,approach0,0: Conjoined OLS Fit,1961,-0.001479460194882834
18,approach0,0: Conjoined OLS Fit,1961,-0.010268184885671862
19,approach0,0: Conjoined OLS Fit,1961,-0.00641305479628973
20,approach0,0: Conjoined OLS Fit,1961,-0.006168112568750696
21,approach0,0: Conjoined OLS Fit,1961,-0.0019512791150571515
22,approach0,0: Conjoined OLS Fit,1961,0.0010536212689553626
23,approach0,0: Conjoined OLS Fit,1961,-0.010086184982001166
24,approach0,0: Conjoined OLS Fit,1961,0.0019319517038712888
25,approach0,0: Conjoined OLS Fit,1961,0.002419748914932624
26,approach0,0: Conjoined OLS Fit,1961,0.0002861192657186134
27,approach0,0: Conjoined OLS Fit,1961,-0.00015129706515534802
28,approach0,0: Conjoined OLS Fit,1961,0.0033770400537317113
29,approach0,0: Conjoined OLS Fit,1961,-0.011138743940961059
30,approach0,0: Conjoined OLS Fit,1961,-0.003566773686760682
31,approach0,0: Conjoined OLS Fit,1961,-0.007545967454849447
