# Input data: Maddison_CRU_dataset.csv
iteration,approach,approach_name,h1,h2,T_opt,r_squared,total_r_squared,f1,h4
-1,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.00807102877765846,-0.00027720242122732303,14.558005557678227,0.1863929345279196,0.1863929345279196,,
0,Approach QJ,Approach QJ: Quadratic (Joint OLS),-0.00033159469247301404,-5.513886053095071e-06,-30.06905558801694,-0.04251870477422903,-0.04251870477422903,,
1,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0002063402927553012,-1.6974969842613473e-05,6.0777808346177595,-0.012458982130762797,-0.012458982130762797,,
2,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.000984365233554915,-4.032267672792507e-05,12.206099810744988,-0.011357659149242805,-0.011357659149242805,,
3,Approach QJ,Approach QJ: Quadratic (Joint OLS),-0.00011575854935056018,-7.271578260231957e-06,-7.959657807964484,-0.026173924233299894,-0.026173924233299894,,
4,Approach QJ,Approach QJ: Quadratic (Joint OLS),-0.0015587677886106394,4.2719090451499896e-05,18.244393456601674,-0.06673369594670597,-0.06673369594670597,,
5,Approach QJ,Approach QJ: Quadratic (Joint OLS),-0.0001771548943620631,-9.179770578295445e-06,-9.649200535628106,-0.028609189405815583,-0.028609189405815583,,
6,Approach QJ,Approach QJ: Quadratic (Joint OLS),7.217928528104353e-06,-1.7146121054738395e-05,0.2104828405521391,-0.023837590613843718,-0.023837590613843718,,
7,Approach QJ,Approach QJ: Quadratic (Joint OLS),-0.0003031016448114087,-4.8641530738408745e-06,-31.156672108189944,-0.003464610233539389,-0.003464610233539389,,
8,Approach QJ,Approach QJ: Quadratic (Joint OLS),-0.00014229461360151655,-9.365790350845702e-06,-7.5965085844927005,-0.006837829351693747,-0.006837829351693747,,
9,Approach QJ,Approach QJ: Quadratic (Joint OLS),-0.00019104315831134725,-1.0549766963988416e-05,-9.054378118657608,-0.05869686145846553,-0.05869686145846553,,
10,Approach QJ,Approach QJ: Quadratic (Joint OLS),-0.0007491719451677378,1.1401990013172619e-05,32.852683799153745,-0.012226901426938053,-0.012226901426938053,,
11,Approach QJ,Approach QJ: Quadratic (Joint OLS),-0.0004939400910889772,-8.233227254930939e-07,-299.9674828562232,-0.0023004648406037553,-0.0023004648406037553,,
12,Approach QJ,Approach QJ: Quadratic (Joint OLS),-0.0002651941117856082,-6.276739409677785e-06,-21.12514910024135,-0.031456427929618114,-0.031456427929618114,,
13,Approach QJ,Approach QJ: Quadratic (Joint OLS),1.5730502615979957e-05,-1.6563993966390942e-05,0.47484026642058147,-0.01954565917056139,-0.01954565917056139,,
14,Approach QJ,Approach QJ: Quadratic (Joint OLS),-0.0003407277077303278,-4.00356969982938e-06,-42.552988117685146,-0.01778498035899645,-0.01778498035899645,,
15,Approach QJ,Approach QJ: Quadratic (Joint OLS),-0.0006679104205560963,5.387427040054341e-06,61.987885459081724,-0.02442792004475991,-0.02442792004475991,,
16,Approach QJ,Approach QJ: Quadratic (Joint OLS),-7.971757658697083e-05,1.4538824525828095e-06,27.41541327682759,0.009160120085295542,0.009160120085295542,,
17,Approach QJ,Approach QJ: Quadratic (Joint OLS),-0.0008099160024969562,1.6491441251518744e-05,24.555646475785395,-0.03781959118438505,-0.03781959118438505,,
18,Approach QJ,Approach QJ: Quadratic (Joint OLS),-0.0012621042052090151,3.303502744774309e-05,19.102514856473057,-0.03224707645400526,-0.03224707645400526,,
19,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0005795919119746729,-3.0124952039349447e-05,9.61979808660949,-0.012730602087287934,-0.012730602087287934,,
20,Approach QJ,Approach QJ: Quadratic (Joint OLS),-4.368810981493152e-05,-1.8440522138071128e-05,-1.1845681344547134,-0.01593892377767414,-0.01593892377767414,,
21,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0011009741314490422,-4.9290758042914915e-05,11.168159865694102,-0.025161808329410507,-0.025161808329410507,,
22,Approach QJ,Approach QJ: Quadratic (Joint OLS),-0.0007761644670468866,1.811761139658263e-05,21.420165441711813,-0.020612967670325943,-0.020612967670325943,,
23,Approach QJ,Approach QJ: Quadratic (Joint OLS),-0.0007500033335526968,2.1377465812800545e-05,17.541913997673305,-0.04504469770105346,-0.04504469770105346,,
24,Approach QJ,Approach QJ: Quadratic (Joint OLS),-0.0013255423732335002,2.184010698977127e-05,30.3465173923899,-0.07032093595260136,-0.07032093595260136,,
25,Approach QJ,Approach QJ: Quadratic (Joint OLS),-5.347707684509971e-05,-1.7583460047202459e-06,-15.206642123205993,0.009260696463980977,0.009260696463980977,,
26,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0007606256671464424,-2.757688572698628e-05,13.791000091103594,0.007727898793445265,0.007727898793445265,,
27,Approach QJ,Approach QJ: Quadratic (Joint OLS),-0.0006191656606850874,7.4565717588760414e-06,41.51811856085569,-0.010592791669582935,-0.010592791669582935,,
28,Approach QJ,Approach QJ: Quadratic (Joint OLS),-0.0017228358801820028,4.5704282109779407e-05,18.847641847254454,-0.08733187318757096,-0.08733187318757096,,
29,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.00020449983533644072,-1.3085618467782827e-05,7.813915553167214,-0.027412636548738156,-0.027412636548738156,,
-1,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0,,0.1856673502562166,0.1856673502562166,,
0,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0,,0.002258551722436719,0.002258551722436719,,
1,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0,,-0.0021911992609899844,-0.0021911992609899844,,
2,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0,,-0.01810007608839559,-0.01810007608839559,,
3,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0,,6.213130162979752e-05,6.213130162979752e-05,,
4,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0,,0.003771428136605026,0.003771428136605026,,
5,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0,,0.006674772965466369,0.006674772965466369,,
6,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0,,0.01045120317534498,0.01045120317534498,,
7,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0,,0.020259085500460072,0.020259085500460072,,
8,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0,,0.022724729008612554,0.022724729008612554,,
9,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0,,-0.014414973126336328,-0.014414973126336328,,
10,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0,,0.025522578036641264,0.025522578036641264,,
11,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0,,0.03404247035787156,0.03404247035787156,,
12,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0,,-0.0033475088360259697,-0.0033475088360259697,,
13,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0,,0.01164965680153629,0.01164965680153629,,
14,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0,,0.019244228744211278,0.019244228744211278,,
15,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0,,0.023232474341746134,0.023232474341746134,,
16,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0,,0.012375199098211387,0.012375199098211387,,
17,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0,,0.0033187980089438573,0.0033187980089438573,,
18,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0,,0.004565410348095544,0.004565410348095544,,
19,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0,,-0.0035559318447662136,-0.0035559318447662136,,
