# Input data: Maddison_CRU_dataset.csv
Metric,Approach QJ: Quadratic (Joint OLS)_point,Approach QJ: Quadratic (Joint OLS)_p5,Approach QJ: Quadratic (Joint OLS)_p25,Approach QJ: Quadratic (Joint OLS)_p50,Approach QJ: Quadratic (Joint OLS)_p75,Approach QJ: Quadratic (Joint OLS)_p95,Approach NJ: No Climate Response (Joint)_point,Approach NJ: No Climate Response (Joint)_p5,Approach NJ: No Climate Response (Joint)_p25,Approach NJ: No Climate Response (Joint)_p50,Approach NJ: No Climate Response (Joint)_p75,Approach NJ: No Climate Response (Joint)_p95,Approach PJ: Piecewise (Joint OLS)_point,Approach PJ: Piecewise (Joint OLS)_p5,Approach PJ: Piecewise (Joint OLS)_p25,Approach PJ: Piecewise (Joint OLS)_p50,Approach PJ: Piecewise (Joint OLS)_p75,Approach PJ: Piecewise (Joint OLS)_p95,Approach DJ: Decay (Joint OLS)_point,Approach DJ: Decay (Joint OLS)_p5,Approach DJ: Decay (Joint OLS)_p25,Approach DJ: Decay (Joint OLS)_p50,Approach DJ: Decay (Joint OLS)_p75,Approach DJ: Decay (Joint OLS)_p95,Approach QP: Quadratic (Polynomial Detrending)_point,Approach QP: Quadratic (Polynomial Detrending)_p5,Approach QP: Quadratic (Polynomial Detrending)_p25,Approach QP: Quadratic (Polynomial Detrending)_p50,Approach QP: Quadratic (Polynomial Detrending)_p75,Approach QP: Quadratic (Polynomial Detrending)_p95,Approach NP: No Climate Response (Precomputed k)_point,Approach NP: No Climate Response (Precomputed k)_p5,Approach NP: No Climate Response (Precomputed k)_p25,Approach NP: No Climate Response (Precomputed k)_p50,Approach NP: No Climate Response (Precomputed k)_p75,Approach NP: No Climate Response (Precomputed k)_p95,Approach QL: Quadratic (LOESS Detrending)_point,Approach QL: Quadratic (LOESS Detrending)_p5,Approach QL: Quadratic (LOESS Detrending)_p25,Approach QL: Quadratic (LOESS Detrending)_p50,Approach QL: Quadratic (LOESS Detrending)_p75,Approach QL: Quadratic (LOESS Detrending)_p95,Approach NL: No Climate Response (LOESS Precomputed k)_point,Approach NL: No Climate Response (LOESS Precomputed k)_p5,Approach NL: No Climate Response (LOESS Precomputed k)_p25,Approach NL: No Climate Response (LOESS Precomputed k)_p50,Approach NL: No Climate Response (LOESS Precomputed k)_p75,Approach NL: No Climate Response (LOESS Precomputed k)_p95,Approach PL: Piecewise (LOESS Detrending)_point,Approach PL: Piecewise (LOESS Detrending)_p5,Approach PL: Piecewise (LOESS Detrending)_p25,Approach PL: Piecewise (LOESS Detrending)_p50,Approach PL: Piecewise (LOESS Detrending)_p75,Approach PL: Piecewise (LOESS Detrending)_p95,Approach DL: Decay (LOESS Detrending)_point,Approach DL: Decay (LOESS Detrending)_p5,Approach DL: Decay (LOESS Detrending)_p25,Approach DL: Decay (LOESS Detrending)_p50,Approach DL: Decay (LOESS Detrending)_p75,Approach DL: Decay (LOESS Detrending)_p95,Approach PP: Piecewise (Polynomial Detrending)_point,Approach PP: Piecewise (Polynomial Detrending)_p5,Approach PP: Piecewise (Polynomial Detrending)_p25,Approach PP: Piecewise (Polynomial Detrending)_p50,Approach PP: Piecewise (Polynomial Detrending)_p75,Approach PP: Piecewise (Polynomial Detrending)_p95,Approach DP: Decay (Polynomial Detrending)_point,Approach DP: Decay (Polynomial Detrending)_p5,Approach DP: Decay (Polynomial Detrending)_p25,Approach DP: Decay (Polynomial Detrending)_p50,Approach DP: Decay (Polynomial Detrending)_p75,Approach DP: Decay (Polynomial Detrending)_p95
Total R²,0.1863929345279196,-0.06870667794994843,-0.032049414322908476,-0.02222527914208483,-0.011574969718666617,0.008515620503962913,0.1856673502562166,-0.019882146783001563,-0.0035038260925811526,0.004168419242350285,0.018449770721558345,0.02512793916006164,0.1866131871306227,-0.06870667794994843,-0.032049414322908476,-0.02222527914208483,-0.011574969718666617,0.008515620503962913,0.1867068171237245,-0.06870667794994843,-0.032049414322908476,-0.02222527914208483,-0.011574969718666617,0.008515620503962913,0.18623247489284067,-1.0670207902531696,-0.4527690433912806,-0.17785930848112053,-0.09482056516545923,0.04833389828671894,0.1856673502562165,-1.0670207902531696,-0.4527690433912806,-0.17785930848112053,-0.09482056516545923,0.04833389828671894,0.18643533269182488,0.3234111669662054,0.369918915159545,0.42794209819950335,0.45619994967934313,0.500387834166355,0.1856673502562165,0.3234111669662054,0.369918915159545,0.42794209819950335,0.45619994967934313,0.500387834166355,0.1865137983795735,0.3234111669662054,0.369918915159545,0.42794209819950335,0.45619994967934313,0.500387834166355,0.1865178841145564,0.3234111669662054,0.369918915159545,0.42794209819950335,0.45619994967934313,0.500387834166355,0.18627925985584504,-1.0670207902531696,-0.4527690433912806,-0.17785930848112053,-0.09482056516545923,0.04833389828671894,0.1865689084315495,-1.0670207902531696,-0.4527690433912806,-0.17785930848112053,-0.09482056516545923,0.04833389828671894
Var(h(T))/Var(Δy),0.08708434328264038,,,,,,0.0,,,,,,0.07178243562240928,,,,,,0.0012122050101385357,,,,,,0.04738289938103376,,,,,,0.0,,,,,,0.06835621453116554,,,,,,0.0,,,,,,0.07545122822608268,,,,,,0.0008553389932805856,,,,,,0.04705907832725826,,,,,,0.0009049386918582926,,,,,
Var(j)/Var(Δy),0.22652245065249696,,,,,,0.15929400584918785,,,,,,0.2284193942680264,,,,,,0.15899080184646786,,,,,,0.1465689177238542,,,,,,0.10382283322160415,,,,,,0.14803909675686194,,,,,,0.08740998496108893,,,,,,0.15178591586500134,,,,,,0.08721399003930248,,,,,,0.14799119625463084,,,,,,0.10360290349716487,,,,,
Var(k)/Var(Δy),0.11805755622041358,,,,,,0.11951981289702494,,,,,,0.1150647657086625,,,,,,0.12021799053664461,,,,,,0.08184451703461235,,,,,,0.08184451703461235,,,,,,0.08184451703461235,,,,,,0.08184451703461235,,,,,,0.08184451703461235,,,,,,0.08184451703461235,,,,,,0.08184451703461235,,,,,,0.08184451703461235,,,,,
Var(ε)/Var(Δy),0.8136070654720804,,,,,,0.8143326497437833,,,,,,0.8133868128693773,,,,,,0.8132931828762755,,,,,,0.8137672690931077,,,,,,0.8143326497437832,,,,,,0.813564188756039,,,,,,0.8143326497437836,,,,,,0.8134857808545294,,,,,,0.8134820626095804,,,,,,0.8137204254073869,,,,,,0.8134310624741523,,,,,
"2Cov(h(T),j)/Var(Δy)",-0.15643864921908304,,,,,,0.0,,,,,,-0.14656564974674696,,,,,,0.00028095324461415447,,,,,,-0.08929671619069793,,,,,,0.0,,,,,,-0.12831604123224832,,,,,,0.0,,,,,,-0.1390624292342107,,,,,,2.9563665581305678e-05,,,,,,-0.0903160900935112,,,,,,0.0002052614224059286,,,,,
"2Cov(h(T),k)/Var(Δy)",-0.0048707780937290585,,,,,,0.0,,,,,,-0.0045744981146752005,,,,,,-0.0009109966892028824,,,,,,-0.00024412345786552642,,,,,,0.0,,,,,,-0.00028251892229820476,,,,,,0.0,,,,,,-7.529693550749729e-05,,,,,,-0.0005604624832190765,,,,,,-0.00015800339757189417,,,,,,-0.0004911107861740855,,,,,
"2Cov(h(T),ε)/Var(Δy)",-5.798947473596201e-15,,,,,,0.0,,,,,,-8.04121613838828e-15,,,,,,-9.552026410592592e-17,,,,,,1.2945475185540174e-06,,,,,,0.0,,,,,,-0.0014486997553207332,,,,,,0.0,,,,,,-0.001477924850725248,,,,,,-2.6392921839608765e-05,,,,,,-7.643794740297316e-06,,,,,,4.004051582655794e-06,,,,,
"2Cov(j,k)/Var(Δy)",-0.08396198831478568,,,,,,-0.09314646848999181,,,,,,-0.0775132606070382,,,,,,-0.09308413682492565,,,,,,-0.0004109531832610931,,,,,,-4.3181611216613235e-19,,,,,,-0.0004957586549884184,,,,,,-2.870307098516056e-18,,,,,,-0.0007700632742517352,,,,,,9.944664809421426e-06,,,,,,-0.0005454809986498738,,,,,,-5.545448915977733e-06,,,,,
"2Cov(j,ε)/Var(Δy)",2.4800875784254093e-14,,,,,,-8.743920658095337e-15,,,,,,-1.321080432897623e-14,,,,,,-4.441406520263092e-15,,,,,,-0.0002681815894287639,,,,,,1.2008298060384651e-17,,,,,,0.01796072390889012,,,,,,0.016412848260515124,,,,,,0.01797291210470997,,,,,,0.016600920579482432,,,,,,-0.00029148313563661065,,,,,,7.312828223482389e-06,,,,,
