# Input data: Maddison_CRU_dataset.csv
iteration,approach,approach_name,C_Delta_u,C_epsilon,C_j,C_k,C_v,Sigma_Delta_u_Delta_u,Sigma_Delta_u_epsilon,Sigma_Delta_u_j,Sigma_Delta_u_k,Sigma_Delta_u_v,Sigma_epsilon_epsilon,Sigma_h_epsilon,Sigma_h_h,Sigma_h_j,Sigma_h_k,Sigma_j_epsilon,Sigma_j_j,Sigma_j_k,Sigma_k_epsilon,Sigma_k_k,Sigma_v_epsilon,Sigma_v_j,Sigma_v_k,Sigma_v_v,cov_epsilon_Delta_u,cov_epsilon_j,cov_epsilon_k,cov_epsilon_v,s_Delta_u,s_epsilon,s_j,s_k,s_v,sum_check,var_dy
-1,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.0032007026161298613,0.0004182676627583306,0.0002897018783764383,2.5293944999708958e-05,0.0,0.0,0.0,0.0,0.0,0.0032007026161299276,-1.1406431394969445e-17,0.0003425868545118585,-0.0003077121715559472,-9.580737956190917e-06,4.8782902320862066e-17,0.0008911316422687697,-0.00016515180795454075,-1.0357748085360436e-16,0.0004644344242872736,-1.1406431394969445e-17,-0.0003077121715559472,-9.580737956190917e-06,0.0003425868545118585,0.0,4.8782902320862066e-17,-1.0357748085360436e-16,-1.1406431394969445e-17,0.0,0.8136070654720635,0.106322131885575,0.07364117301612988,0.0064296296262314236,0.003933966102264339,0.00393396610226434
0,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.0034364986575596787,0.00015196627246785282,0.00024922933207000594,9.627184016680103e-05,0.0,0.0,0.0,0.0,0.0,0.004031627179015393,-0.0005292153615959724,0.001625025515346467,-0.000995446476289623,-4.091837294070573e-06,-3.555739284093552e-05,0.0011822873166295548,6.828249688565953e-07,-3.0355767018806488e-05,0.0002829941114140264,-0.0005292153615959724,-0.000995446476289623,-4.091837294070573e-06,0.001625025515346467,0.0,-3.555739284093552e-05,-3.0355767018806488e-05,-0.0005292153615959724,0.0,0.8735455690840027,0.03862927857471446,0.0633531976614015,0.024471954679881,0.003933966102264338,0.00393396610226434
1,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.0035451443381952176,0.00020429142991995632,0.00014204559564929599,4.248473849986892e-05,0.0,0.0,0.0,0.0,0.0,0.0038542022698261256,-0.00022396152082809653,0.000601182048251177,-0.0003341339727133872,-6.01816209824427e-07,-5.14085919495092e-05,0.0005954223987839529,-5.588404201100175e-06,-3.3687818853302525e-05,0.0001819236349135231,-0.00022396152082809653,-0.0003341339727133872,-6.01816209824427e-07,0.000601182048251177,0.0,-5.14085919495092e-05,-3.3687818853302525e-05,-0.00022396152082809653,0.0,0.9011629093994171,0.05193014495024978,0.036107478294623935,0.01079946735570885,0.003933966102264339,0.00393396610226434
2,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.00353021288197732,0.00016635206852619148,0.00011798788882031645,0.00011941326294051091,0.0,0.0,0.0,0.0,0.0,0.006924822105852693,-0.00047713780453259764,0.0018166469417131123,-0.001199950592960485,-2.014528127951879e-05,-0.00214108214947467,0.0036165110060805234,-0.00010912619511917707,-0.0007763892698681051,0.0010236486350871175,-0.00047713780453259764,-0.001199950592960485,-2.014528127951879e-05,0.0018166469417131123,0.0,-0.00214108214947467,-0.0007763892698681051,-0.00047713780453259764,0.0,0.8973673870614634,0.0422860960673864,0.02999209595436121,0.03035442091678883,0.003933966102264339,0.00393396610226434
3,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.0034119236722485184,0.00012388565588651048,0.00019526979306200862,0.00020288698106729706,0.0,0.0,0.0,0.0,0.0,0.006740367198426368,-0.0016813742518643367,0.004501874947979863,-0.0026124291885002964,-5.184526547933179e-06,-0.001025459590221622,0.004234913719301038,-0.0004731392846926089,-0.0006216096840918908,0.0012952032883944416,-0.0016813742518643367,-0.0026124291885002964,-5.184526547933179e-06,0.004501874947979863,0.0,-0.001025459590221622,-0.0006216096840918908,-0.0016813742518643367,0.0,0.8672986964185226,0.03149128707926677,0.049636877386821876,0.05157313911538738,0.003933966102264335,0.00393396610226434
4,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.0033600231612698705,0.0002641213891748243,0.000288973229488483,2.0848322331162047e-05,0.0,0.0,0.0,0.0,0.0,0.004865905183574044,-0.00017042512700103714,0.00021381332125278298,-2.484775352023365e-05,2.3078815996498566e-06,-0.0006468870392412017,0.001040849538085102,-0.00010499335614884245,-0.0006885698560619349,0.0010802285600996105,-0.00017042512700103714,-2.484775352023365e-05,2.3078815996498566e-06,0.00021381332125278298,0.0,-0.0006468870392412017,-0.0006885698560619349,-0.00017042512700103714,0.0,0.8541057736455545,0.06713870488685691,0.073455953095822,0.0052995683717666055,0.00393396610226434,0.00393396610226434
-1,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0032035570400591345,0.00044343969451195463,0.0002869693676932503,0.0,0.0,0.0,0.0,0.0,0.0,0.003203557040059143,0.0,0.0,0.0,0.0,-1.7199143734917976e-17,0.0006266572193046024,-0.0001832175247926306,8.445085548688242e-18,0.0004701868924858724,0.0,0.0,0.0,0.0,0.0,-1.7199143734917976e-17,8.445085548688242e-18,0.0,0.0,0.8143326497437812,0.11272077160418756,0.0729465786520312,0.0,0.00393396610226434,0.00393396610226434
0,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.003481319350062073,0.00022884324060331972,0.00022380351159894678,0.0,0.0,0.0,0.0,0.0,0.0,0.0036197995756718612,0.0,0.0,0.0,0.0,-8.187296189634375e-05,0.00032835055186018736,-1.763434936052392e-05,-5.660726371344441e-05,0.0002980451246729151,0.0,0.0,0.0,0.0,0.0,-8.187296189634375e-05,-5.660726371344441e-05,0.0,0.0,0.8849388275252984,0.058171126708895765,0.05689004576580576,0.0,0.00393396610226434,0.00393396610226434
1,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0035701499921745672,0.0002629489614470504,0.00010086714864272162,0.0,0.0,0.0,0.0,0.0,0.0,0.003736180228026155,0.0,0.0,0.0,0.0,-0.00012383926858120143,0.0004149171669217378,-2.8128936893485995e-05,-4.21909672703861e-05,0.00017118705280659373,0.0,0.0,0.0,0.0,0.0,-0.00012383926858120143,-4.21909672703861e-05,0.0,0.0,0.9075192564876539,0.06684067798543063,0.025640065526915393,0.0,0.003933966102264339,0.00393396610226434
2,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.003536573930891713,0.00027394375721654735,0.00012344841415607948,0.0,0.0,0.0,0.0,0.0,0.0,0.004152548441949362,0.0,0.0,0.0,0.0,-0.0004756288083149753,0.0008839551284530324,-0.00013438256292150975,-0.00014034570274267392,0.00039817667982026316,0.0,0.0,0.0,0.0,0.0,-0.0004756288083149753,-0.00014034570274267392,0.0,0.0,0.898984342761903,0.06963551543031062,0.03138014180778634,0.0,0.00393396610226434,0.00393396610226434
