# Input data: Maddison_CRU_dataset.csv
# Time-dimension bootstrap: each row is a bootstrap iteration
# Each column is a 'slot' in the resampled year set
# Values are year indices (0 to 61), mapping to years 1961-2022
iteration,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,60,13,17,25,61,52,2,14,50,3,53,17,56,18,26,41,7,34,31,48,61,41,25,25,25,50,19,10,20,1,6,5,47,44,43,28,44,9,55,31,58,9,30,43,30,27,10,23,14,18,42,39,37,22,59,5,21,7,21,59,22,56
1,38,31,56,15,61,58,11,10,33,2,18,26,60,61,9,55,5,46,52,55,13,55,7,32,29,19,1,47,20,41,25,23,54,5,45,46,23,16,0,58,58,14,1,7,4,51,55,9,46,11,22,37,44,54,2,12,17,19,61,48,19,60
2,51,3,26,36,31,42,49,24,51,19,61,31,45,54,49,52,33,2,30,11,55,14,14,15,39,35,58,25,17,3,0,23,57,32,55,6,5,51,6,3,25,57,42,6,51,52,49,55,14,60,19,49,35,48,38,39,38,48,45,8,51,33
3,32,19,19,9,59,9,5,58,34,27,45,23,7,45,10,34,58,58,22,48,37,29,8,23,40,61,0,44,52,58,26,7,16,52,54,39,7,7,29,36,2,42,33,0,5,28,44,51,26,18,60,28,19,27,0,18,31,56,45,48,33,6
4,58,17,5,18,38,26,48,37,24,39,60,25,9,25,52,13,58,36,37,19,57,2,18,25,29,29,9,13,5,35,21,35,36,43,33,40,36,40,38,19,15,48,21,34,12,26,32,38,32,22,59,31,50,45,34,54,7,57,52,31,45,32
5,22,31,26,56,18,36,7,52,23,21,36,30,52,32,32,6,1,24,61,56,38,39,24,11,0,21,19,11,16,1,37,57,42,27,26,19,8,37,35,0,25,17,10,43,32,39,44,60,49,38,54,29,61,47,40,56,31,44,17,59,38,48
6,30,56,13,30,21,8,6,22,5,4,21,12,34,1,18,28,59,39,54,21,27,26,55,59,59,46,31,33,60,17,21,55,23,14,34,20,55,56,18,32,61,46,13,36,38,40,1,18,52,14,18,19,10,9,21,54,0,17,3,34,15,49
7,28,10,55,47,61,53,18,15,15,56,34,28,60,37,56,61,4,22,45,50,9,19,33,49,7,37,18,13,31,25,39,19,51,4,53,1,45,21,23,1,43,10,40,44,52,43,18,45,51,19,7,55,9,36,14,7,48,8,41,42,3,10
8,21,37,35,36,23,25,0,37,35,57,31,28,4,12,20,23,22,24,47,8,20,10,19,42,2,21,1,59,45,15,12,6,29,46,36,54,21,17,29,12,60,11,29,32,3,29,28,16,7,2,0,29,5,59,15,40,41,30,54,6,14,15
9,40,11,52,61,8,50,50,45,22,29,52,9,51,57,42,21,34,3,57,21,3,49,40,38,3,46,39,49,51,13,13,57,32,27,17,39,46,0,34,61,17,17,54,3,24,28,49,7,26,9,48,39,30,24,9,57,40,19,25,45,44,28
