# Input data: Maddison_CRU_dataset.csv
iteration,approach,approach_name,year,k_value
0,approach0,0: Conjoined OLS Fit,1961,-0.0061338744333100876
1,approach0,0: Conjoined OLS Fit,1961,-0.004221619335693691
2,approach0,0: Conjoined OLS Fit,1961,-0.007229714903856779
3,approach0,0: Conjoined OLS Fit,1961,-0.010262927701446045
4,approach0,0: Conjoined OLS Fit,1961,-0.0029772592539458465
5,approach0,0: Conjoined OLS Fit,1961,-0.0001358327555816552
6,approach0,0: Conjoined OLS Fit,1961,-0.001533667836192673
7,approach0,0: Conjoined OLS Fit,1961,0.002979871114963128
8,approach0,0: Conjoined OLS Fit,1961,-0.006030233419239339
9,approach0,0: Conjoined OLS Fit,1961,-0.009444090616668094
0,approach0,0: Conjoined OLS Fit,1962,0.007511391472851479
1,approach0,0: Conjoined OLS Fit,1962,0.010628626002236054
2,approach0,0: Conjoined OLS Fit,1962,0.008947114903203407
3,approach0,0: Conjoined OLS Fit,1962,0.01110791144248885
4,approach0,0: Conjoined OLS Fit,1962,0.0037894733335277486
5,approach0,0: Conjoined OLS Fit,1962,0.008967097107920569
6,approach0,0: Conjoined OLS Fit,1962,0.0025754278828245825
7,approach0,0: Conjoined OLS Fit,1962,0.0032525428783699226
8,approach0,0: Conjoined OLS Fit,1962,0.007463474719633799
9,approach0,0: Conjoined OLS Fit,1962,0.004280794630998702
0,approach0,0: Conjoined OLS Fit,1963,0.005544959794072445
1,approach0,0: Conjoined OLS Fit,1963,0.005799453615271344
2,approach0,0: Conjoined OLS Fit,1963,0.009385658183771212
3,approach0,0: Conjoined OLS Fit,1963,0.006454036804212998
4,approach0,0: Conjoined OLS Fit,1963,0.006133823979579817
5,approach0,0: Conjoined OLS Fit,1963,0.00881470509006968
6,approach0,0: Conjoined OLS Fit,1963,0.006623569856378735
7,approach0,0: Conjoined OLS Fit,1963,0.009971871733719252
8,approach0,0: Conjoined OLS Fit,1963,0.006228112724676177
9,approach0,0: Conjoined OLS Fit,1963,0.010960499952133856
0,approach0,0: Conjoined OLS Fit,1964,0.008860727094805471
1,approach0,0: Conjoined OLS Fit,1964,0.009789144253778609
2,approach0,0: Conjoined OLS Fit,1964,0.017425057767006688
3,approach0,0: Conjoined OLS Fit,1964,0.02099424566463942
4,approach0,0: Conjoined OLS Fit,1964,0.010483773609444219
5,approach0,0: Conjoined OLS Fit,1964,0.01170020839261536
6,approach0,0: Conjoined OLS Fit,1964,0.015144519532697003
7,approach0,0: Conjoined OLS Fit,1964,0.013162088566711583
8,approach0,0: Conjoined OLS Fit,1964,0.0154081910770266
9,approach0,0: Conjoined OLS Fit,1964,0.01883671161728573
0,approach0,0: Conjoined OLS Fit,1965,0.006000376860663509
1,approach0,0: Conjoined OLS Fit,1965,0.0031381243716705823
2,approach0,0: Conjoined OLS Fit,1965,0.0012291205221629103
3,approach0,0: Conjoined OLS Fit,1965,-0.0006470174701877218
4,approach0,0: Conjoined OLS Fit,1965,-0.0019166291063075769
5,approach0,0: Conjoined OLS Fit,1965,0.0017206180884034444
6,approach0,0: Conjoined OLS Fit,1965,0.0035084294542882255
7,approach0,0: Conjoined OLS Fit,1965,-0.0006424439409577834
8,approach0,0: Conjoined OLS Fit,1965,0.00220590914746833
9,approach0,0: Conjoined OLS Fit,1965,0.0034781114937617874
0,approach0,0: Conjoined OLS Fit,1966,0.0045218302156407285
1,approach0,0: Conjoined OLS Fit,1966,0.0034579784976060263
2,approach0,0: Conjoined OLS Fit,1966,0.006382855219295366
3,approach0,0: Conjoined OLS Fit,1966,0.008991194898007149
4,approach0,0: Conjoined OLS Fit,1966,0.009739490705122367
5,approach0,0: Conjoined OLS Fit,1966,0.005024269358714389
6,approach0,0: Conjoined OLS Fit,1966,0.009579755870333606
7,approach0,0: Conjoined OLS Fit,1966,0.005762414169374033
8,approach0,0: Conjoined OLS Fit,1966,0.006538216104305132
9,approach0,0: Conjoined OLS Fit,1966,0.005326504431117041
