Metric,0: Conjoined OLS Fit,nocr0: No Climate Response (Joint),5c: Precomputed k Combined,nocr5: No Climate Response (Precomputed k),5a: Precomputed k Linear Temp,5b: Precomputed k GDP Only,6: Precomputed k LOESS,8: Piecewise Quadratic LOESS
Total R²,"0.196 [0.177,0.228]","0.194 [0.175,0.226]","0.196 [0.177,0.228]","0.194 [0.175,0.226]","0.092 [0.083,0.117]","0.194 [0.175,0.226]","0.232 [0.205,0.272]","0.232 [0.206,0.272]"
Var(h(T)-h(Ttr))/Var(Δy),—,—,"0.002 [0.001,0.003]",—,"0.002 [0.001,0.004]","0.0000 [0.0000,0.0000]","0.003 [0.001,0.004]","0.003 [0.002,0.005]"
Var(h(Ttr))/Var(Δy),"0.239 [0.090,0.545]",—,"0.151 [0.056,0.342]",—,"0.204 [0.082,0.436]",—,"0.236 [0.107,0.469]","0.262 [0.123,0.510]"
Var(j)/Var(Δy),"0.397 [0.232,0.829]","0.140 [0.098,0.425]","0.103 [0.087,0.121]","0.103 [0.087,0.121]",—,"0.103 [0.087,0.121]","0.130 [0.111,0.154]","0.130 [0.111,0.154]"
Var(k)/Var(Δy),"0.140 [0.095,0.457]","0.130 [0.092,0.425]","0.095 [0.080,0.114]","0.095 [0.080,0.114]","0.095 [0.080,0.114]","0.095 [0.080,0.114]","0.095 [0.080,0.114]","0.095 [0.080,0.114]"
Var(ε)/Var(Δy),"0.799 [0.772,0.823]","0.801 [0.774,0.825]","0.950 [0.853,1.146]","0.802 [0.774,0.825]","1.110 [0.983,1.351]","0.801 [0.774,0.825]","1.003 [0.867,1.257]","1.025 [0.879,1.270]"
"2Cov(h(T)-h(Ttr),h(Ttr))/Var(Δy)",—,—,"0.0001 [-0.0002,0.0005]",—,"0.0002 [-0.0002,0.0006]",—,"0.0001 [-0.0009,0.0015]","0.0006 [-0.0006,0.0020]"
"2Cov(h(T)-h(Ttr),j)/Var(Δy)",—,—,"0.0005 [0.0001,0.0011]",—,—,"0.0001 [0.0000,0.0003]","-0.0001 [-0.0003,0.0001]","-0.0001 [-0.0003,0.0002]"
"2Cov(h(T)-h(Ttr),k)/Var(Δy)",—,—,"-0.001 [-0.002,-0.000]",—,"-0.001 [-0.002,-0.000]","-0.0000 [-0.0000,-0.0000]","-0.001 [-0.002,-0.000]","-0.001 [-0.002,-0.000]"
"2Cov(h(T)-h(Ttr),ε)/Var(Δy)",—,—,"-0.0001 [-0.0005,0.0002]",—,"-0.0002 [-0.0006,0.0002]","0.0000 [0.0000,0.0000]","-0.0003 [-0.0017,0.0008]","-0.0008 [-0.0022,0.0005]"
"2Cov(h(Ttr),j)/Var(Δy)","-0.468 [-1.074,-0.184]",—,"-0.003 [-0.031,0.029]",—,—,—,"0.013 [-0.031,0.069]","-0.003 [-0.055,0.058]"
"2Cov(h(Ttr),k)/Var(Δy)","-0.001 [-0.010,0.013]",—,"0.001 [-0.001,0.005]",—,"0.002 [-0.001,0.006]",—,"0.0006 [-0.0026,0.0043]","0.002 [-0.002,0.006]"
"2Cov(h(Ttr),ε)/Var(Δy)","-0.0000 [-0.0000,0.0000]",—,"-0.303 [-0.685,-0.113]",—,"-0.412 [-0.895,-0.161]",—,"-0.477 [-0.958,-0.218]","-0.524 [-1.012,-0.249]"
"2Cov(j,k)/Var(Δy)","-0.087 [-0.705,-0.005]","-0.070 [-0.643,-0.005]","-0.001 [-0.004,0.001]","-0.001 [-0.004,0.001]",—,"-0.001 [-0.004,0.001]","-0.012 [-0.016,-0.008]","-0.012 [-0.016,-0.008]"
"2Cov(j,ε)/Var(Δy)","-0.0000 [-0.0000,0.0000]","0.0000 [-0.0000,0.0000]","0.002 [-0.029,0.031]",—,—,"-0.0001 [-0.0003,-0.0000]","-0.003 [-0.062,0.044]","0.014 [-0.051,0.063]"
"2Cov(k,ε)/Var(Δy)","0.0000 [-0.0000,0.0000]","-0.0000 [-0.0000,0.0000]","0.0008 [-0.0038,0.0049]","0.001 [-0.001,0.004]","-0.0007 [-0.0051,0.0027]","0.001 [-0.001,0.004]","0.012 [0.007,0.018]","0.011 [0.006,0.017]"
Sum,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
