Approach,h1_point,h1_p5,h1_p25,h1_p50,h1_p75,h1_p95,h2_point,h2_p5,h2_p25,h2_p50,h2_p75,h2_p95,T_optimal_point,T_optimal_p5,T_optimal_p25,T_optimal_p50,T_optimal_p75,T_optimal_p95,total_r_squared_point,total_r_squared_p5,total_r_squared_p25,total_r_squared_p50,total_r_squared_p75,total_r_squared_p95,h2_low_point,h2_low_p5,h2_low_p25,h2_low_p50,h2_low_p75,h2_low_p95,h2_high_point,h2_high_p5,h2_high_p25,h2_high_p50,h2_high_p75,h2_high_p95,h1_high_point,h1_high_p5,h1_high_p25,h1_high_p50,h1_high_p75,h1_high_p95,h1_low_point,h1_low_p5,h1_low_p25,h1_low_p50,h1_low_p75,h1_low_p95,T_optimal_high_point,T_optimal_high_p5,T_optimal_high_p25,T_optimal_high_p50,T_optimal_high_p75,T_optimal_high_p95,T_optimal_low_point,T_optimal_low_p5,T_optimal_low_p25,T_optimal_low_p50,T_optimal_low_p75,T_optimal_low_p95
0: Conjoined OLS Fit,0.0142016457619065,0.0089475045652137,0.0119502129035389,0.0143307879027329,0.0169529116144709,0.0213337089903468,-0.0004340071550819,-0.0006350601005127,-0.0005238469785048,-0.0004407137737416,-0.000359172857221,-0.000250149100273,16.36107330906212,12.505873395338163,14.695636411464504,16.549044428510044,18.52922158888041,21.922829785215228,0.196248335598808,0.1772005158380629,0.1904236424875394,0.2010697394260738,0.2131007436083322,0.2284819648140201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nocr0: No Climate Response (Joint),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.1942461901590998,0.174671539645524,0.1881144001524199,0.1985893013444701,0.210643692362929,0.2261483344730374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c: Precomputed k Combined,0.0117269607895073,0.0072251552108147,0.0096868816412907,0.0117217866233323,0.0140401972021796,0.0177443998487595,-0.000336668333658,-0.0004949907441175,-0.0004028365627621,-0.0003380176914045,-0.0002767557463165,-0.0001958693688044,17.416192164688002,13.41751812777334,15.759556368875412,17.58828257672453,19.62446791604572,23.022061628330214,0.1957673027043159,0.1765871150713475,0.18978821697245,0.2005397660550144,0.2124291485920268,0.2278424204891629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nocr5: No Climate Response (Precomputed k),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.1941643399880358,0.1745610043555176,0.1880322188238188,0.1984902300751733,0.2105854689951017,0.2259110357920666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a: Precomputed k Linear Temp,0.0136267642376503,0.0086668661371693,0.0114242711477767,0.013618554909065,0.0161802080467348,0.0204350018969473,-0.0003866325698589,-0.0005781378149175,-0.0004684862894815,-0.0003853218582161,-0.0003151630755228,-0.0002218109570683,17.62236978977528,14.07025426153362,16.122614597348356,17.895913830642538,19.780223502723825,23.94032307306068,0.0923794829584772,0.0826642413526861,0.0913750819248312,0.0972909973081161,0.1042005097314018,0.1169659169253703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b: Precomputed k GDP Only,4.280074293702354e-05,2.259584847333188e-05,3.4176028726123943e-05,4.209688492573924e-05,5.122994921784032e-05,6.550241859441859e-05,-1.752085515416014e-06,-2.696548524194404e-06,-2.110347882654727e-06,-1.7285687572637569e-06,-1.3862152469232034e-06,-8.997828702843292e-07,12.214227719033724,11.85030685840908,12.074731474012449,12.24635029246298,12.42153804419947,12.748314998148327,0.1941708912651051,0.1745651535685199,0.1880366294340228,0.1985008657337798,0.210594517904084,0.2259292800833011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6: Precomputed k LOESS,0.014978311137094,0.0101476517694626,0.0128178903044751,0.015098266010572,0.0174849500985462,0.0216608619944718,-0.0004690706926803,-0.0006529150290748,-0.000541113404066,-0.0004679795438535,-0.0004063660972261,-0.0003162986784449,15.965942203196215,12.841004188199795,14.70350050768258,16.12203561575008,17.530741172748908,19.58748691957745,0.2318641432939773,0.2048485079431386,0.2220831965400385,0.2365366351498994,0.2515076179114289,0.2722705841719989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6a: Separate High/Low Freq LOESS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.2341314173123861,0.2076212453089314,0.2244819485595047,0.2386426852033299,0.2535381047123225,0.2745046013441384,-0.0004807399521398,-0.0006650613040888,-0.0005518132389951,-0.0004785034603455,-0.0004156168921514,-0.0003271560571581,-0.0004548852671901,-0.0006357852275059,-0.000525207072072,-0.0004534105030724,-0.0003924792611371,-0.000305093176007,0.0143439353822054,0.0095645363137026,,0.0144961759735338,,0.0208872469881013,0.015053801446929,0.0101932346815296,,0.0151863354448939,,0.0215557629439265,15.766542045655177,12.57753824534159,,15.941172273668748,,19.51179717261247,15.65690700338264,12.623999558830226,,15.830845907840972,,19.168490845268057
6b: Low Freq Only LOESS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.2317727560927864,0.2051655743318778,0.2219160892536879,0.2359767026197338,0.251097816960407,0.2721250504781236,-2.694781790045852e-05,-3.5766901896837686e-05,-2.9908236773845792e-05,-2.594968635278337e-05,-2.242386185556616e-05,-1.697245314779944e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0007390750025716,0.0004956221434944,,0.0007112438508017,,0.0009514720430428,,,,,,,13.713076979028251,12.910426961738004,,13.72123467517465,,14.964449263887628
8: Piecewise Quadratic LOESS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.725543332991023,14.999477573496758,16.52032802942235,19.736442445101897,22.892270282240418,24.730048990543025,0.2320695697844198,0.2056439801519469,0.2224418003047207,0.2368070216879345,0.2517862938962721,0.2722863813000987,-0.0002624682729552,-0.0005768386488691,-0.0004115554164949,-0.0003262879312304,-0.0002652765343428,-0.0001922185656997,-0.0017133740401422,-0.0029631357436553,-0.0018257886267342,-0.0011117690296845,-0.0006297115724257,-0.0003870584171056,,,,,,,,,,,,,,,,,,,,,,,,
8a: Shared T_opt High/Low LOESS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.05716642571779,14.999854605204725,17.687964813176684,19.32482371269292,23.665886355000644,30.0,0.2328768292328409,0.2060230578464699,0.2231065772946646,0.2375174027654249,0.2525996989853389,0.2732488026196126,-0.0003587328926053,-0.0005584096596963,-0.0004375680208634,-0.0003486250950805,-0.000225160406599,-0.0001081028626772,-0.0003805538767382,-0.0005841908101485,-0.0004602530634621,-0.0003707700321964,-0.0002424339266848,-0.0001191465449138,,,,,,,,,,,,,,,,,,,,,,,,
