Metric,0: Conjoined OLS Fit_point,0: Conjoined OLS Fit_p5,0: Conjoined OLS Fit_p25,0: Conjoined OLS Fit_p50,0: Conjoined OLS Fit_p75,0: Conjoined OLS Fit_p95,nocr0: No Climate Response (Joint)_point,nocr0: No Climate Response (Joint)_p5,nocr0: No Climate Response (Joint)_p25,nocr0: No Climate Response (Joint)_p50,nocr0: No Climate Response (Joint)_p75,nocr0: No Climate Response (Joint)_p95,5c: Precomputed k Combined_point,5c: Precomputed k Combined_p5,5c: Precomputed k Combined_p25,5c: Precomputed k Combined_p50,5c: Precomputed k Combined_p75,5c: Precomputed k Combined_p95,nocr5: No Climate Response (Precomputed k)_point,nocr5: No Climate Response (Precomputed k)_p5,nocr5: No Climate Response (Precomputed k)_p25,nocr5: No Climate Response (Precomputed k)_p50,nocr5: No Climate Response (Precomputed k)_p75,nocr5: No Climate Response (Precomputed k)_p95,5a: Precomputed k Linear Temp_point,5a: Precomputed k Linear Temp_p5,5a: Precomputed k Linear Temp_p25,5a: Precomputed k Linear Temp_p50,5a: Precomputed k Linear Temp_p75,5a: Precomputed k Linear Temp_p95,5b: Precomputed k GDP Only_point,5b: Precomputed k GDP Only_p5,5b: Precomputed k GDP Only_p25,5b: Precomputed k GDP Only_p50,5b: Precomputed k GDP Only_p75,5b: Precomputed k GDP Only_p95,6: Precomputed k LOESS_point,6: Precomputed k LOESS_p5,6: Precomputed k LOESS_p25,6: Precomputed k LOESS_p50,6: Precomputed k LOESS_p75,6: Precomputed k LOESS_p95,6a: Separate Total/Trend Freq LOESS_point,6a: Separate Total/Trend Freq LOESS_p5,6a: Separate Total/Trend Freq LOESS_p25,6a: Separate Total/Trend Freq LOESS_p50,6a: Separate Total/Trend Freq LOESS_p75,6a: Separate Total/Trend Freq LOESS_p95,6b: Trend Freq Only LOESS_point,6b: Trend Freq Only LOESS_p5,6b: Trend Freq Only LOESS_p25,6b: Trend Freq Only LOESS_p50,6b: Trend Freq Only LOESS_p75,6b: Trend Freq Only LOESS_p95,8: Piecewise Quadratic LOESS_point,8: Piecewise Quadratic LOESS_p5,8: Piecewise Quadratic LOESS_p25,8: Piecewise Quadratic LOESS_p50,8: Piecewise Quadratic LOESS_p75,8: Piecewise Quadratic LOESS_p95,8a: Shared T_opt Total/Trend LOESS_point,8a: Shared T_opt Total/Trend LOESS_p5,8a: Shared T_opt Total/Trend LOESS_p25,8a: Shared T_opt Total/Trend LOESS_p50,8a: Shared T_opt Total/Trend LOESS_p75,8a: Shared T_opt Total/Trend LOESS_p95
Total R²,0.2010697394260738,0.17720051583806296,0.1904236424875394,0.2010697394260738,0.21310074360833223,0.2284819648140201,0.19858930134447017,0.17467153964552398,0.18811440015241998,0.19858930134447017,0.21064369236292899,0.22614833447303737,0.2005397660550144,0.17658711507134756,0.18978821697244996,0.2005397660550144,0.2124291485920268,0.2278424204891629,0.19849023007517336,0.17456100435551755,0.18803221882381876,0.19849023007517336,0.2105854689951017,0.2259110357920666,0.0972909973081161,0.08266424135268605,0.09137508192483118,0.0972909973081161,0.10420050973140174,0.1169659169253703,0.19850086573377979,0.17456515356851987,0.18803662943402286,0.19850086573377979,0.210594517904084,0.22592928008330107,0.23653663514989945,0.2048485079431386,0.22208319654003844,0.23653663514989945,0.25150761791142895,0.2722705841719989,0.2386426852033299,0.2076212453089314,0.2244819485595047,0.2386426852033299,0.2535381047123225,0.2745046013441384,0.23597670261973375,0.20516557433187788,0.22191608925368786,0.23597670261973375,0.251097816960407,0.27212505047812363,0.2368070216879345,0.20564398015194693,0.2224418003047207,0.2368070216879345,0.2517862938962721,0.27228638130009875,0.2375174027654249,0.20602305784646993,0.22310657729466463,0.2375174027654249,0.25259969898533896,0.2732488026196126
Var(h(T)-h(Ttr))/Var(Δy),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017067748295243267,0.0007206694058378638,0.0012539867587096772,0.0017067748295243267,0.0022319647354612977,0.003306992043713363,0.0,0.0,0.0,0.0,0.0,0.0,0.0022583198751046476,0.0010079257410421148,0.0017111729928079838,0.0022583198751046476,0.0029419618733799477,0.0042240192547392166,5.3296288313660655e-06,1.2445421097052177e-06,3.1838291425308647e-06,5.3296288313660655e-06,8.085087400692967e-06,1.28857676966813e-05,0.002636554420985173,0.0013151147520766705,0.002060063366640685,0.002636554420985173,0.003294395573044233,0.004391968988378249,0.003292996362118051,0.0016899669012732156,0.0025969172537824493,0.003292996362118051,0.004105020299640588,0.005391123803233169,0.0008127566919614093,0.0003042572312320495,0.0005700999420179023,0.0008127566919614093,0.001162487653343758,0.0016978520072519182,0.0029315085869208437,0.001519137722363791,0.002310263144144801,0.0029315085869208437,0.0036289758760050684,0.004810793151280572,0.0030487090349297966,0.0017452032853680756,0.002469413246215577,0.0030487090349297966,0.0036849975475887024,0.005007788898422848
Var(h(Ttr))/Var(Δy),0.23917357733220396,0.08972162587423253,0.1653192270667604,0.23917357733220396,0.3349961559329463,0.5453094063796761,0.0,0.0,0.0,0.0,0.0,0.0,0.15121080348870897,0.05630839338260981,0.10337341711690992,0.15121080348870897,0.21250082259172798,0.3424183564534316,0.0,0.0,0.0,0.0,0.0,0.0,0.20393901967165956,0.08160673761976865,0.1415284475165339,0.20393901967165956,0.27777887591454253,0.4356113786014175,0.0,0.0,0.0,0.0,0.0,0.0,0.23573571613661526,0.10739203202760954,0.1770287064532961,0.23573571613661526,0.31247866902769805,0.4694859078483546,0.2442131223042514,0.10822523359509645,0.18405380648563102,0.2442131223042514,0.32245730597449973,0.504429918279747,0.0008127566919614093,0.0003042572312320495,0.0005700999420179023,0.0008127566919614093,0.001162487653343758,0.0016978520072519182,0.26208691561252295,0.12333508248633543,0.19426907848386968,0.26208691561252295,0.35477564327207023,0.5096101499442104,0.22211189288625435,0.07418364456603603,0.15342008637939383,0.22211189288625435,0.31344813964501794,0.5054806349721066
Var(j)/Var(Δy),0.39720329651779396,0.2321759904104714,0.31492530237445016,0.39720329651779396,0.5231546166952458,0.8294440188841393,0.13976930340176769,0.09773408365916508,0.11592918313236206,0.13976930340176769,0.1817246710757678,0.42497881392623255,0.10318954156704405,0.08660716565001006,0.09624574354340718,0.10318954156704405,0.11069354481207552,0.12084710365548926,0.10318954156704405,0.08660716565001006,0.09624574354340718,0.10318954156704405,0.11069354481207552,0.12084710365548926,0.0,0.0,0.0,0.0,0.0,0.0,0.10318954156704405,0.08660716565001006,0.09624574354340718,0.10318954156704405,0.11069354481207552,0.12084710365548926,0.13033723212027715,0.11109758021931639,0.12157896000599955,0.13033723212027715,0.1399051426769318,0.1537765700339549,0.13033723212027715,0.11109758021931639,0.12157896000599955,0.13033723212027715,0.1399051426769318,0.1537765700339549,0.13033723212027715,0.11109758021931639,0.12157896000599955,0.13033723212027715,0.1399051426769318,0.1537765700339549,0.13033723212027715,0.11109758021931639,0.12157896000599955,0.13033723212027715,0.1399051426769318,0.1537765700339549,0.13033723212027715,0.11109758021931639,0.12157896000599955,0.13033723212027715,0.1399051426769318,0.1537765700339549
Var(k)/Var(Δy),0.13994464271148432,0.09530195132687835,0.11267595690418096,0.13994464271148432,0.18744356355586234,0.4567166097890692,0.1298242032078181,0.09200742364648815,0.10821645619538889,0.1298242032078181,0.1812221054366043,0.4251991959753386,0.09483995421100683,0.08034899933986618,0.08901781943307571,0.09483995421100683,0.10171151693234311,0.11384200564081265,0.09483995421100683,0.08034899933986618,0.08901781943307571,0.09483995421100683,0.10171151693234311,0.11384200564081265,0.09483995421100683,0.08034899933986618,0.08901781943307571,0.09483995421100683,0.10171151693234311,0.11384200564081265,0.09483995421100683,0.08034899933986618,0.08901781943307571,0.09483995421100683,0.10171151693234311,0.11384200564081265,0.09483995421100683,0.08034899933986618,0.08901781943307571,0.09483995421100683,0.10171151693234311,0.11384200564081265,0.09483995421100683,0.08034899933986618,0.08901781943307571,0.09483995421100683,0.10171151693234311,0.11384200564081265,0.09483995421100683,0.08034899933986618,0.08901781943307571,0.09483995421100683,0.10171151693234311,0.11384200564081265,0.09483995421100683,0.08034899933986618,0.08901781943307571,0.09483995421100683,0.10171151693234311,0.11384200564081265,0.09483995421100683,0.08034899933986618,0.08901781943307571,0.09483995421100683,0.10171151693234311,0.11384200564081265
Var(ε)/Var(Δy),0.7989302605739277,0.7715180351859805,0.7868992563916621,0.7989302605739277,0.8095763575124595,0.8227994841619383,0.8014106986555332,0.773851665526956,0.7893563076370723,0.8014106986555332,0.8118855998475837,0.8253284603544674,0.9503358625884171,0.8531242259219776,0.9018325648573507,0.9503358625884171,1.014984647533714,1.1461909649183777,0.8015097699248339,0.774088964207933,0.789414531004891,0.8015097699248339,0.8119677811761732,0.8254389956444764,1.1095307179676928,0.983447970846489,1.0464411977412924,1.1095307179676928,1.1816066948663053,1.350819942395391,0.8014972515266953,0.7740675860766845,0.7894046698995241,0.8014972515266953,0.8119625997706384,0.8254335354488329,1.0034753987949854,0.8673231392183153,0.9414135741952516,1.0034753987949854,1.0856909066953018,1.256554880342853,0.9912198845267364,0.8576582843198263,0.9290172926082184,0.9912198845267364,1.0721929815163096,1.2589050920342055,0.7643917315302444,0.7282030152994398,0.7493550989915084,0.7643917315302444,0.7787293296960289,0.7953923575736856,1.025181705783702,0.8789600941608476,0.9524973576808223,1.025181705783702,1.1172965228642306,1.2702700558371862,0.9978812196740474,0.8376544135716654,0.9243747575360088,0.9978812196740474,1.0964958580081252,1.2995763101817859
"2Cov(h(T)-h(Ttr),h(Ttr))/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014865019415187406,-0.00021700473925640506,1.2105771854192787e-05,0.00014865019415187406,0.00027865672792138556,0.00047195471056791816,0.0,0.0,0.0,0.0,0.0,0.0,0.00021694310724127997,-0.00022767580021634337,5.524203169190602e-05,0.00021694310724127997,0.0003632473768704129,0.0005785154252739177,0.0,0.0,0.0,0.0,0.0,0.0,0.00012174279055067308,-0.0009336662221480413,-0.00032026019565311003,0.00012174279055067308,0.0006802681746814366,0.001528919317137399,-0.021151137363782394,-0.04505633041942177,-0.02959297869587583,-0.021151137363782394,-0.0135813866218721,-0.006398267679455176,-0.0016255133839228185,-0.0033957040145038368,-0.002324975306687516,-0.0016255133839228185,-0.0011401998840358046,-0.000608514462464099,0.0005949472857575739,-0.0005980457027634162,-3.114373242186389e-05,0.0005949472857575739,0.001147147894846314,0.0019834265905050654,0.02547922631515251,0.009591834671987312,0.01786844511103726,0.02547922631515251,0.03587015822214647,0.052097257536521606
"2Cov(h(T)-h(Ttr),j)/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004940917985627399,8.399097128349886e-05,0.0003021586356689187,0.0004940917985627399,0.0007112028263042728,0.001085387610599073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012174403843459239,8.934491123697833e-06,7.024437051828028e-05,0.00012174403843459239,0.00018891354972484602,0.00030420601406735596,-0.00010321628251133583,-0.00031527369607089236,-0.00019281868737142853,-0.00010321628251133583,-6.304362259844885e-06,0.0001477769120217741,-0.002520843600229763,-0.005128927928635838,-0.003507293095373685,-0.002520843600229763,-0.0016046772361013077,-0.00035997681166680313,-0.002583704302612733,-0.005225615642713621,-0.0035387986258227063,-0.002583704302612733,-0.001607719896057687,-0.00037851397601942275,-5.0220592864698554e-05,-0.0002877324862405305,-0.00014880901642788115,-5.0220592864698554e-05,4.448734668404127e-05,0.00020822056355192898,-0.0014558801552649442,-0.005478582022187298,-0.0032471023757792068,-0.0014558801552649442,-0.0005144388383436096,0.0006717184001082063
"2Cov(h(T)-h(Ttr),k)/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010066249800729098,-0.0020267314582026294,-0.0013959630828647412,-0.0010066249800729098,-0.0006219277017704417,-0.00011346496681778689,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011269980799347,-0.002337990858365923,-0.0016238139219393996,-0.0011269980799347,-0.0006917576989395681,-9.21697168803689e-05,-1.477817745852643e-05,-3.0135281169030738e-05,-2.0733670551667902e-05,-1.477817745852643e-05,-1.0314746463718298e-05,-4.6763525730433796e-06,-0.0011004496574343416,-0.0020214995392377425,-0.001522018215804266,-0.0011004496574343416,-0.0007326365039322946,-0.0002126244537792098,-0.0009677667683496945,-0.0018174616202549954,-0.0013484047008790702,-0.0009677667683496945,-0.0006044992091882371,-9.729892178390439e-05,9.548609725725643e-05,-3.7158003556330523e-06,4.9919013059115585e-05,9.548609725725643e-05,0.00015008968662563006,0.00024639038829849663,-0.0012107560183126581,-0.002246750013730455,-0.0016847843721947335,-0.0012107560183126581,-0.0008094430930305172,-0.00022033808687992287,-0.0007352669939111722,-0.0017275434392269899,-0.0011279927869934313,-0.0007352669939111722,-0.0003731555236267406,0.00010366767246611922
"2Cov(h(T)-h(Ttr),ε)/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014676169405189698,-0.0004705796330800494,-0.00027705656582360344,-0.00014676169405189698,-1.05541370365688e-05,0.00022075868367577134,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021482329075855552,-0.0005759759720111944,-0.0003621593509968419,-0.00021482329075855552,-5.3454136789130716e-05,0.0002308372832213612,2.0620881123414434e-06,8.102430068073129e-07,1.4941075830162026e-06,2.0620881123414434e-06,2.863197458517847e-06,4.467965957038836e-06,-0.0002755896150682561,-0.0016972791670622927,-0.0008362522291632468,-0.0002755896150682561,0.00017981153709219861,0.0007917539896586712,0.02060631307859037,0.006149281101331581,0.013269620786831988,0.02060631307859037,0.029238451144632836,0.04465713762380283,0.0012185209151116042,0.00019598092098439043,0.0007166708329221392,0.0012185209151116042,0.0018862984003544716,0.0029514601090717576,-0.0007657888184378784,-0.002226661533988304,-0.0013558724632762524,-0.0007657888184378784,-0.0001195398408380755,0.00048084778028361237,-0.026370966011668932,-0.05285763856092599,-0.036846739867692296,-0.026370966011668932,-0.0187070425935921,-0.010456440979712794
