Approach,h1_point,h1_p5,h1_p25,h1_p50,h1_p75,h1_p95,h2_point,h2_p5,h2_p25,h2_p50,h2_p75,h2_p95,T_opt_point,T_opt_p5,T_opt_p25,T_opt_p50,T_opt_p75,T_opt_p95,total_r_squared_point,total_r_squared_p5,total_r_squared_p25,total_r_squared_p50,total_r_squared_p75,total_r_squared_p95,h3_point,h3_p5,h3_p25,h3_p50,h3_p75,h3_p95,h4_point,h4_p5,h4_p25,h4_p50,h4_p75,h4_p95,f1_point,f1_p5,f1_p25,f1_p50,f1_p75,f1_p95,f2_point,f2_p5,f2_p25,f2_p50,f2_p75,f2_p95
0: Conjoined OLS Fit,0.0142016457619065,0.0098612936984735,0.0116500904079062,0.0149367869628909,0.0170962266863262,0.0185235901697075,-0.0004340071550819,-0.0005090884698916,-0.0004905903702316,-0.0004236514288035,-0.0003899734132573,-0.0002830559435768,16.36107330906212,14.251943509667246,14.74592157994715,16.87532216864058,20.267130531341223,21.91224048875502,0.196248335598808,0.1835729882801917,0.1901134432908642,0.1990558003920277,0.2048067177416753,0.221587527774215,,,,,,,,,,,,,,,,,,,,,,,,
nocr0: No Climate Response (Joint),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.1942461901590998,0.1814301333486749,0.1875777172731927,0.1963095467581233,0.2030954825633501,0.219828197591029,,,,,,,,,,,,,,,,,,,,,,,,
5c: Precomputed k Combined,0.0117269607895073,0.007966987721826,0.0097194251106083,0.0122574604874839,0.0145537591940278,0.0152448635512472,-0.000336668333658,-0.0004002660979718,-0.0003813901007173,-0.0003374874101583,-0.0003094566209471,-0.0002148120462308,17.416192164688002,15.093772693742851,15.501020901290332,17.897855584466832,21.28343107559724,23.047375685722784,0.1957673027043159,0.183004270315088,0.1896153884240296,0.1985769276882029,0.2044490555080939,0.2211162432860515,,,,,,,,,,,,,,,,,,,,,,,,
nocr5: No Climate Response (Precomputed k),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.1941643399880358,0.1813346100453909,0.1875116874583649,0.1961798054293908,0.2029899735457255,0.2197786025428454,,,,,,,,,,,,,,,,,,,,,,,,
5a: Precomputed k Linear Temp,0.0136267642376503,0.0088247689780773,0.0107786841787723,0.0147250693589825,0.01645819259908,0.0172664136492926,-0.0003866325698589,-0.0004545679177734,-0.0004333124753254,-0.0003865618576377,-0.0003346529264103,-0.0002235539933043,17.62236978977528,15.555912958317862,16.0560170576264,18.007574253736507,21.34079768250999,24.378517129281224,0.0923794829584772,0.0887816233530725,0.093819403174136,0.0970450925223946,0.1039577829921743,0.1104852087997641,,,,,,,,,,,,,,,,,,,,,,,,
5b: Precomputed k GDP Only,4.280074293702354e-05,2.846870020308103e-05,3.984442535113957e-05,4.507274796253127e-05,4.867367958291635e-05,5.267473938015339e-05,-1.752085515416014e-06,-2.1737093765567198e-06,-1.9767120247688205e-06,-1.872854250416176e-06,-1.6328711845120527e-06,-1.1145415624232296e-06,12.214227719033724,11.97514865477599,12.003456285501697,12.127440072120503,12.582830845302754,12.806622513647705,0.1941708912651051,0.1813419942900532,0.1875186364369494,0.1961868346284181,0.2030012821620355,0.2197832619112348,,,,,,,,,,,,,,,,,,,,,,,,
6: Precomputed k LOESS,0.014978311137094,0.0110838289256972,0.0130475573813611,0.0156201687145852,0.0176695363261852,0.019447905652689,-0.0004690706926803,-0.0005697869646353,-0.0005018622405759,-0.0004756421255537,-0.0004196245326945,-0.0003892220526624,15.965942203196215,13.799116539043588,14.583605289569302,16.11126528039136,17.08743154463238,19.35778035839668,0.2318641432939773,0.2126970709527674,0.2210679324808117,0.2342669202362322,0.2503197613232832,0.2678527497968895,,,,,,,,,,,,,,,,,,,,,,,,
6a: Separate Total/Trend Freq LOESS,0.0143439353822054,0.0107547579811958,0.0124156284919006,0.0150302402778406,0.0171194979144962,0.0187132380547385,-0.0004548852671901,-0.0005540986207979,-0.0004862912612881,-0.0004611458226329,-0.0004115010912975,-0.0003785032720592,15.766542045655177,13.604313184318997,14.4006972959501,15.908709700951764,17.002264341360686,19.2612976299102,0.2341314173123861,0.2147235581396739,0.223624507348507,0.2363502325343857,0.2526029064970962,0.2695817660328139,0.015053801446929,0.0112915777764304,0.0130523766356456,0.0156868911678383,0.0176845646641656,0.0195375560394794,-0.0004807399521398,-0.0005813251623013,-0.0005101917850852,-0.0004859211819297,-0.0004318840986664,-0.0003979572402583,15.65690700338264,13.61184025530532,14.374243480749474,15.830987308193466,16.84166555439729,19.008909497372333,,,,,,
6b: Trend Freq Only LOESS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.2317727560927864,0.2120181438137346,0.2210515622351043,0.2326494317489041,0.250090481760942,0.2675902186081023,0.0007390750025716,0.0005509643067349,0.0006100148850056,0.0006628844346587,0.0007308554346859,0.0008781178515472,-2.694781790045852e-05,-3.277838989949897e-05,-2.706917717948953e-05,-2.308722857953881e-05,-2.185340433069974e-05,-1.911322040068461e-05,13.713076979028251,13.16266361016589,13.751538768881492,13.988884516198294,14.345406542864753,14.569231867880411,,,,,,
8: Piecewise Quadratic LOESS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002624682729552,-0.0003977851411189,-0.0003539713186553,-0.0003229093858521,-0.0002662470277581,-0.0002044549823478,22.725543332991023,17.43705500738198,18.30969331640156,21.53735259694429,23.320213067233205,23.589382662421624,0.2320695697844198,0.213117593535918,0.221512675345717,0.2345392596518477,0.2505858116803938,0.2682219503365931,,,,,,,-0.0017133740401422,-0.0022664573893762,-0.001990481648538,-0.0014867018252406,-0.0009436663351627,-0.0007193687384323,,,,,,,,,,,,
