Approach,h1_point,h1_p5,h1_p25,h1_p50,h1_p75,h1_p95,h2_point,h2_p5,h2_p25,h2_p50,h2_p75,h2_p95,T_opt_point,T_opt_p5,T_opt_p25,T_opt_p50,T_opt_p75,T_opt_p95,total_r_squared_point,total_r_squared_p5,total_r_squared_p25,total_r_squared_p50,total_r_squared_p75,total_r_squared_p95,h3_point,h3_p5,h3_p25,h3_p50,h3_p75,h3_p95,h4_point,h4_p5,h4_p25,h4_p50,h4_p75,h4_p95,T_dep_opt_point,T_dep_opt_p5,T_dep_opt_p25,T_dep_opt_p50,T_dep_opt_p75,T_dep_opt_p95,f1_point,f1_p5,f1_p25,f1_p50,f1_p75,f1_p95,f2_point,f2_p5,f2_p25,f2_p50,f2_p75,f2_p95
0: Conjoined OLS Fit,0.0142016457619065,0.009408555110878,0.0115429966706783,0.0135239959329856,0.0159163598110543,0.0187714705407033,-0.0004340071550819,-0.0005942004308638,-0.0004834014242944,-0.0004091318450718,-0.0003230747131076,-0.000250551915248,16.36107330906212,13.903418063042825,14.570997151398032,16.683323216096074,19.338191175238247,22.26200427205985,0.196248335598808,0.1775854292583513,0.1860943802552296,0.1979904297823623,0.2067280933013942,0.2191568816345445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nocr0: No Climate Response (Joint),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.1942461901590998,0.1765972185762833,0.183918902730006,0.1961421117754799,0.2047327214263097,0.215841574703599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c: Precomputed k Combined,0.0117269607895073,0.0075980896268243,0.0094194471496602,0.0111378800309872,0.0135161399066317,0.0154081421929825,-0.000336668333658,-0.0004455785110271,-0.0003634029752957,-0.0003323137463696,-0.0002475360552854,-0.0001895401915676,17.416192164688002,14.82723267021666,15.360775219810249,17.600873040499422,20.00775289910213,23.074110111377216,0.1957673027043159,0.1772977718786974,0.1857204807426182,0.1974024115838756,0.2061384133937078,0.2184907816441681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nocr5: No Climate Response (Precomputed k),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.1941643399880358,0.17656530387043,0.1838674510703375,0.1959919178294054,0.2046651965387405,0.2157855391846324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a: Precomputed k Linear Temp,0.0136267642376503,0.0085023168403977,0.0104035380554978,0.0131807349200934,0.0161646022197876,0.017368236553731,-0.0003866325698589,-0.0005299261573476,-0.0004435911834705,-0.0003745597570469,-0.0002684325120565,-0.0001980987943173,17.62236978977528,15.229639372743735,15.823483089289615,17.89405473438637,20.44457650329568,25.27768181878448,0.0923794829584772,0.0859708749661654,0.0927243844862556,0.0954415269663728,0.1006583745439601,0.110013297860036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b: Precomputed k GDP Only,4.280074293702354e-05,1.7549929720409415e-05,2.9037109630058348e-05,4.050731994747796e-05,4.9563792467808016e-05,5.369655880855127e-05,-1.752085515416014e-06,-2.23458828722836e-06,-1.995912922824561e-06,-1.645080193013927e-06,-1.1728596988133657e-06,-7.018644827952694e-07,12.214227719033724,11.8847215485822,12.005467190831776,12.16286641346682,12.451291470459386,12.878760797815795,0.1941708912651051,0.1765690827189157,0.1838683592192599,0.1959965551592946,0.204666728981853,0.2157898443217071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6: Precomputed k LOESS,0.014978311137094,0.0107426072008547,0.0128062227464317,0.0143072106553165,0.0172213239907428,0.0198449819254378,-0.0004690706926803,-0.0006164805768863,-0.0005108800901167,-0.0004589874897964,-0.0003922985275524,-0.0003442949296451,15.965942203196215,13.64623603662841,14.52144387702652,16.406304675971107,17.697739449815213,19.387623485203797,0.2318641432939773,0.2097594278004176,0.2185135972626317,0.2319789041159777,0.2440172880981811,0.2539100821584809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6b: T Only LOESS,-0.0006844635212192,-0.000884220863344,-0.0007508240217639,-0.0006621434886935,-0.0005822072445505,-0.0005190718278543,2.468652132690624e-05,1.821953399564328e-05,1.9788317665614087e-05,2.368408971722217e-05,2.8011200609404055e-05,3.290961854631444e-05,13.863101895875696,13.066206689786831,13.545342965372,13.976634408149216,14.474839684111602,14.92959166416482,0.2315139237303439,0.2090658791632219,0.2189618300638964,0.2303672273120088,0.2427271443570408,0.253926582969898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
6e: T/Quadratic Departure LOESS,0.0133920068190738,0.0098238278896523,0.011380370003037,0.0126684072849275,0.0158666542156505,0.0174742203147826,-0.0004341955268202,-0.0005603062969387,-0.0005016983646193,-0.0004228427165142,-0.0003577694731089,-0.0003061591389758,15.421631490710082,13.218316170366233,14.297065419682514,15.649683540535348,17.148849129486845,18.962292123385488,0.2323831554137279,0.2100105847432582,0.2189920737011428,0.2330337848601009,0.2441334734050408,0.2546562962611794,0.0,0.0,0.0,0.0,0.0,0.0,-0.0042150592912835,-0.0086543583025174,-0.0056031142127831,-0.0032500608700786,-0.0027218083171573,0.0004466193908844,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
8: Piecewise Quadratic LOESS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002624682729552,-0.0005767004154391,-0.0003584090240992,-0.0002916431948818,-0.0002277783484242,-0.0002014686569965,22.725543332991023,15.777312447824189,17.167547688520937,20.435919962637023,23.47968982676885,24.090355146611603,0.2320695697844198,0.2102138009768515,0.2189029606635609,0.2321701343068678,0.2443328006213638,0.2544138510499149,,,,,,,-0.0017133740401422,-0.002624678545655,-0.0018138248878576,-0.0012576300689712,-0.0007394893274337,-0.0004380171590723,,,,,,,,,,,,,,,,,,
