Metric,0: Conjoined OLS Fit_point,0: Conjoined OLS Fit_p5,0: Conjoined OLS Fit_p25,0: Conjoined OLS Fit_p50,0: Conjoined OLS Fit_p75,0: Conjoined OLS Fit_p95,nocr0: No Climate Response (Joint)_point,nocr0: No Climate Response (Joint)_p5,nocr0: No Climate Response (Joint)_p25,nocr0: No Climate Response (Joint)_p50,nocr0: No Climate Response (Joint)_p75,nocr0: No Climate Response (Joint)_p95,5c: Precomputed k Combined_point,5c: Precomputed k Combined_p5,5c: Precomputed k Combined_p25,5c: Precomputed k Combined_p50,5c: Precomputed k Combined_p75,5c: Precomputed k Combined_p95,nocr5: No Climate Response (Precomputed k)_point,nocr5: No Climate Response (Precomputed k)_p5,nocr5: No Climate Response (Precomputed k)_p25,nocr5: No Climate Response (Precomputed k)_p50,nocr5: No Climate Response (Precomputed k)_p75,nocr5: No Climate Response (Precomputed k)_p95,5a: Precomputed k Linear Temp_point,5a: Precomputed k Linear Temp_p5,5a: Precomputed k Linear Temp_p25,5a: Precomputed k Linear Temp_p50,5a: Precomputed k Linear Temp_p75,5a: Precomputed k Linear Temp_p95,5b: Precomputed k GDP Only_point,5b: Precomputed k GDP Only_p5,5b: Precomputed k GDP Only_p25,5b: Precomputed k GDP Only_p50,5b: Precomputed k GDP Only_p75,5b: Precomputed k GDP Only_p95,6: Precomputed k LOESS_point,6: Precomputed k LOESS_p5,6: Precomputed k LOESS_p25,6: Precomputed k LOESS_p50,6: Precomputed k LOESS_p75,6: Precomputed k LOESS_p95,6b: T Only LOESS_point,6b: T Only LOESS_p5,6b: T Only LOESS_p25,6b: T Only LOESS_p50,6b: T Only LOESS_p75,6b: T Only LOESS_p95,6e: T/Quadratic Departure LOESS_point,6e: T/Quadratic Departure LOESS_p5,6e: T/Quadratic Departure LOESS_p25,6e: T/Quadratic Departure LOESS_p50,6e: T/Quadratic Departure LOESS_p75,6e: T/Quadratic Departure LOESS_p95,8: Piecewise Quadratic LOESS_point,8: Piecewise Quadratic LOESS_p5,8: Piecewise Quadratic LOESS_p25,8: Piecewise Quadratic LOESS_p50,8: Piecewise Quadratic LOESS_p75,8: Piecewise Quadratic LOESS_p95,8a: Shared T_opt Total/Trend LOESS_point,8a: Shared T_opt Total/Trend LOESS_p5,8a: Shared T_opt Total/Trend LOESS_p25,8a: Shared T_opt Total/Trend LOESS_p50,8a: Shared T_opt Total/Trend LOESS_p75,8a: Shared T_opt Total/Trend LOESS_p95
Total R²,0.1979904297823623,0.17758542925835136,0.1860943802552296,0.1979904297823623,0.2067280933013942,0.21915688163454447,0.1961421117754799,0.17659721857628335,0.183918902730006,0.1961421117754799,0.2047327214263097,0.215841574703599,0.1974024115838756,0.17729777187869739,0.1857204807426182,0.1974024115838756,0.2061384133937078,0.2184907816441681,0.1959919178294054,0.17656530387043,0.1838674510703375,0.1959919178294054,0.2046651965387405,0.21578553918463236,0.0954415269663728,0.0859708749661654,0.0927243844862556,0.0954415269663728,0.1006583745439601,0.11001329786003596,0.1959965551592946,0.17656908271891567,0.1838683592192599,0.1959965551592946,0.204666728981853,0.2157898443217071,0.2319789041159777,0.20975942780041756,0.2185135972626317,0.2319789041159777,0.2440172880981811,0.2539100821584809,0.2303672273120088,0.2090658791632219,0.2189618300638964,0.2303672273120088,0.2427271443570408,0.25392658296989806,0.2330337848601009,0.21001058474325815,0.2189920737011428,0.2330337848601009,0.2441334734050408,0.25465629626117936,0.2321701343068678,0.2102138009768515,0.2189029606635609,0.2321701343068678,0.2443328006213638,0.2544138510499148,0.2319789039255583,0.20975942778115406,0.2185135972577737,0.2319789039255583,0.2440172880887269,0.2539100821335711
Var(h(T)-h(Ttr))/Var(Δy),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014096706389113477,0.0007164232356982262,0.001226071842620362,0.0014096706389113477,0.0019092213072129187,0.0029336964444878896,0.0,0.0,0.0,0.0,0.0,0.0,0.00219069600452267,0.0009471841370292474,0.001551015653489806,0.00219069600452267,0.0026272219597734004,0.0036607337090349816,5.336560522195289e-06,7.370161271504029e-07,2.778347506485012e-06,5.336560522195289e-06,6.40363653022475e-06,1.0315027735261038e-05,0.0024446348332661273,0.0014058797927264629,0.0020139828992582313,0.0024446348332661273,0.0031836194616701994,0.004171688546308251,0.0,0.0,0.0,0.0,0.0,0.0,0.002727951800717663,0.0016320207314778482,0.0022737220891951575,0.002727951800717663,0.0037307826961027685,0.00513711251658968,0.0026512333790591988,0.001793318870912557,0.002359105431689534,0.0026512333790591988,0.0035355331766405017,0.0043186978745580395,0.00244463445152021,0.0014058798313663317,0.0020139831930716633,0.00244463445152021,0.0031836197634666726,0.004171688179979685
Var(h(Ttr))/Var(Δy),0.21041953573739205,0.08094897512168166,0.12650730976068547,0.21041953573739205,0.2944831981888562,0.5385437862381731,0.0,0.0,0.0,0.0,0.0,0.0,0.1395611423112182,0.0499233286352983,0.08667739669344732,0.1395611423112182,0.16285697689495404,0.4080422724878323,0.0,0.0,0.0,0.0,0.0,0.0,0.18969992631028088,0.07605965186090714,0.10872925507220993,0.18969992631028088,0.22739931004319866,0.533387123758312,0.0,0.0,0.0,0.0,0.0,0.0,0.22389389844139646,0.08443618688673238,0.14506985492846203,0.22389389844139646,0.30972668972092965,0.3925909249302501,0.0006515471519284327,0.00029840495103096426,0.0003888152161362326,0.0006515471519284327,0.0008598339792211888,0.0012862572757768329,0.0,0.0,0.0,0.0,0.0,0.0,0.2265917516081438,0.12061288015319943,0.15530625343519167,0.2265917516081438,0.311182624532258,0.4646945153468598,0.0,0.0,0.0,0.0,0.0,0.0
Var(j)/Var(Δy),0.3339514761588982,0.205908406991004,0.29273648680192943,0.3339514761588982,0.518892338728251,0.8886097284190199,0.1480156073041023,0.1010567856647855,0.11536897910254226,0.1480156073041023,0.17360616492655379,0.414202499696881,0.09841990625582304,0.08546423667499282,0.09302234665960327,0.09841990625582304,0.10863298823807113,0.12079329743231389,0.09841990625582304,0.08546423667499282,0.09302234665960327,0.09841990625582304,0.10863298823807113,0.12079329743231389,0.0,0.0,0.0,0.0,0.0,0.0,0.09841990625582304,0.08546423667499282,0.09302234665960327,0.09841990625582304,0.10863298823807113,0.12079329743231389,0.12717135953601152,0.1119089935312137,0.12109651565409607,0.12717135953601152,0.14005906139273477,0.15073030008661514,0.12717135953601152,0.1119089935312137,0.12109651565409607,0.12717135953601152,0.14005906139273477,0.15073030008661514,0.12717135953601152,0.1119089935312137,0.12109651565409607,0.12717135953601152,0.14005906139273477,0.15073030008661514,0.12717135953601152,0.1119089935312137,0.12109651565409607,0.12717135953601152,0.14005906139273477,0.15073030008661514,0.12717135953601152,0.1119089935312137,0.12109651565409607,0.12717135953601152,0.14005906139273477,0.15073030008661514
Var(k)/Var(Δy),0.13816785701059436,0.10204047084415123,0.11678093110691373,0.13816785701059436,0.18579220060165152,0.40054483507905553,0.12484534762849467,0.0978071566823226,0.11698509998608837,0.12484534762849467,0.18345073581901636,0.39047301029498643,0.09366263681143856,0.08413890178856767,0.08929848141963201,0.09366263681143856,0.09850781350303178,0.10618511814333684,0.09366263681143856,0.08413890178856767,0.08929848141963201,0.09366263681143856,0.09850781350303178,0.10618511814333684,0.09366263681143856,0.08413890178856767,0.08929848141963201,0.09366263681143856,0.09850781350303178,0.10618511814333684,0.09366263681143856,0.08413890178856767,0.08929848141963201,0.09366263681143856,0.09850781350303178,0.10618511814333684,0.09366263681143856,0.08413890178856767,0.08929848141963201,0.09366263681143856,0.09850781350303178,0.10618511814333684,0.09366263681143856,0.08413890178856767,0.08929848141963201,0.09366263681143856,0.09850781350303178,0.10618511814333684,0.09366263681143856,0.08413890178856767,0.08929848141963201,0.09366263681143856,0.09850781350303178,0.10618511814333684,0.09366263681143856,0.08413890178856767,0.08929848141963201,0.09366263681143856,0.09850781350303178,0.10618511814333684,0.09366263681143856,0.08413890178856767,0.08929848141963201,0.09366263681143856,0.09850781350303178,0.10618511814333684
Var(ε)/Var(Δy),0.8020095702176332,0.7808431183654492,0.7932719066986115,0.8020095702176332,0.8139056197447805,0.8224145707416425,0.8038578882245079,0.7841584252964056,0.7952672785736885,0.8038578882245079,0.8160810972699911,0.8234027814237247,0.928352446465682,0.8585810129260858,0.8880943512896209,0.928352446465682,0.9737952420552654,1.2169520244511294,0.8040080821705947,0.7842144608153818,0.7953348034612542,0.8040080821705947,0.8161325489296568,0.8234346961295775,1.0871154191317316,0.9833277365611951,1.0132029126170299,1.0871154191317316,1.1563683432532013,1.475684239337688,0.8040024708975245,0.7842091405313285,0.7953327272993086,0.8040024708975245,0.8161308236777827,0.8234305777575771,0.9896047146981288,0.8681504205191322,0.929226365194682,0.9896047146981288,1.0618230631721053,1.1669022171663803,0.7695507040631345,0.7460491304298964,0.7571080126215624,0.7695507040631345,0.7810316286874304,0.7909037661337316,0.7658949091335593,0.7443495517303236,0.7543753352600943,0.7658949091335593,0.7798682078012478,0.7886610820741261,0.9731308648704362,0.8914343296510616,0.9311325455432841,0.9731308648704362,1.0908528880157637,1.2132295284633425,0.7658884227813403,0.7443121317542658,0.7541245026393131,0.7658884227813403,0.7796547397897309,0.7884129062581482
"2Cov(h(T)-h(Ttr),h(Ttr))/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011007862382123719,-4.8479107934994656e-05,2.3904629908491074e-05,0.00011007862382123719,0.00027559182351009545,0.00047959445810359457,0.0,0.0,0.0,0.0,0.0,0.0,0.00019288821789030216,-4.161014755988479e-05,6.6883873726529e-05,0.00019288821789030216,0.0003372915907857815,0.0006562735038020895,0.0,0.0,0.0,0.0,0.0,0.0,-3.070554322581098e-05,-0.0005477561190475847,-0.00031346359929543076,-3.070554322581098e-05,0.0006337576882744561,0.001616145753273339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006488211240364011,-0.00030018168034793533,-3.11116254088392e-05,0.0006488211240364011,0.0010395813922314653,0.0018389674863048058,0.0,0.0,0.0,0.0,0.0,0.0
"2Cov(h(T)-h(Ttr),j)/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005141530864746888,0.0001256668207678014,0.0002696583550257064,0.0005141530864746888,0.0007003163195864301,0.0008145341989619966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012254764094754678,2.6660334084767702e-05,7.390970085043376e-05,0.00012254764094754678,0.00019254387478377096,0.00026257456839713606,-0.00018278674211922994,-0.00035265980341879873,-0.00027984714540515873,-0.00018278674211922994,-9.813048323372988e-05,-2.3747691022925292e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009695300017975032,-0.0020127536711125344,-0.0013317950632482603,-0.0009695300017975032,-0.0005636767892695807,-0.00010866832093989673,-0.0001739323018508168,-0.0003121265927712954,-0.0002400007584819875,-0.0001739323018508168,-2.2998472151218326e-05,9.108631310090581e-05,-0.0001827647876717751,-0.00035262321574268727,-0.0002815271062309111,-0.0001827647876717751,-9.813133275380571e-05,-2.3404097284710717e-06
"2Cov(h(T)-h(Ttr),k)/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010744997643571267,-0.0018873057051673598,-0.0014629348783029032,-0.0010744997643571267,-0.0008163267353106252,-0.000379328514559361,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011167856348258836,-0.002269984702436051,-0.001608948082352567,-0.0011167856348258836,-0.000887836135318383,-0.0002678700631741263,-1.4619747078035213e-05,-2.697154202018083e-05,-1.8909536783428143e-05,-1.4619747078035213e-05,-8.840378659563395e-06,-5.252332508837875e-06,-0.0014272531693712601,-0.001896789201171253,-0.0017212021649171128,-0.0014272531693712601,-0.0010606458194066574,-0.0003976974504341528,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008580688592163137,-0.0013745312812577153,-0.0011695556197599604,-0.0008580688592163137,-0.00045992103899994955,0.000184143671484995,-0.0016614031923187647,-0.0020794838575866575,-0.0018317902400371566,-0.0016614031923187647,-0.0012251586380925639,-0.0005184098807441497,-0.001427229695509735,-0.0018968210051085626,-0.0017212384523107723,-0.001427229695509735,-0.0010606018332464933,-0.00039783872507158824
"2Cov(h(T)-h(Ttr),ε)/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001094611697032442,-0.0004767548997816008,-0.00027403024920314226,-0.0001094611697032442,-2.1411856549188957e-05,4.93290197215937e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.00019024360939102618,-0.0006544139799251326,-0.0003351019946032222,-0.00019024360939102618,-6.51495834319198e-05,4.500896464302073e-05,1.9092305728554866e-06,8.631174384536142e-07,1.2084671553335636e-06,1.9092305728554866e-06,2.7333842389114898e-06,4.071588744870974e-06,-0.0001512220633863801,-0.0018082280654630042,-0.0008016215584741703,-0.0001512220633863801,0.00018877918012376945,0.0004205203151854918,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006809630530572351,-0.0010736024593379272,-0.0009855200815356137,-0.0006809630530572351,-0.0004660247989042263,-4.712993992601711e-05,-0.0008725194147735599,-0.002093036241967079,-0.0012184926036528044,-0.0008725194147735599,-0.00010351779322907127,0.00019497618969631448,-0.00015682865760402036,-0.00022450650212725232,-0.00017718902128399465,-0.00015682865760402036,-0.00014104992365163545,-0.00010868403569629686
