Metric,0: Conjoined OLS Fit_point,0: Conjoined OLS Fit_p5,0: Conjoined OLS Fit_p25,0: Conjoined OLS Fit_p50,0: Conjoined OLS Fit_p75,0: Conjoined OLS Fit_p95,method0h0: No Climate Response (Joint)_point,method0h0: No Climate Response (Joint)_p5,method0h0: No Climate Response (Joint)_p25,method0h0: No Climate Response (Joint)_p50,method0h0: No Climate Response (Joint)_p75,method0h0: No Climate Response (Joint)_p95,5c: Precomputed k Combined_point,5c: Precomputed k Combined_p5,5c: Precomputed k Combined_p25,5c: Precomputed k Combined_p50,5c: Precomputed k Combined_p75,5c: Precomputed k Combined_p95,method1h0: No Climate Response (Precomputed k)_point,method1h0: No Climate Response (Precomputed k)_p5,method1h0: No Climate Response (Precomputed k)_p25,method1h0: No Climate Response (Precomputed k)_p50,method1h0: No Climate Response (Precomputed k)_p75,method1h0: No Climate Response (Precomputed k)_p95,6: Precomputed k LOESS_point,6: Precomputed k LOESS_p5,6: Precomputed k LOESS_p25,6: Precomputed k LOESS_p50,6: Precomputed k LOESS_p75,6: Precomputed k LOESS_p95,8: Piecewise Quadratic LOESS_point,8: Piecewise Quadratic LOESS_p5,8: Piecewise Quadratic LOESS_p25,8: Piecewise Quadratic LOESS_p50,8: Piecewise Quadratic LOESS_p75,8: Piecewise Quadratic LOESS_p95,6e: T/Quadratic Departure LOESS_point,6e: T/Quadratic Departure LOESS_p5,6e: T/Quadratic Departure LOESS_p25,6e: T/Quadratic Departure LOESS_p50,6e: T/Quadratic Departure LOESS_p75,6e: T/Quadratic Departure LOESS_p95
Total R²,0.2010697394260738,0.17720051583806296,0.1904236424875394,0.2010697394260738,0.21310074360833223,0.2284819648140201,0.19858930134447017,0.17467153964552398,0.18811440015241998,0.19858930134447017,0.21064369236292899,0.22614833447303737,0.2005397660550144,0.17658711507134756,0.18978821697244996,0.2005397660550144,0.2124291485920268,0.2278424204891629,0.19849023007517336,0.17456100435551755,0.18803221882381876,0.19849023007517336,0.2105854689951017,0.2259110357920666,0.23653663514989945,0.2048485079431386,0.22208319654003844,0.23653663514989945,0.25150761791142895,0.2722705841719989,0.2368070216879345,0.20564398015194693,0.2224418003047207,0.2368070216879345,0.2517862938962721,0.27228638130009875,0.23705844573209345,0.2051719955756855,0.222741431762817,0.23705844573209345,0.25184431375284166,0.27285905181620684
Var(h(T))/Var(Δy),0.23917357733220396,0.08972162587423253,0.1653192270667604,0.23917357733220396,0.3349961559329463,0.5453094063796761,0.0,0.0,0.0,0.0,0.0,0.0,0.15303841883542713,0.05735638351544291,0.10502161769846373,0.15303841883542713,0.21449131324098708,0.3450527997712271,0.0,0.0,0.0,0.0,0.0,0.0,0.238913406859053,0.1088795602752005,0.17939486445042194,0.238913406859053,0.31455543407220893,0.47341957711990307,0.2655956875873947,0.12579690449372766,0.1976224491462768,0.2655956875873947,0.3594625000094898,0.5157436545274213,0.2070441455642507,0.08757427768072124,0.15065363891248873,0.2070441455642507,0.2796921042777576,0.45413845729345975
Var(j)/Var(Δy),0.39720329651779396,0.2321759904104714,0.31492530237445016,0.39720329651779396,0.5231546166952458,0.8294440188841393,0.13976930340176769,0.09773408365916508,0.11592918313236206,0.13976930340176769,0.1817246710757678,0.42497881392623255,0.10318954156704405,0.08660716565001006,0.09624574354340718,0.10318954156704405,0.11069354481207552,0.12084710365548926,0.10318954156704405,0.08660716565001006,0.09624574354340718,0.10318954156704405,0.11069354481207552,0.12084710365548926,0.13033723212027715,0.11109758021931639,0.12157896000599955,0.13033723212027715,0.1399051426769318,0.1537765700339549,0.13033723212027715,0.11109758021931639,0.12157896000599955,0.13033723212027715,0.1399051426769318,0.1537765700339549,0.13033723212027715,0.11109758021931639,0.12157896000599955,0.13033723212027715,0.1399051426769318,0.1537765700339549
Var(k)/Var(Δy),0.13994464271148432,0.09530195132687835,0.11267595690418096,0.13994464271148432,0.18744356355586234,0.4567166097890692,0.1298242032078181,0.09200742364648815,0.10821645619538889,0.1298242032078181,0.1812221054366043,0.4251991959753386,0.09483995421100683,0.08034899933986618,0.08901781943307571,0.09483995421100683,0.10171151693234311,0.11384200564081265,0.09483995421100683,0.08034899933986618,0.08901781943307571,0.09483995421100683,0.10171151693234311,0.11384200564081265,0.09483995421100683,0.08034899933986618,0.08901781943307571,0.09483995421100683,0.10171151693234311,0.11384200564081265,0.09483995421100683,0.08034899933986618,0.08901781943307571,0.09483995421100683,0.10171151693234311,0.11384200564081265,0.09483995421100683,0.08034899933986618,0.08901781943307571,0.09483995421100683,0.10171151693234311,0.11384200564081265
Var(ε)/Var(Δy),0.7989302605739277,0.7715180351859805,0.7868992563916621,0.7989302605739277,0.8095763575124595,0.8227994841619383,0.8014106986555332,0.773851665526956,0.7893563076370723,0.8014106986555332,0.8118855998475837,0.8253284603544674,0.9503358625884171,0.8531242259219776,0.9018325648573507,0.9503358625884171,1.014984647533714,1.1461909649183777,0.8015097699248339,0.774088964207933,0.789414531004891,0.8015097699248339,0.8119677811761732,0.8254389956444764,1.0034753987949854,0.8673231392183153,0.9414135741952516,1.0034753987949854,1.0856909066953018,1.256554880342853,1.025181705783702,0.8789600941608476,0.9524973576808223,1.025181705783702,1.1172965228642306,1.2702700558371862,0.9758193061806486,0.8475593007251511,0.9125523481126296,0.9758193061806486,1.0497206883445513,1.2386714039359048
"2Cov(h(T),j)/Var(Δy)",-0.46751225467596846,-1.0735122306852376,-0.6630174842642094,-0.46751225467596846,-0.3254453191563718,-0.18393722289697964,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024667114695954883,-0.030614646107856906,-0.012812430385410864,-0.0024667114695954883,0.009116735057373069,0.029081962700212103,0.0,0.0,0.0,0.0,0.0,0.0,0.012644201881603085,-0.031237584269874587,-0.007079059131568754,0.012644201881603085,0.03400346677166913,0.068474111338827,-0.002991362956133905,-0.05502559577186267,-0.026095490337692595,-0.002991362956133905,0.023298159140360247,0.05837210793756314,0.017960124188596736,-0.02397684983381921,-0.0010924438774940627,0.017960124188596736,0.03788425161836488,0.07399281494677795
"2Cov(h(T),k)/Var(Δy)",-0.0014733420301967833,-0.009939146914195474,-0.004467329805106137,-0.0014733420301967833,0.002023640170490674,0.013080269619340557,0.0,0.0,0.0,0.0,0.0,0.0,0.0004503921783910287,-0.0024835979538133097,-0.0007754729876109762,0.0004503921783910287,0.0019941890524412,0.004514265103754269,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005627809493063557,-0.003954744965164331,-0.002002700711424255,-0.0005627809493063557,0.0009333498242237533,0.0034799028826097483,0.0004657475756089112,-0.0031600271518303956,-0.001169914564382341,0.0004657475756089112,0.0023149497450949403,0.005268001445987058,-0.0005409061040754942,-0.003902635576093669,-0.0019228844679598058,-0.0005409061040754942,0.0009370660777185382,0.003312949753657743
"2Cov(h(T),ε)/Var(Δy)",-1.5126304661739148e-17,-4.755327327074201e-14,-1.3037690892147429e-14,-1.5126304661739154e-17,1.459419672731363e-14,4.3282961390442006e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.3027232781038056,-0.6857506098037457,-0.425645454478185,-0.3027232781038056,-0.2065677964087109,-0.11275015150089318,0.0,0.0,0.0,0.0,0.0,0.0,-0.4776137901911398,-0.9569351348421212,-0.6304452013897832,-0.4776137901911398,-0.35657242279281665,-0.21824551030922146,-0.5244019156574973,-1.0136519235761128,-0.707036100169026,-0.5244019156574973,-0.3868103324397686,-0.24990286264664605,-0.4172477271821238,-0.9266736961183454,-0.5606307804382379,-0.4172477271821238,-0.3010439574274314,-0.17538194165371032
"2Cov(j,k)/Var(Δy)",-0.0866348656802704,-0.7045394722046514,-0.172540646921563,-0.0866348656802704,-0.031645899263706534,-0.005154086381308032,-0.06958458198737158,-0.6426575090476087,-0.16163259369529312,-0.06958458198737158,-0.027023168138609027,-0.0048309959776438845,-0.0013722701803447093,-0.0038734690882708035,-0.0024339176028680028,-0.0013722701803447093,-0.00041400688821713035,0.0009807828593431354,-0.0013722701803447093,-0.0038734690882708035,-0.0024339176028680028,-0.0013722701803447093,-0.00041400688821713035,0.0009807828593431354,-0.011814275830933856,-0.01600892837510545,-0.013517488462196033,-0.011814275830933856,-0.010227059412332021,-0.007985945697383368,-0.011814275830933856,-0.01600892837510545,-0.013517488462196033,-0.011814275830933856,-0.010227059412332021,-0.007985945697383368,-0.011814275830933856,-0.01600892837510545,-0.013517488462196033,-0.011814275830933856,-0.010227059412332021,-0.007985945697383368
"2Cov(j,ε)/Var(Δy)",-5.380112906982974e-16,-6.86127382507591e-14,-2.2243552863460966e-14,-5.380112906982974e-16,2.0030025806693825e-14,7.045698428109056e-14,2.4075779137378686e-16,-1.5320936238311692e-14,-4.95780845169321e-15,2.4075779137378686e-16,5.623771452012896e-15,1.847467556609936e-14,0.0024667114695954835,-0.029081962700212197,-0.009116735057373097,0.0024667114695954835,0.01281243038541084,0.03061464610785693,-1.4637912294068877e-17,-7.822647120165694e-17,-3.514126406648414e-17,-1.4637912294068877e-17,1.9962973018517146e-18,4.0109322072613686e-17,-0.002765944450652272,-0.06233720226922114,-0.02422822663795566,-0.002765944450652272,0.016938565736324684,0.04379203817762168,0.013662207690038482,-0.05077165738135643,-0.012268762158662724,0.013662207690038482,0.03610387515668331,0.06253398870752555,-0.008535970346099417,-0.0660622645829004,-0.028678034305924742,-0.008535970346099417,0.012449706523755369,0.03673807858696258
