Metric,0: Conjoined OLS Fit_point,0: Conjoined OLS Fit_p5,0: Conjoined OLS Fit_p25,0: Conjoined OLS Fit_p50,0: Conjoined OLS Fit_p75,0: Conjoined OLS Fit_p95,method0h0: No Climate Response (Joint)_point,method0h0: No Climate Response (Joint)_p5,method0h0: No Climate Response (Joint)_p25,method0h0: No Climate Response (Joint)_p50,method0h0: No Climate Response (Joint)_p75,method0h0: No Climate Response (Joint)_p95,5c: Precomputed k Combined_point,5c: Precomputed k Combined_p5,5c: Precomputed k Combined_p25,5c: Precomputed k Combined_p50,5c: Precomputed k Combined_p75,5c: Precomputed k Combined_p95,method1h0: No Climate Response (Precomputed k)_point,method1h0: No Climate Response (Precomputed k)_p5,method1h0: No Climate Response (Precomputed k)_p25,method1h0: No Climate Response (Precomputed k)_p50,method1h0: No Climate Response (Precomputed k)_p75,method1h0: No Climate Response (Precomputed k)_p95,6: Precomputed k LOESS_point,6: Precomputed k LOESS_p5,6: Precomputed k LOESS_p25,6: Precomputed k LOESS_p50,6: Precomputed k LOESS_p75,6: Precomputed k LOESS_p95,8: Piecewise Quadratic LOESS_point,8: Piecewise Quadratic LOESS_p5,8: Piecewise Quadratic LOESS_p25,8: Piecewise Quadratic LOESS_p50,8: Piecewise Quadratic LOESS_p75,8: Piecewise Quadratic LOESS_p95,6e: T/Quadratic Departure LOESS_point,6e: T/Quadratic Departure LOESS_p5,6e: T/Quadratic Departure LOESS_p25,6e: T/Quadratic Departure LOESS_p50,6e: T/Quadratic Departure LOESS_p75,6e: T/Quadratic Departure LOESS_p95,5: Persistence Decay LOESS_point,5: Persistence Decay LOESS_p5,5: Persistence Decay LOESS_p25,5: Persistence Decay LOESS_p50,5: Persistence Decay LOESS_p75,5: Persistence Decay LOESS_p95,5: Persistence Decay LOESS (h4>0)_point,5: Persistence Decay LOESS (h4>0)_p5,5: Persistence Decay LOESS (h4>0)_p25,5: Persistence Decay LOESS (h4>0)_p50,5: Persistence Decay LOESS (h4>0)_p75,5: Persistence Decay LOESS (h4>0)_p95
Total R²,0.1863929345279196,0.16577270518266785,0.18227972862097017,0.19283343228868088,0.20490175870913951,0.22356427203008392,0.1856673502562166,0.16447996381095054,0.181260118136278,0.19164677012637304,0.203980598948307,0.22275110227059447,0.1862324748928406,0.16544221209783144,0.1820910214155131,0.19254577236012643,0.2046257919509071,0.2233795628300698,0.1856673502562165,0.16447996381095034,0.181260118136278,0.19164677012637293,0.2039805989483072,0.22275110227059447,0.1864353326918248,0.165899171569138,0.1820135413716989,0.19250375417560414,0.20472810303303707,0.2222704688324868,0.1865137983795735,0.1662030187994806,0.1822656361838827,0.19269567633490592,0.20484370556982973,0.22237943062417245,0.1869459073633871,0.1663580050341563,0.18274667190242685,0.1931787684204389,0.20548997663011237,0.22266006853003392,0.1865766312470295,0.16610957696606932,0.18239166304168763,0.19287407358752556,0.2048613714460658,0.2226113496125874,0.1865766312470295,0.16417973107139927,0.18209910769468865,0.1922978108942558,0.20473740282567426,0.22279615447786838
Var(h(T))/Var(Δy),0.08708434328262639,0.034067265629382476,0.0790599457097261,0.134023354391195,0.22243591634837023,0.4941979279612676,0.0,0.0,0.0,0.0,0.0,0.0,0.04738289938101167,0.020828867539280628,0.047241000478909986,0.07554184331826427,0.12097950742655578,0.2386224751724789,0.0,0.0,0.0,0.0,0.0,0.0,0.06835621453116258,0.030567777099101343,0.06368557755707904,0.10034682441883835,0.15095769823292673,0.3078080523049913,0.07545122822607846,0.030139767137106786,0.06947372581913888,0.10579499855771748,0.1555627851168696,0.28552722487992227,0.08343956229970254,0.040669394844672184,0.07865168363069414,0.11186331877705269,0.16125894319256284,0.28205792955721254,0.06820745932453709,0.03916836891878408,0.0747012714425653,0.11379443269699693,0.17842908094677556,0.3271523904490111,0.06820745932453709,0.034175504920608946,0.06807429988824562,0.10493283930327874,0.16302669759913166,0.29224601660466865
Var(j)/Var(Δy),0.22652245065248153,0.15410888003472167,0.21735309675137,0.2780233353354825,0.387919228382804,0.6335279120376599,0.15929400584918882,0.09738657769157383,0.11497753854636532,0.13451737870306246,0.17495364553313236,0.3047929867276079,0.10382283322159638,0.08446043908636125,0.0956699871447286,0.10337824241638446,0.11225603200895352,0.12566961279081465,0.10382283322159638,0.08446043908636125,0.0956699871447286,0.10337824241638446,0.11225603200895352,0.12566961279081465,0.08740998496107467,0.07102322463961498,0.0802302226673601,0.08684237069589848,0.09379004691723311,0.1063649697059292,0.08740998496107467,0.07102322463961498,0.0802302226673601,0.08684237069589848,0.09379004691723311,0.1063649697059292,0.08740998496107467,0.07102322463961498,0.0802302226673601,0.08684237069589848,0.09379004691723311,0.1063649697059292,0.08740998496107467,0.07102322463961498,0.0802302226673601,0.08684237069589848,0.09379004691723311,0.1063649697059292,0.08740998496107467,0.07072754305576612,0.07934652115189257,0.08597942911763878,0.09384286020259544,0.10692310419379757
Var(k)/Var(Δy),0.11805755622039607,0.08624519098511288,0.10091949215343143,0.12157873453097569,0.16373326704398494,0.3055352214823971,0.11951981289700775,0.08434960014784182,0.09850654669053754,0.11873542357030231,0.15734990076031158,0.2888152868755417,0.0818445170345976,0.0749663935252201,0.08223535015695432,0.08809339669149929,0.0938108346825635,0.1039201202735056,0.0818445170345976,0.0749663935252201,0.08223535015695432,0.08809339669149929,0.0938108346825635,0.1039201202735056,0.0818445170345976,0.0749663935252201,0.08223535015695432,0.08809339669149929,0.0938108346825635,0.1039201202735056,0.0818445170345976,0.0749663935252201,0.08223535015695432,0.08809339669149929,0.0938108346825635,0.1039201202735056,0.0818445170345976,0.0749663935252201,0.08223535015695432,0.08809339669149929,0.0938108346825635,0.1039201202735056,0.0818445170345976,0.0749663935252201,0.08223535015695432,0.08809339669149929,0.0938108346825635,0.1039201202735056,0.0818445170345976,0.07508322857956758,0.08248799461632134,0.08832436240480401,0.09400706763009714,0.10449666158426747
Var(ε)/Var(Δy),0.8136070654720816,0.776435727969914,0.7950982412908609,0.807166567711306,0.8177202713790384,0.8342272948173352,0.8143326497437805,0.777248897729386,0.7960194010516923,0.8083532298736249,0.8187398818637224,0.835520036189033,0.8605852998515612,0.8187348876662809,0.8529357553508762,0.8830375877208292,0.9323575147826139,1.0460175944024028,0.8143326497437805,0.7772488977293842,0.7960194010516923,0.8083532298736249,0.8187398818637224,0.835520036189033,0.8825054430464062,0.8307046247706394,0.8709208093645165,0.9070550216825466,0.9633518233775883,1.1039155533974077,0.8896095719912424,0.83140711578984,0.8748033026934352,0.9154529594010471,0.9662562408456521,1.0926689590546412,0.8960964115323385,0.8394813580504794,0.8810237787107761,0.9192833906305586,0.9714814869748455,1.0895639202218033,0.8806552691573097,0.8359879363490826,0.8781974739565908,0.9206117371316662,0.9907043917438847,1.1416723346603939,0.8806552691573097,0.8318528736258177,0.8695728816845735,0.9085951942894198,0.9711991658279012,1.102265350364896
"2Cov(h(T),j)/Var(Δy)",-0.15643864921906062,-0.9198254901718913,-0.42824294360785636,-0.2556357773910015,-0.15490731670276306,-0.0654799827152252,0.0,0.0,0.0,0.0,0.0,0.0,0.004340127845640397,-0.025781606784933825,-0.008649426661254248,0.004693883719805649,0.018469948273056425,0.04767099247659036,0.0,0.0,0.0,0.0,0.0,0.0,0.006764266846216239,-0.028380948883690936,-0.009324721309771425,0.007373028033235713,0.02308567236153271,0.05706878819436536,0.010187796388605121,-0.030494385928648757,-0.01179448606026811,0.00505920666808025,0.021866058685423635,0.053483610921041355,-0.0007831935815447407,-0.03363385272832892,-0.01445235163728004,-0.0003319964690931775,0.01476777405889104,0.044571472641198935,-0.011750994811929264,-0.04550870198711662,-0.020919886943472854,-0.0052293419720563904,0.014353389860433791,0.051500103573304916,-0.011750994811929264,-0.048990670416475215,-0.027765471867516107,-0.014804382510955668,-0.0019694713447342494,0.022474531067019684
"2Cov(h(T),k)/Var(Δy)",-0.004870778093729107,-0.0154290442813603,-0.004341460789209966,-0.0010912170913140716,0.0018237213369453886,0.011117874904746633,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002441234578655289,-0.0014005452458974808,-0.0007361710810353625,-0.00034526493173830995,0.00016520529972757832,0.0011391412265066689,0.0,0.0,0.0,0.0,0.0,0.0,-0.00028251892229820764,-0.001514040099703021,-0.0008259976991319814,-0.0003911158658485563,0.00016772270117103123,0.0011801243708958564,-7.529693550749805e-05,-0.0014959769054873142,-0.0007834891247741056,-0.00031318233523353625,0.00033195831094926605,0.001486705522653263,-0.0006067973773468816,-0.001818547834248763,-0.0010759789278182508,-0.0006473194188264006,-0.00012665783592276522,0.0008886166308862582,-0.000517516077181986,-0.0022380626713755045,-0.001091280409402566,-0.0004866274806260621,0.00016953767895185862,0.0013538513539011468,-0.000517516077181986,-0.002447844780520383,-0.0012720659912926128,-0.000691583022593697,-7.414264481936375e-05,0.0010460515818233778
"2Cov(h(T),ε)/Var(Δy)",-5.7989474735962604e-15,-2.8346826678813708e-14,-7.979116500903314e-15,-9.828255473423655e-16,7.436357448438758e-15,2.883264333042428e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.09363554948879224,-0.47362473259948784,-0.23947870318332437,-0.14969741536632047,-0.09342735109298231,-0.04099519598195471,0.0,0.0,0.0,0.0,0.0,0.0,-0.13652900783376282,-0.6134315629417544,-0.30199372074072967,-0.19885478314721525,-0.1279548159642179,-0.06179954993091758,-0.15072815047351482,-0.5718949064252562,-0.31038081498780995,-0.2094411548346421,-0.13852917573850912,-0.06010523733575462,-0.1652033240882605,-0.5614514932929123,-0.320254526265001,-0.2210899813125543,-0.15581300296286896,-0.07977214355447187,-0.13453007873804085,-0.6500161290484326,-0.354122100530584,-0.226216604667477,-0.1482669215530835,-0.077804507552174,-0.13453007873804085,-0.5759297238760159,-0.3180604947638878,-0.20812101884725573,-0.13564438234324377,-0.06870755031768111
"2Cov(j,k)/Var(Δy)",-0.08396198831476583,-0.40682814701038317,-0.14139637483428985,-0.06418042601197917,-0.02634649455272883,-0.0019618941857518966,-0.0931464684899772,-0.3865654565351157,-0.1384817591312987,-0.056099895385625737,-0.022575908330759772,-0.0016650270051362702,-4.3181611216613673e-19,-4.566662395530504e-18,-2.0066284602382924e-18,-6.823068879726729e-19,3.928860957416456e-19,1.8478238664415113e-18,-4.3181611216613673e-19,-4.566662395530504e-18,-2.0066284602382924e-18,-6.823068879726729e-19,3.928860957416456e-19,1.8478238664415113e-18,-2.8703070985160854e-18,-7.31443659243134e-18,-5.209932478243839e-18,-3.8642743140013824e-18,-2.6754784873727734e-18,-1.0230898891860033e-18,-2.8703070985160854e-18,-7.31443659243134e-18,-5.209932478243839e-18,-3.8642743140013824e-18,-2.6754784873727734e-18,-1.0230898891860033e-18,-2.8703070985160854e-18,-7.31443659243134e-18,-5.209932478243839e-18,-3.8642743140013824e-18,-2.6754784873727734e-18,-1.0230898891860033e-18,-2.8703070985160854e-18,-7.31443659243134e-18,-5.209932478243839e-18,-3.8642743140013824e-18,-2.6754784873727734e-18,-1.0230898891860033e-18,-2.8703070985160854e-18,-7.431900701569739e-18,-5.388814470813991e-18,-4.040357379594023e-18,-2.7766256647198275e-18,-1.20440826126439e-18
"2Cov(j,ε)/Var(Δy)",2.4800875784254348e-14,-1.0757071281630371e-13,-2.4619956973181097e-14,5.820923966729204e-16,2.4268868193769837e-14,9.970833560995264e-14,-8.743920658095425e-15,-1.6892849391890342e-14,-7.375929181434517e-15,-1.9329968228821793e-15,3.2692581437499353e-15,1.2247389754718331e-14,-0.004340127845640369,-0.04767099247659041,-0.01846994827305641,-0.004693883719805651,0.008649426661254234,0.025781606784933835,1.2008298060384773e-17,-1.9527009213665492e-17,-6.112967668856789e-18,2.7906423986300926e-18,1.2138303976816277e-17,2.4307033482323892e-17,0.009648581414299057,-0.03723791233355509,-0.006084542347711096,0.010009686315774438,0.02507831625455695,0.04479698120225235,0.006225051871910179,-0.03544876695725245,-0.005535044992921738,0.012379904726824612,0.028419578259426818,0.047373521900093356,0.017196041842060042,-0.026740743955894885,0.0021795524488026985,0.016760747735727277,0.0308212566876932,0.04893017967094336,0.028163843072444565,-0.03364874572368937,0.0032743953132624427,0.02256248002827891,0.03703582748107981,0.06028725364221956,0.028163843072444565,-0.003378607549785962,0.019423027128713962,0.0312765443690719,0.04309913086779839,0.0647081543318826
