Metric,0: Conjoined OLS Fit_point,0: Conjoined OLS Fit_p5,0: Conjoined OLS Fit_p25,0: Conjoined OLS Fit_p50,0: Conjoined OLS Fit_p75,0: Conjoined OLS Fit_p95,approach0h0: No Climate Response (Joint)_point,approach0h0: No Climate Response (Joint)_p5,approach0h0: No Climate Response (Joint)_p25,approach0h0: No Climate Response (Joint)_p50,approach0h0: No Climate Response (Joint)_p75,approach0h0: No Climate Response (Joint)_p95,1: Precomputed k Combined_point,1: Precomputed k Combined_p5,1: Precomputed k Combined_p25,1: Precomputed k Combined_p50,1: Precomputed k Combined_p75,1: Precomputed k Combined_p95,approach1h0: No Climate Response (Precomputed k)_point,approach1h0: No Climate Response (Precomputed k)_p5,approach1h0: No Climate Response (Precomputed k)_p25,approach1h0: No Climate Response (Precomputed k)_p50,approach1h0: No Climate Response (Precomputed k)_p75,approach1h0: No Climate Response (Precomputed k)_p95,2: Precomputed k LOESS_point,2: Precomputed k LOESS_p5,2: Precomputed k LOESS_p25,2: Precomputed k LOESS_p50,2: Precomputed k LOESS_p75,2: Precomputed k LOESS_p95,3: Piecewise Quadratic LOESS_point,3: Piecewise Quadratic LOESS_p5,3: Piecewise Quadratic LOESS_p25,3: Piecewise Quadratic LOESS_p50,3: Piecewise Quadratic LOESS_p75,3: Piecewise Quadratic LOESS_p95,4: Persistence Decay LOESS_point,4: Persistence Decay LOESS_p5,4: Persistence Decay LOESS_p25,4: Persistence Decay LOESS_p50,4: Persistence Decay LOESS_p75,4: Persistence Decay LOESS_p95,"9b: Persistence Decay (h₄ > 0, n=31)_point","9b: Persistence Decay (h₄ > 0, n=31)_p5","9b: Persistence Decay (h₄ > 0, n=31)_p25","9b: Persistence Decay (h₄ > 0, n=31)_p50","9b: Persistence Decay (h₄ > 0, n=31)_p75","9b: Persistence Decay (h₄ > 0, n=31)_p95"
Total R²,0.1863929345279196,0.16307225787887425,0.1766839047204526,0.1931211374314432,0.20106728704583174,0.226669428867986,0.1856673502562166,0.16185363870219344,0.17522133853919106,0.19179419168378026,0.20004952037599552,0.22580000947882767,0.1862324748928406,0.16277748169730305,0.17631346723678562,0.19284727693837295,0.20080795485682934,0.2264776541934756,0.1856673502562165,0.16185363870219346,0.17522133853919106,0.1917941916837801,0.20004952037599555,0.2258000094788276,0.1864353326918248,0.16403359243437146,0.17705721765843696,0.19108905784079186,0.20067807149486008,0.22582929073442587,0.1865137983795735,0.16433546666679505,0.17738116130898535,0.1912940596833916,0.20123105407932276,0.22584267170792532,0.1865178841145564,0.16408869406999163,0.1768949177516084,0.19151656467348233,0.20084292342405236,0.22555961441987646,0.1865178841145564,0.16408869406999163,0.1768949177516084,0.19151656467348233,0.20084292342405236,0.22555961441987646
Var(h(T))/Var(Δy),0.08708434328262639,0.04146554959065114,0.08390331016787834,0.12191750549826036,0.20044962580802683,0.3964256787563719,0.0,0.0,0.0,0.0,0.0,0.0,0.04738289938101167,0.028456866411817095,0.05019973820342635,0.07568440025003985,0.09806910889384605,0.18757676834412657,0.0,0.0,0.0,0.0,0.0,0.0,0.06835621453116258,0.03477739977112168,0.06817360286701235,0.09592782702738406,0.14052867464186858,0.2515578707265586,0.07545122822607846,0.047457219557500235,0.07244141813764729,0.11010594683228579,0.14769465608510185,0.2251544898821813,0.0671163197187003,0.04232793515685405,0.06263713924445602,0.0924096794825989,0.14205785784721964,0.1959151579457576,0.0671163197187003,0.04232793515685405,0.06263713924445602,0.0924096794825989,0.14205785784721964,0.1959151579457576
Var(j)/Var(Δy),0.22652245065248153,0.15336146599450778,0.2376208273145633,0.2654897117669536,0.3586837003538149,0.5085987157193627,0.15929400584918882,0.10722401777076662,0.11535999605735384,0.14005170057772,0.16835877776949362,0.2335238479403531,0.10382283322159638,0.0842918264109131,0.09240242887442507,0.10212285040425706,0.11009383776998119,0.12678358007785032,0.10382283322159638,0.0842918264109131,0.09240242887442507,0.10212285040425706,0.11009383776998119,0.12678358007785032,0.08740998496107467,0.07147524378178316,0.07843729313362345,0.0866598619983724,0.09201854691965455,0.10705789233844697,0.08740998496107467,0.07147524378178316,0.07843729313362345,0.0866598619983724,0.09201854691965455,0.10705789233844697,0.08740998496107467,0.07147524378178316,0.07843729313362345,0.0866598619983724,0.09201854691965455,0.10705789233844697,0.08740998496107467,0.07147524378178316,0.07843729313362345,0.0866598619983724,0.09201854691965455,0.10705789233844697
Var(k)/Var(Δy),0.11805755622039607,0.09191770070002493,0.10118012117428665,0.11901374797177318,0.16658371318608745,0.23624935240818473,0.11951981289700775,0.08905428443736503,0.10177332216674212,0.11346699768821616,0.166348040751428,0.23237005602633512,0.0818445170345976,0.07611724454689196,0.0813712858920682,0.08793395259509393,0.0932400501580201,0.10621061675479058,0.0818445170345976,0.07611724454689196,0.0813712858920682,0.08793395259509393,0.0932400501580201,0.10621061675479058,0.0818445170345976,0.07611724454689196,0.0813712858920682,0.08793395259509393,0.0932400501580201,0.10621061675479058,0.0818445170345976,0.07611724454689196,0.0813712858920682,0.08793395259509393,0.0932400501580201,0.10621061675479058,0.0818445170345976,0.07611724454689196,0.0813712858920682,0.08793395259509393,0.0932400501580201,0.10621061675479058,0.0818445170345976,0.07611724454689196,0.0813712858920682,0.08793395259509393,0.0932400501580201,0.10621061675479058
Var(ε)/Var(Δy),0.8136070654720816,0.7733305711320019,0.7989327129541623,0.8068788625685421,0.8233160952795477,0.8369277421211232,0.8143326497437805,0.7741999905211701,0.7999504796240001,0.8082058083162021,0.8247786614608084,0.8381463612978074,0.8605852998515612,0.8264083683147055,0.8551640755104304,0.8759149685517155,0.9307095126403999,1.0013262567820356,0.8143326497437805,0.7741999905211701,0.7999504796240001,0.8082058083162021,0.8247786614608084,0.8381463612978074,0.8825054430464062,0.850775992325046,0.8761461551930886,0.906004056501944,0.962116941128769,1.0473180542801503,0.8896095719912424,0.8578053567667964,0.8800763387825216,0.9103047792752897,0.955706092553384,1.04882746501232,0.8795264748932606,0.837014507883456,0.860191156382963,0.899055000827913,0.9541298673353495,0.9962623416382684,0.8795264748932606,0.837014507883456,0.860191156382963,0.899055000827913,0.9541298673353495,0.9962623416382684
"2Cov(h(T),j)/Var(Δy)",-0.15643864921906062,-0.756856014585926,-0.385939334397306,-0.2411049592948939,-0.16151695861992899,-0.08297513173126649,0.0,0.0,0.0,0.0,0.0,0.0,0.004340127845640397,-0.01660985492491937,-0.009370740586188886,0.003433765979069481,0.01773391989058244,0.03746854437078469,0.0,0.0,0.0,0.0,0.0,0.0,0.006764266846216239,-0.017980598665343826,-0.01054503617904046,0.003369678081223953,0.021043304339266315,0.04638854377193713,0.010187796388605121,-0.03417393040298797,-0.01649800471283854,-0.0007046054693233689,0.0224718677044659,0.04413459079201454,-0.013509605532397143,-0.04054950182413768,-0.02312733579432166,-0.012426570642224355,-0.003772609290737448,0.036797724290821544,-0.013509605532397143,-0.04054950182413768,-0.02312733579432166,-0.012426570642224355,-0.003772609290737448,0.036797724290821544
"2Cov(h(T),k)/Var(Δy)",-0.004870778093729107,-0.011768667193006845,-0.003349513290244759,-0.0003019081986635257,0.0027169513588220437,0.005925087753914301,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002441234578655289,-0.0010574688790189926,-0.0007443690503772177,-0.0004982507897483184,0.0002721963164546315,0.0005687631681487041,0.0,0.0,0.0,0.0,0.0,0.0,-0.00028251892229820764,-0.0012610359390198464,-0.0008109424563682453,-0.0005622687648136279,0.00027589421045017416,0.00064650415788174,-7.529693550749805e-05,-0.001272884782922704,-0.0008244058259919296,-0.0005194567298538427,0.00043072454210780743,0.0011952679634748165,-0.000612559876112703,-0.002006255326243686,-0.0011534769810014663,-0.0006340929867540489,-0.00022355814880549188,0.0005337747419802745,-0.000612559876112703,-0.002006255326243686,-0.0011534769810014663,-0.0006340929867540489,-0.00022355814880549188,0.0005337747419802745
"2Cov(h(T),ε)/Var(Δy)",-5.7989474735962604e-15,-2.4866029492444086e-14,-1.1264673360023797e-14,-5.4935616682389924e-15,5.730305503521942e-15,3.3627668628802184e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.09363554948879224,-0.37298604730908114,-0.19448793158225336,-0.14969741536632047,-0.09954729131536715,-0.05623590972873136,0.0,0.0,0.0,0.0,0.0,0.0,-0.13652900783376282,-0.5026298542202011,-0.2786496297913691,-0.18833610627874747,-0.1376602130679414,-0.06908176299534374,-0.15072815047351482,-0.4490591731491408,-0.29551428688844816,-0.2185775426426773,-0.14292613173450144,-0.0938288694073737,-0.13231014486815484,-0.38267550542211975,-0.27892790573613685,-0.1818887397092196,-0.12449686712144158,-0.08389678471795356,-0.13231014486815484,-0.38267550542211975,-0.27892790573613685,-0.1818887397092196,-0.12449686712144158,-0.08389678471795356
"2Cov(j,k)/Var(Δy)",-0.08396198831476583,-0.29463088728022924,-0.15437205112176394,-0.062300440022528936,-0.02988698078487249,0.000225601235825923,-0.0931464684899772,-0.28034860240393134,-0.15318177989074383,-0.051891147963698314,-0.02414980651398579,0.0003444593498597179,-4.3181611216613673e-19,-4.756157145722859e-18,-2.7306998674231223e-18,-2.1487720064251387e-18,-4.441732520917231e-19,7.3035441862676475e-19,-4.3181611216613673e-19,-4.756157145722859e-18,-2.7306998674231223e-18,-2.1487720064251387e-18,-4.441732520917231e-19,7.3035441862676475e-19,-2.8703070985160854e-18,-7.061324146588494e-18,-5.040699725436662e-18,-3.470854543399262e-18,-2.6588247476203016e-18,-5.822224584593758e-19,-2.8703070985160854e-18,-7.061324146588494e-18,-5.040699725436662e-18,-3.470854543399262e-18,-2.6588247476203016e-18,-5.822224584593758e-19,-2.8703070985160854e-18,-7.061324146588494e-18,-5.040699725436662e-18,-3.470854543399262e-18,-2.6588247476203016e-18,-5.822224584593758e-19,-2.8703070985160854e-18,-7.061324146588494e-18,-5.040699725436662e-18,-3.470854543399262e-18,-2.6588247476203016e-18,-5.822224584593758e-19
"2Cov(j,ε)/Var(Δy)",2.4800875784254348e-14,-4.265579229106871e-14,-6.227953345972425e-15,3.852867953809941e-15,1.2573936258427051e-14,3.988565489688919e-14,-8.743920658095425e-15,-1.504270106437068e-14,-7.086293609663848e-15,-3.4601752292978178e-15,-7.074905144346994e-16,6.830911773424992e-15,-0.004340127845640369,-0.03746854437078471,-0.017733919890582418,-0.0034337659790694636,0.009370740586188909,0.016609854924919353,1.2008298060384773e-17,-7.11209252020061e-18,-3.0397602346992854e-18,4.83023106812649e-18,1.3949010937398745e-17,2.864957188368239e-17,0.009648581414299057,-0.029015189146526007,-0.006337451460714017,0.014245533210003661,0.026800815102000698,0.03245638078285508,0.006225051871910179,-0.026761236166603412,-0.0079479952458993,0.015275748525067587,0.03128612135591001,0.05025130721424052,0.02992245379291245,-0.019783443739134824,0.02058882330419251,0.028866930328594716,0.03834240938663261,0.0534079327305678,0.02992245379291245,-0.019783443739134824,0.02058882330419251,0.028866930328594716,0.03834240938663261,0.0534079327305678
