Metric,0: Conjoined OLS Fit_point,0: Conjoined OLS Fit_p5,0: Conjoined OLS Fit_p25,0: Conjoined OLS Fit_p50,0: Conjoined OLS Fit_p75,0: Conjoined OLS Fit_p95,approach0h0: No Climate Response (Joint)_point,approach0h0: No Climate Response (Joint)_p5,approach0h0: No Climate Response (Joint)_p25,approach0h0: No Climate Response (Joint)_p50,approach0h0: No Climate Response (Joint)_p75,approach0h0: No Climate Response (Joint)_p95,1: Precomputed k Combined_point,1: Precomputed k Combined_p5,1: Precomputed k Combined_p25,1: Precomputed k Combined_p50,1: Precomputed k Combined_p75,1: Precomputed k Combined_p95,approach1h0: No Climate Response (Precomputed k)_point,approach1h0: No Climate Response (Precomputed k)_p5,approach1h0: No Climate Response (Precomputed k)_p25,approach1h0: No Climate Response (Precomputed k)_p50,approach1h0: No Climate Response (Precomputed k)_p75,approach1h0: No Climate Response (Precomputed k)_p95,2: Precomputed k LOESS_point,2: Precomputed k LOESS_p5,2: Precomputed k LOESS_p25,2: Precomputed k LOESS_p50,2: Precomputed k LOESS_p75,2: Precomputed k LOESS_p95,3: Piecewise Quadratic LOESS_point,3: Piecewise Quadratic LOESS_p5,3: Piecewise Quadratic LOESS_p25,3: Piecewise Quadratic LOESS_p50,3: Piecewise Quadratic LOESS_p75,3: Piecewise Quadratic LOESS_p95,4: Persistence Decay LOESS_point,4: Persistence Decay LOESS_p5,4: Persistence Decay LOESS_p25,4: Persistence Decay LOESS_p50,4: Persistence Decay LOESS_p75,4: Persistence Decay LOESS_p95
Total R²,0.1863929345279196,0.15646614449254687,0.1751712014583013,0.1880571264633008,0.19958995447680525,0.2186337303155178,0.1856673502562166,0.15555960017334125,0.17402625721614842,0.18706326223104355,0.19888604435013585,0.21797359973826622,0.1862324748928406,0.1562907596730805,0.1748895663547254,0.18783539857794795,0.1993704058659975,0.21847911177436424,0.1856673502562165,0.1555596001733413,0.17402625721614842,0.18706326223104355,0.19888604435013593,0.21797359973826616,0.1864353326918248,0.156716896213451,0.17557995558233183,0.18710746751973362,0.19916606710205592,0.21981065939176336,0.1865137983795735,0.15712437941430688,0.17573607189271262,0.18734318966361116,0.1999070653904051,0.21984653582638583,0.1865178841145564,0.157369554962959,0.17557683977217778,0.18756301162353162,0.19953565870775425,0.2200440838692085
Var(h(T))/Var(Δy),0.08708434328262639,0.04241381220953388,0.07875027676801669,0.11923168192612718,0.18765514797516927,0.30183320262345104,0.0,0.0,0.0,0.0,0.0,0.0,0.04738289938101167,0.030321032980801254,0.05005708781770115,0.07485799003406984,0.09540130700094496,0.17801006827037955,0.0,0.0,0.0,0.0,0.0,0.0,0.06835621453116258,0.03672163734974655,0.0653680744079433,0.09592782702738406,0.13307249881427063,0.22417541322552859,0.07545122822607846,0.04729781900416212,0.07244141813764729,0.11010594683228579,0.1456040725621262,0.21008069496848172,0.0671163197187003,0.0382063059352794,0.06300118446718705,0.11092187398346043,0.15451901656287287,0.26170646772811645
Var(j)/Var(Δy),0.22652245065248153,0.16434893240413634,0.21657714316468674,0.2654897117669536,0.36590050376947125,0.5082665471937559,0.15929400584918882,0.10214861811142166,0.11450124770866854,0.14231745400872453,0.18604110827208833,0.24405418766460735,0.10382283322159638,0.07952996655123369,0.09192497155458182,0.10107061147051934,0.10843221652267943,0.12196510729145431,0.10382283322159638,0.07952996655123369,0.09192497155458182,0.10107061147051934,0.10843221652267943,0.12196510729145431,0.08740998496107467,0.06623371294163996,0.07671223786237835,0.08389251884055474,0.09044155728304341,0.10552088089921306,0.08740998496107467,0.06623371294163996,0.07671223786237835,0.08389251884055474,0.09044155728304341,0.10552088089921306,0.08740998496107467,0.06623371294163996,0.07671223786237835,0.08389251884055474,0.09044155728304341,0.10552088089921306
Var(k)/Var(Δy),0.11805755622039607,0.09191770070002493,0.10428337449408909,0.1251207359679799,0.17470765549706657,0.23624935240818473,0.11951981289700775,0.08905428443736503,0.1029195056433728,0.12494492221058257,0.17594251537815372,0.24199358311246202,0.0818445170345976,0.07357051756235064,0.0813712858920682,0.08611317427043798,0.09142609281622396,0.10353245702782052,0.0818445170345976,0.07357051756235064,0.0813712858920682,0.08611317427043798,0.09142609281622396,0.10353245702782052,0.0818445170345976,0.07357051756235064,0.0813712858920682,0.08611317427043798,0.09142609281622396,0.10353245702782052,0.0818445170345976,0.07357051756235064,0.0813712858920682,0.08611317427043798,0.09142609281622396,0.10353245702782052,0.0818445170345976,0.07357051756235064,0.0813712858920682,0.08611317427043798,0.09142609281622396,0.10353245702782052
Var(ε)/Var(Δy),0.8136070654720816,0.7813662696844762,0.8004100455231841,0.8119428735366979,0.8248287985416997,0.8435338555074468,0.8143326497437805,0.782026400261732,0.8011139556498699,0.8129367377689605,0.825973742783853,0.8444403998266501,0.8605852998515612,0.8349671463591808,0.8571110822062166,0.8837002437757377,0.9201236270345515,0.9796234172687993,0.8143326497437805,0.782026400261732,0.8011139556498699,0.8129367377689605,0.825973742783853,0.8444403998266501,0.8825054430464062,0.850775992325046,0.8772637771581364,0.9120881156586079,0.9539515949327384,1.0302354305505566,0.8896095719912424,0.8578053567667964,0.8834852599554461,0.9216367801579604,0.9528522036757338,1.0412712204193422,0.8795264748932606,0.837014507883456,0.8626363345105765,0.9165731523683984,0.9792899416012375,1.074700309064714
"2Cov(h(T),j)/Var(Δy)",-0.15643864921906062,-0.6201779158417194,-0.385939334397306,-0.2384579192999493,-0.15480347956008697,-0.08694062158003223,0.0,0.0,0.0,0.0,0.0,0.0,0.004340127845640397,-0.025453141307610287,-0.009370740586188886,0.001785450026543804,0.015511358451495656,0.03611160667401964,0.0,0.0,0.0,0.0,0.0,0.0,0.006764266846216239,-0.025683295634496013,-0.01054503617904046,0.0025405626591007043,0.019759567080452446,0.039747949807192644,0.010187796388605121,-0.03739896143347757,-0.01649800471283854,0.0004469524435528798,0.020954176003680876,0.038921797577558155,-0.013509605532397143,-0.04838219513714829,-0.02395620780021973,-0.014618190697395131,-0.002171844843628518,0.036797724290821544
"2Cov(h(T),k)/Var(Δy)",-0.004870778093729107,-0.011768667193006845,-0.002381558124812811,-0.00046940379531437606,0.002977063751935828,0.0075506230782373925,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002441234578655289,-0.0013648853581577135,-0.0007944625239744032,-0.0005296953003763633,-0.0003061972860347494,0.0005538054625926883,0.0,0.0,0.0,0.0,0.0,0.0,-0.00028251892229820764,-0.0014811820002844822,-0.0008568981003229773,-0.0006074647598420906,-0.00033426279423607116,0.000530091329744837,-7.529693550749805e-05,-0.0015526875553798297,-0.0009816715163123337,-0.0005575016728570407,-0.0002410921805856623,0.0009367155347224591,-0.000612559876112703,-0.0023082075060857923,-0.0013131638811995857,-0.0007097591034187543,-0.0003985786230070199,0.00046496131387671716
"2Cov(h(T),ε)/Var(Δy)",-5.7989474735962604e-15,-2.8320483273613563e-14,-1.1264673360023797e-14,-3.1875817490980457e-15,7.343062892614384e-15,1.8998920724438302e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.09363554948879224,-0.3542189457640038,-0.18930859401488703,-0.1483329725002449,-0.0991663367758828,-0.05985622326533231,0.0,0.0,0.0,0.0,0.0,0.0,-0.13652900783376282,-0.44653588404870376,-0.26315717704293295,-0.18833610627874747,-0.1272774176542434,-0.07387146828738288,-0.15072815047351482,-0.41459200196159973,-0.28581190580724625,-0.2185775426426773,-0.14292613173450144,-0.09329107534090747,-0.13231014486815484,-0.5145990123535182,-0.30312177018156355,-0.22165308015561297,-0.12503932352760214,-0.07617271225559315
"2Cov(j,k)/Var(Δy)",-0.08396198831476583,-0.29463088728022924,-0.18126405101110152,-0.08132482823560121,-0.032228318948659705,-0.0014867140532284719,-0.0931464684899772,-0.29816069167990983,-0.17577532728473802,-0.0758364528870982,-0.03221716429280448,-0.002485646808305683,-4.3181611216613673e-19,-4.756157145722859e-18,-2.316214906464652e-18,-7.503832454636648e-19,4.466359054526871e-19,1.6249150806139065e-18,-4.3181611216613673e-19,-4.756157145722859e-18,-2.316214906464652e-18,-7.503832454636648e-19,4.466359054526871e-19,1.6249150806139065e-18,-2.8703070985160854e-18,-7.061324146588494e-18,-5.2144337007672655e-18,-3.5616928261588676e-18,-2.444524314541721e-18,-6.3163858850850535e-19,-2.8703070985160854e-18,-7.061324146588494e-18,-5.2144337007672655e-18,-3.5616928261588676e-18,-2.444524314541721e-18,-6.3163858850850535e-19,-2.8703070985160854e-18,-7.061324146588494e-18,-5.2144337007672655e-18,-3.5616928261588676e-18,-2.444524314541721e-18,-6.3163858850850535e-19
"2Cov(j,ε)/Var(Δy)",2.4800875784254348e-14,-4.159916419510186e-14,-1.1537335731692227e-14,5.0308376527718426e-15,2.2527531353819757e-14,8.600669395609487e-14,-8.743920658095425e-15,-1.4582190827630345e-14,-8.578507569945315e-15,-3.940869210253746e-15,-1.3387146781641035e-15,6.830911773424992e-15,-0.004340127845640369,-0.03611160667401966,-0.015511358451495658,-0.001785450026543798,0.009370740586188909,0.025453141307610266,1.2008298060384773e-17,-1.0717013596000514e-17,-3.2506091039122387e-18,7.202334709498567e-18,2.045547482354926e-17,3.5188535345299854e-17,0.009648581414299057,-0.02466922095398766,-0.0011804881125712984,0.014245533210003661,0.026800815102000698,0.04055030851125758,0.006225051871910179,-0.02415305513615393,-0.0026734589751860553,0.015275748525067587,0.03128612135591001,0.05438543772409492,0.02992245379291245,-0.019783443739134824,0.01754385879976725,0.028472448015285735,0.03859419964593444,0.062041742828910146
