Metric,Approach0J: No Climate Response (Joint)_point,Approach0J: No Climate Response (Joint)_p5,Approach0J: No Climate Response (Joint)_p25,Approach0J: No Climate Response (Joint)_p50,Approach0J: No Climate Response (Joint)_p75,Approach0J: No Climate Response (Joint)_p95,Approach0P: No Climate Response (Precomputed k)_point,Approach0P: No Climate Response (Precomputed k)_p5,Approach0P: No Climate Response (Precomputed k)_p25,Approach0P: No Climate Response (Precomputed k)_p50,Approach0P: No Climate Response (Precomputed k)_p75,Approach0P: No Climate Response (Precomputed k)_p95,Approach0L: No Climate Response (LOESS Precomputed k)_point,Approach0L: No Climate Response (LOESS Precomputed k)_p5,Approach0L: No Climate Response (LOESS Precomputed k)_p25,Approach0L: No Climate Response (LOESS Precomputed k)_p50,Approach0L: No Climate Response (LOESS Precomputed k)_p75,Approach0L: No Climate Response (LOESS Precomputed k)_p95,Approach1J: Quadratic (Joint OLS)_point,Approach1J: Quadratic (Joint OLS)_p5,Approach1J: Quadratic (Joint OLS)_p25,Approach1J: Quadratic (Joint OLS)_p50,Approach1J: Quadratic (Joint OLS)_p75,Approach1J: Quadratic (Joint OLS)_p95,Approach1P: Quadratic (Polynomial Detrending)_point,Approach1P: Quadratic (Polynomial Detrending)_p5,Approach1P: Quadratic (Polynomial Detrending)_p25,Approach1P: Quadratic (Polynomial Detrending)_p50,Approach1P: Quadratic (Polynomial Detrending)_p75,Approach1P: Quadratic (Polynomial Detrending)_p95,Approach1L: Quadratic (LOESS Detrending)_point,Approach1L: Quadratic (LOESS Detrending)_p5,Approach1L: Quadratic (LOESS Detrending)_p25,Approach1L: Quadratic (LOESS Detrending)_p50,Approach1L: Quadratic (LOESS Detrending)_p75,Approach1L: Quadratic (LOESS Detrending)_p95,Approach2J: Piecewise (Joint OLS)_point,Approach2J: Piecewise (Joint OLS)_p5,Approach2J: Piecewise (Joint OLS)_p25,Approach2J: Piecewise (Joint OLS)_p50,Approach2J: Piecewise (Joint OLS)_p75,Approach2J: Piecewise (Joint OLS)_p95,Approach2P: Piecewise (Polynomial Detrending)_point,Approach2P: Piecewise (Polynomial Detrending)_p5,Approach2P: Piecewise (Polynomial Detrending)_p25,Approach2P: Piecewise (Polynomial Detrending)_p50,Approach2P: Piecewise (Polynomial Detrending)_p75,Approach2P: Piecewise (Polynomial Detrending)_p95,Approach2L: Piecewise (LOESS Detrending)_point,Approach2L: Piecewise (LOESS Detrending)_p5,Approach2L: Piecewise (LOESS Detrending)_p25,Approach2L: Piecewise (LOESS Detrending)_p50,Approach2L: Piecewise (LOESS Detrending)_p75,Approach2L: Piecewise (LOESS Detrending)_p95,Approach3J: Persistence (Joint OLS)_point,Approach3J: Persistence (Joint OLS)_p5,Approach3J: Persistence (Joint OLS)_p25,Approach3J: Persistence (Joint OLS)_p50,Approach3J: Persistence (Joint OLS)_p75,Approach3J: Persistence (Joint OLS)_p95,Approach3P: Persistence (Polynomial Detrending)_point,Approach3P: Persistence (Polynomial Detrending)_p5,Approach3P: Persistence (Polynomial Detrending)_p25,Approach3P: Persistence (Polynomial Detrending)_p50,Approach3P: Persistence (Polynomial Detrending)_p75,Approach3P: Persistence (Polynomial Detrending)_p95,Approach3L: Persistence (LOESS Detrending)_point,Approach3L: Persistence (LOESS Detrending)_p5,Approach3L: Persistence (LOESS Detrending)_p25,Approach3L: Persistence (LOESS Detrending)_p50,Approach3L: Persistence (LOESS Detrending)_p75,Approach3L: Persistence (LOESS Detrending)_p95
Total R²,0.1856673502562166,0.16419791300233272,0.18122876148390316,0.1917192222629818,0.20412673779471652,0.22275110227059447,0.1856673502562165,0.16419791300233233,0.18122876148390316,0.19171922226298171,0.20412673779471666,0.22275110227059447,0.1856673502562165,0.16444876016105,0.18111750841783894,0.19180407003896338,0.20385238180932252,0.2214579394250744,0.1863929345279196,0.1657225541296102,0.18225908262077561,0.1928652713745747,0.20504705724881556,0.22356427203008392,0.1862324748928406,0.16543457029896022,0.18208948569382694,0.19264844516901558,0.20478203312514245,0.2233795628300698,0.1864353326918248,0.16587482112556629,0.1819709874782961,0.19253900729131396,0.2047431884225804,0.2222704688324868,0.1866131871306227,0.16607922025128705,0.18270379084327115,0.19301999339970877,0.20529987881944062,0.22379707091184484,0.186279259855845,0.16573840549450977,0.18226157548462027,0.1926903048461589,0.20475999502604847,0.22345839990633282,0.1865137983795735,0.16612288061096964,0.1822104854076397,0.1927640928247369,0.20493769182448557,0.22237943062417245,0.1867068171237245,0.16599541318423586,0.18260021068843885,0.19312770489655265,0.20541485085319566,0.22404377438995443,0.1865689084315495,0.16579580572321131,0.18239687624962111,0.19290641227937355,0.20520239021689282,0.2238487565619874,0.1865178841145564,0.1660350890298785,0.18218106643791587,0.1926666300601996,0.2048142958904311,0.22241113786879166
Var(h(T))/Var(Δy),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08708434328262639,0.033946016855694906,0.07894526096287936,0.13399455567359697,0.22243591634837023,0.4941979279612676,0.04738289938101167,0.020544739099698967,0.047205050983189424,0.07539221056493098,0.12039914364930124,0.2386224751724789,0.06835621453116258,0.030486612041283456,0.06365427493690419,0.10017656305744257,0.15095769823292673,0.3078080523049913,0.07178243562240229,0.031324451647686664,0.07417451607846934,0.13224992737455435,0.22281535376007042,0.47909008573567735,0.04705907832724947,0.015378325553560637,0.04747918056152266,0.0798727709921188,0.12371599864474551,0.22445398611936485,0.07545122822607846,0.02999564183236465,0.06917480402973719,0.10579499855771748,0.1555627851168696,0.28552722487992227,0.001212205010138548,0.0006633596524905351,0.0012395300722863373,0.0017930022535953703,0.0027736117784671315,0.013687022572146294,0.0678743930170654,0.032955447786177164,0.06599546265830913,0.09827847078437996,0.16290341781377501,0.2972834942882346,0.0671163197187003,0.02874058733221275,0.060793943476762105,0.09007570272507084,0.14236539143696902,0.2734001370272867
Var(j)/Var(Δy),0.15929400584918882,0.09763133206049843,0.11497753854636532,0.13443423586851105,0.17495364553313236,0.3047929867276079,0.10382283322159638,0.08439426631889771,0.09572402905652269,0.10340635994637787,0.11225603200895352,0.12566961279081465,0.08740998496107467,0.07097879137606045,0.08029630967851249,0.08686832188003213,0.09379004691723311,0.1063649697059292,0.22652245065248153,0.15377608609996352,0.21715972975214617,0.27751455479849685,0.387919228382804,0.6335279120376599,0.10382283322159638,0.08439426631889771,0.09572402905652269,0.10340635994637787,0.11225603200895352,0.12566961279081465,0.08740998496107467,0.07097879137606045,0.08029630967851249,0.08686832188003213,0.09379004691723311,0.1063649697059292,0.22841939426801108,0.15968461196072958,0.21961062246292629,0.28744409122649134,0.38777717025818104,0.6166974021266829,0.10382283322159638,0.08439426631889771,0.09572402905652269,0.10340635994637787,0.11225603200895352,0.12566961279081465,0.08740998496107467,0.07097879137606045,0.08029630967851249,0.08686832188003213,0.09379004691723311,0.1063649697059292,0.15899080184646155,0.0977191281688859,0.11541774170378191,0.13502055813233382,0.17587931530927514,0.30412806009949217,0.10382283322159638,0.08439426631889771,0.09572402905652269,0.10340635994637787,0.11225603200895352,0.12566961279081465,0.08740998496107467,0.07097879137606045,0.08029630967851249,0.08686832188003213,0.09379004691723311,0.1063649697059292
Var(k)/Var(Δy),0.11951981289700775,0.0843160711547016,0.09850654669053754,0.11873542357030231,0.15734990076031158,0.2888152868755417,0.0818445170345976,0.07487907628182826,0.08217118378103169,0.08809339669149929,0.0938108346825635,0.1039201202735056,0.0818445170345976,0.07487907628182826,0.08217118378103169,0.08809339669149929,0.0938108346825635,0.1039201202735056,0.11805755622039607,0.08622924410320142,0.10091949215343143,0.12166971497883652,0.16373326704398494,0.3055352214823971,0.0818445170345976,0.07487907628182826,0.08217118378103169,0.08809339669149929,0.0938108346825635,0.1039201202735056,0.0818445170345976,0.07487907628182826,0.08217118378103169,0.08809339669149929,0.0938108346825635,0.1039201202735056,0.11506476570864677,0.08736747369805214,0.10202606950319462,0.12260021932690515,0.16381901009274502,0.30704867856157875,0.0818445170345976,0.07487907628182826,0.08217118378103169,0.08809339669149929,0.0938108346825635,0.1039201202735056,0.0818445170345976,0.07487907628182826,0.08217118378103169,0.08809339669149929,0.0938108346825635,0.1039201202735056,0.12021799053662166,0.08512419238760284,0.09926419269966469,0.11959601641328244,0.15850474483716534,0.30204531660307044,0.0818445170345976,0.07487907628182826,0.08217118378103169,0.08809339669149929,0.0938108346825635,0.1039201202735056,0.0818445170345976,0.07487907628182826,0.08217118378103169,0.08809339669149929,0.0938108346825635,0.1039201202735056
Var(ε)/Var(Δy),0.8143326497437805,0.777248897729386,0.7958732622052817,0.808280777737027,0.8187712385160939,0.8358020869976728,0.8143326497437805,0.7772488977293842,0.7958732622052817,0.808280777737027,0.8187712385160939,0.8358020869976728,0.8143326497437805,0.7785420605749326,0.7961476181906937,0.8081959299610366,0.8188824915821629,0.8355512398389355,0.8136070654720816,0.776435727969914,0.7949529427511974,0.8071347286254041,0.8177409173792255,0.8342774458703872,0.8605852998515612,0.818596805626788,0.8527471372159231,0.8827615557536038,0.9319429166004471,1.0460175944024028,0.8825054430464062,0.830199133525782,0.8708809854843962,0.9068966418830717,0.9633518233775883,1.103525045642901,0.8133868128693708,0.7762029290881458,0.794700121180571,0.8069800066002792,0.8172962091567326,0.8339207797487151,0.8601674342132544,0.8160579176826808,0.8519093294192692,0.8857924521613818,0.9345762420708914,1.027536077994785,0.8896095719912424,0.8310004554855029,0.8745418298387807,0.9154529594010471,0.9662562408456521,1.0931611758417965,0.8132931828762734,0.7759562256100379,0.794585149146822,0.8068722951034375,0.8173997893115712,0.8340045868157581,0.8804039264101949,0.8281848231626627,0.8668389556310699,0.9032929454783998,0.9713082576819592,1.1079960850739283,0.8795264748932606,0.8278908513801243,0.8617367700024061,0.8965299969968082,0.9513309540178023,1.0871179909579733
"2Cov(h(T),j)/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15643864921906062,-0.9198254901718913,-0.42589449220440756,-0.2537325058206915,-0.15424089382473768,-0.06421256987998368,0.004340127845640397,-0.025407238148194265,-0.00854784233138705,0.004754149153397913,0.01849197611924355,0.04767099247659036,0.006764266846216239,-0.02822690668078023,-0.009268216264340306,0.007567406089511228,0.02318726305567928,0.05706878819436536,-0.14656564974673558,-0.8976249299364581,-0.42611681055386896,-0.26366511841754525,-0.1532116132660608,-0.06136153605467084,0.0025701289084716847,-0.02671968730536561,-0.009593888262727463,0.0042477533009091534,0.018104943243145526,0.045768300153832105,0.010187796388605121,-0.030484479586298102,-0.011619487033531465,0.005157250754222359,0.021909260731993067,0.053483610921041355,0.00028095324461415734,-0.01933073671482289,-5.477554663223037e-05,0.00015335424828353254,0.0003585026573279245,0.0009402542210186816,-0.012501196689176397,-0.04368133374988443,-0.0215582048348996,-0.009070363451492161,0.006728098406585371,0.040501606539485216,-0.013509605532397143,-0.04606276552094155,-0.02407939118539597,-0.010394146901620133,0.005037384212386543,0.03428369616529579
"2Cov(h(T),k)/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004870778093729107,-0.0154290442813603,-0.0043567571909221515,-0.0010912170913140716,0.0017706405633235505,0.011117874904746633,-0.0002441234578655289,-0.0014005452458974808,-0.0007330101517930385,-0.00034075574001529165,0.00016520529972757832,0.0011391412265066689,-0.00028251892229820764,-0.001514040099703021,-0.0008226009737503723,-0.0003892788369455544,0.00016951607325156295,0.0011801243708958564,-0.004574498114675247,-0.017553040072238735,-0.005156261416466442,-0.00119104179583726,0.002433545305184579,0.012393123912003392,-0.00015800339757189577,-0.001354477380032892,-0.0006885374081131455,-0.00025213128048558225,0.00028417934549745873,0.0013140290762150186,-7.529693550749805e-05,-0.0014959769054873142,-0.0007780040370815482,-0.0003125927070099344,0.00033195831094926605,0.001486705522653263,-0.0009109966892028917,-0.007823018421375238,-0.0016243091600961015,-0.0010064425894121,-0.0005176205212560668,0.0044243814024312504,-0.0005912008828399534,-0.0024384600294823505,-0.0011657879111691878,-0.0005209479247013725,0.00012154862818027056,0.0011398860250798916,-0.000612559876112703,-0.00238777613699052,-0.0011925100115039327,-0.0005430628938117392,7.197743842880165e-05,0.0011041123208221188
"2Cov(h(T),ε)/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7989474735962604e-15,-2.8346826678813708e-14,-8.026751873561875e-15,-1.0098934183746189e-15,7.338976197515178e-15,2.8576667049573405e-14,-0.09363554948879224,-0.47362473259948784,-0.23916936947983902,-0.14921826424763518,-0.09320358937454588,-0.04077949925659683,-0.13652900783376282,-0.6134315629417544,-0.30199372074072967,-0.19848755158832665,-0.12784665197982112,-0.06035068092796041,-8.041216138388362e-15,-3.807973942623475e-14,-9.13163210429098e-15,4.3998154712644026e-16,9.914201629283802e-15,4.2804558890854e-14,-0.09289386279669781,-0.44480700529375894,-0.24396983868952946,-0.15790874568418228,-0.09355441771644968,-0.030424628266615704,-0.15072815047351482,-0.5718949064252562,-0.31038081498780995,-0.2094411548346421,-0.1382719025833361,-0.059475381943169224,-9.55202641059269e-17,-9.606703432373454e-16,-1.4069081130668271e-16,-3.7336311099847764e-18,1.2477914252329362e-16,7.691014819090967e-16,-0.13394566968345428,-0.5905515976452694,-0.3229709482357516,-0.1941360078662388,-0.1303717544402787,-0.06462271578235812,-0.13231014486815484,-0.5374452290719894,-0.2794865449265193,-0.1777412465983867,-0.12003883761806877,-0.057671860101172215
"2Cov(j,k)/Var(Δy)",-0.0931464684899772,-0.3865654565351157,-0.1384817591312987,-0.056099895385625737,-0.022575908330759772,-0.0017175673187409556,-4.3181611216613673e-19,-4.566662395530504e-18,-2.010554273783343e-18,-6.772777389971654e-19,4.0055284433407486e-19,1.8478238664415113e-18,-2.8703070985160854e-18,-7.38675398041591e-18,-5.209932478243839e-18,-3.871119181475698e-18,-2.6754784873727734e-18,-1.0230898891860033e-18,-0.08396198831476583,-0.40682814701038317,-0.14139637483428985,-0.06418042601197917,-0.02634649455272883,-0.002073874740878169,-4.3181611216613673e-19,-4.566662395530504e-18,-2.010554273783343e-18,-6.772777389971654e-19,4.0055284433407486e-19,1.8478238664415113e-18,-2.8703070985160854e-18,-7.38675398041591e-18,-5.209932478243839e-18,-3.871119181475698e-18,-2.6754784873727734e-18,-1.0230898891860033e-18,-0.07751326060702117,-0.4139389816375427,-0.14301383761522232,-0.06695109846697539,-0.028032382340265644,-0.0029383072155133028,-4.3181611216613673e-19,-4.566662395530504e-18,-2.010554273783343e-18,-6.772777389971654e-19,4.0055284433407486e-19,1.8478238664415113e-18,-2.8703070985160854e-18,-7.38675398041591e-18,-5.209932478243839e-18,-3.871119181475698e-18,-2.6754784873727734e-18,-1.0230898891860033e-18,-0.09308413682487747,-0.38658962552236975,-0.13958662408816125,-0.0568416699884213,-0.02386777368193487,-0.0018970758440706936,-4.3181611216613673e-19,-4.566662395530504e-18,-2.010554273783343e-18,-6.772777389971654e-19,4.0055284433407486e-19,1.8478238664415113e-18,-2.8703070985160854e-18,-7.38675398041591e-18,-5.209932478243839e-18,-3.871119181475698e-18,-2.6754784873727734e-18,-1.0230898891860033e-18
"2Cov(j,ε)/Var(Δy)",-8.743920658095425e-15,-1.6892849391890342e-14,-7.36462301635902e-15,-1.9142784648645166e-15,3.2935323857602715e-15,1.2247389754718331e-14,1.2008298060384773e-17,-1.9074920178883106e-17,-6.064249314930076e-18,2.7906423986300926e-18,1.2081133096632563e-17,2.4307033482323892e-17,0.01641284826051529,0.010871544854102527,0.014040909281570067,0.016266457697279343,0.01890796030454662,0.022994194810592044,2.4800875784254348e-14,-1.0757071281630371e-13,-2.4140180692420395e-14,6.3315526404276e-16,2.4072735635595147e-14,9.970833560995264e-14,-0.004340127845640369,-0.04767099247659041,-0.018491976119243546,-0.0047541491533979185,0.00854784233138707,0.025407238148194258,0.009648581414299057,-0.03723791233355509,-0.006110265800006065,0.009932659495141688,0.024925873674283262,0.043879989431742095,-1.3210804328976365e-14,-5.695805081652829e-14,-1.5520571966183512e-14,-7.981474938301272e-17,1.5405339358634687e-14,5.317191991519897e-14,-0.0025701289084716678,-0.04576830015383213,-0.01810494324314552,-0.004247753300909141,0.009593888262727461,0.026719687305365607,0.006225051871910179,-0.03544876695725245,-0.005599885444795,0.01213781786986707,0.028230752334890304,0.04727026149766321,-4.441406520263136e-15,-1.4465481321321667e-14,-4.8561134363599135e-15,-2.0021640816917565e-16,5.109487249723443e-15,1.347481862591994e-14,0.0125011966891764,-0.0405016065394852,-0.006728098406585368,0.009070363451492171,0.02155820483489959,0.04368133374988442,0.02992245379291245,-0.017376187668494025,0.012640161132127403,0.026739572245447676,0.04026054073150048,0.06063765932184901
