Metric,Approach NP_point,Approach NP_p5,Approach NP_p25,Approach NP_p50,Approach NP_p75,Approach NP_p95,Approach NL_point,Approach NL_p5,Approach NL_p25,Approach NL_p50,Approach NL_p75,Approach NL_p95,Approach QP_point,Approach QP_p5,Approach QP_p25,Approach QP_p50,Approach QP_p75,Approach QP_p95,Approach QL_point,Approach QL_p5,Approach QL_p25,Approach QL_p50,Approach QL_p75,Approach QL_p95,Approach PP_point,Approach PP_p5,Approach PP_p25,Approach PP_p50,Approach PP_p75,Approach PP_p95,Approach PL_point,Approach PL_p5,Approach PL_p25,Approach PL_p50,Approach PL_p75,Approach PL_p95,Approach DP_point,Approach DP_p5,Approach DP_p25,Approach DP_p50,Approach DP_p75,Approach DP_p95,Approach DL_point,Approach DL_p5,Approach DL_p25,Approach DL_p50,Approach DL_p75,Approach DL_p95
Var(k)/Var(Δy),0.0818445170345976,0.05088772382680545,0.06493679762629719,0.07997864083218825,0.08722419663916225,0.10860614152574624,0.0818445170345976,0.05088772382680545,0.06493679762629719,0.07997864083218825,0.08722419663916225,0.10860614152574624,0.0818445170345976,0.05088772382680545,0.06493679762629719,0.07997864083218825,0.08722419663916225,0.10860614152574624,0.0818445170345976,0.05088772382680545,0.06493679762629719,0.07997864083218825,0.08722419663916225,0.10860614152574624,0.0818445170345976,0.05088772382680545,0.06493679762629719,0.07997864083218825,0.08722419663916225,0.10860614152574624,0.0818445170345976,0.05088772382680545,0.06493679762629719,0.07997864083218825,0.08722419663916225,0.10860614152574624,0.0818445170345976,0.05088772382680545,0.06493679762629719,0.07997864083218825,0.08722419663916225,0.10860614152574624,0.0818445170345976,0.05088772382680545,0.06493679762629719,0.07997864083218825,0.08722419663916225,0.10860614152574624
Var(GDP_trend)/Var(Δy),0.10382283322159638,0.06483661917328049,0.0756233412293108,0.08695516695149137,0.09415948167060836,0.10947667536942093,0.08740998496107467,0.33097577689780716,0.3852129519905401,0.44332704808291934,0.47781183438024305,0.54172258087335,0.10382283322164723,0.0648366191732919,0.07562334122932336,0.08695516695151664,0.09415948167061472,0.10947667536944919,0.08740998496110011,0.33097577689782115,0.3852129519905655,0.44332704808293205,0.4778118343802493,0.54172258087335,0.10382283322159637,0.06483661917326652,0.07562334122934254,0.08695516695150415,0.09415948167060834,0.10947667536943492,0.08740998496110008,0.330975776897835,0.3852129519905591,0.4433270480829193,0.477811834380243,0.5417225808733526,0.10382283322160263,0.06483661917327127,0.07562334122930504,0.0869551669514876,0.09415948167060405,0.109476675369429,0.08740998496108073,0.33097577689781915,0.38521295199053357,0.4433270480829242,0.477811834380229,0.5417225808733469
Var(h(T))/Var(Δy),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04738289938101167,0.03370235117600855,0.09185557379742328,0.1703406342314942,0.44387637544287195,0.7278650373486631,0.06835621453116258,0.06853763603559275,0.1511038274398083,0.2551556172953298,0.5212889964322889,0.8931417133085799,0.04705907832724947,0.017102995752268323,0.08903982247614237,0.14642506266383426,0.3134958149405829,0.5958601199246224,0.07545122822607846,0.06060480635968178,0.11379885582882888,0.21937558860949968,0.376900079732178,0.7322404102567878,0.0009049386918583019,0.00038116268758950903,0.0009248984217165468,0.0017258242997980045,0.002869988597882827,0.006403846885677665,0.0008553389932805943,0.00045175140380315396,0.0012334799127139045,0.0019659624865164976,0.0028444428926593835,0.0035372811797561984
Var(h(T_trend))/Var(Δy),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0468188132778745,0.07142641991298404,0.14162860759864843,0.24204188699902485,0.704047519730362,1.9195995104812582,0.06749159743076555,0.06757599383231154,0.15125248022595925,0.25167772627906637,0.5203021730275472,0.8848289470308818,0.0464387355375657,0.0524236004754457,0.1187557106891062,0.21652455578447244,0.4251271164065279,1.866603061015152,0.07464502475417399,0.059902241025880563,0.11156313693579173,0.21673164197457231,0.3757942213227547,0.7244367566419218,6.044804145649652e-06,6.773859369074072e-07,3.021803369662523e-06,6.160292960138743e-06,2.7645181555237604e-05,0.0029637651494801263,5.35020079727038e-06,0.00017825963742333216,0.0004370329173044044,0.0007807915951639167,0.0012161348438966598,0.002060493713759905
Var(ε)/Var(Δy),0.8143326497437805,0.9070823723396977,0.9271315032242959,0.9341891335072423,0.9459189833428359,0.9720479783598559,0.8143326497437805,0.4928506658088254,0.5374572660084528,0.5635267792455828,0.6216135857281486,0.6709186243721557,0.8137672690931136,0.9750797132524737,1.0380973686050985,1.1432562325420204,1.595550543051933,2.63257653251994,0.813564188756036,0.4935090971411033,0.5370120206847853,0.5631993532085464,0.6217780811076277,0.6722269907094475,0.8137204254073753,0.9637698357759465,1.034378339311829,1.1036103948134541,1.3323708095730191,2.4802967474463,0.8134857808545234,0.49341714081543697,0.537171816051556,0.5628667610218479,0.6224187873677616,0.6719370975909662,0.8134310624741398,0.9065030206072607,0.9278538171824575,0.9348749707577964,0.9454613974000099,0.9716028878951853,0.8134820626095717,0.49257878308711506,0.5372689008373667,0.563345650940527,0.6214214975844263,0.6714835061503872
"2Cov(k,GDP_trend)/Var(Δy)",-4.3181611216613673e-19,-0.0013310040147323395,-0.0006620948258455198,-0.0001663327165486607,6.912649118882882e-05,0.0003514879246182297,-2.8703070985160854e-18,-0.03329549569058133,-0.02706828280227064,-0.023014611130922732,-0.020622742228270766,-0.017207802489233148,-1.722501770956832e-18,-0.0013310040147323512,-0.0006620948258455095,-0.00016633271654866312,6.912649118883208e-05,0.000351487924618242,-4.3062544273920804e-18,-0.03329549569058133,-0.02706828280227064,-0.023014611130922732,-0.020622742228270763,-0.017207802489233155,-2.2607835743808422e-18,-0.0013310040147323304,-0.0006620948258455138,-0.0001663327165486582,6.912649118883224e-05,0.00035148792461822947,-2.1531272136960402e-18,-0.033295495690581337,-0.02706828280227065,-0.02301461113092273,-0.020622742228270766,-0.017207802489233155,4.86976819035159e-19,-0.0013310040147323408,-0.000662094825845517,-0.0001663327165486572,6.912649118882532e-05,0.0003514879246182301,-3.522381551155866e-18,-0.03329549569058134,-0.02706828280227064,-0.02301461113092272,-0.020622742228270763,-0.01720780248923316
"2Cov(k,h(T))/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002441234578655289,-0.0027187418337884907,-0.0015112053812412702,-0.00047812913517097363,1.2278961547590804e-05,0.0012309524672761843,-0.00028251892229820764,-0.0030910356429980916,-0.0014980137825343935,-0.0006137597366783893,-7.81411514769206e-05,0.0017718172624199438,-0.00015800339757189577,-0.003088902209199276,-0.0013581726528888458,-0.00041281874814677285,0.0002268004768215763,0.0024054791662953797,-7.529693550749805e-05,-0.002852109206432606,-0.001540360624690727,-0.0006307140672150351,0.0003166762987229602,0.002395475769561661,-0.0004911107861740905,-0.001720467323914468,-0.000917276087738492,-0.0005383545192073166,-0.00018560729514508273,0.00015271597458229913,-0.0005604624832190822,-0.0020306187167085828,-0.001149686020694143,-0.0006059652652721755,-0.00013644924955140956,0.0006692181561211518
"-2Cov(k,h(T_trend))/Var(Δy)",-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0004109531832610955,-0.001343796166193923,-0.00016688901363983268,0.00014625878584089393,0.0009000574697760936,0.0013998059969694359,-0.0004957586549884191,-0.0024736421642986874,-0.00021227373944552892,0.00034318939958603633,0.0012798881834766203,0.0026572631209874926,-0.0005454809986498772,-0.0021516164446889418,-0.00022929277645164986,6.517448656712972e-05,0.0007152490485201365,0.0013062947212863058,-0.0007700632742517409,-0.0029923835970673603,-0.0004114635145958268,0.0003863641693333827,0.0011978468086556828,0.002687388415874191,-5.545448915978276e-06,-4.2716029260903503e-05,-1.0854302218509942e-05,-2.797743928407876e-07,1.037269193593055e-05,0.0005815705818554896,9.944664809425052e-06,-0.00044516869599280903,-1.7113080783052953e-05,0.00015899875417576208,0.0004974606818484651,0.0010104677457784806
"2Cov(k,ε)/Var(Δy)",-7.740938834272362e-17,-0.0781715049035441,-0.060919874726375785,-0.056346493686845606,-0.04669890774203106,-0.041572878160884764,-9.46185304599329e-17,-0.046113237947398245,-0.03461279531828115,-0.03145009447213814,-0.027140963090018976,-0.02065594746140348,0.0006550766411265265,-0.0775001535931147,-0.06052941136826097,-0.0560568298768946,-0.046102245545572754,-0.04088468017697495,0.0007782775772865436,-0.045643511097652446,-0.03460710351748406,-0.030998865092315926,-0.026778587088004367,-0.020567596227748987,0.000703484396221673,-0.07724633411631612,-0.061132153315499704,-0.05652201504967651,-0.04623863756330976,-0.04075705732245601,0.0008453602097591524,-0.045481364449222184,-0.03456940210905872,-0.03091900450927043,-0.02676651687133564,-0.020652991464253628,0.0004966562350899749,-0.07712024413039467,-0.059916729073270496,-0.05596367709266266,-0.045297645323913824,-0.04137544751705048,0.0005505178184095765,-0.045616873895163876,-0.03418306145021786,-0.031006987161474014,-0.026816749585530156,-0.020726770167109106
"2Cov(GDP_trend,h(T))/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004340127845683158,-0.05219535434147855,-0.025636045643009746,-0.00476676416327197,0.015877347457146668,0.03684683892918843,0.006764266846226912,-0.09496767658022798,-0.050853778061231716,-0.010090017841609535,0.0316859781446983,0.059364792847370715,0.002570128908460347,-0.04902213397396067,-0.010978386775115246,-0.0008918554039069886,0.016954889634562174,0.026898924906130224,0.010187796388611357,-0.07753037478864763,-0.04244400901304991,-0.011425924127979293,0.0267570709240317,0.05281779419928824,0.00021471583737527595,-0.00043054955616898794,6.600307936265914e-05,0.00012448796516144746,0.00023362478191210642,0.0005069005479118639,3.977227718278835e-05,-0.0005689501581612808,4.708743176884251e-05,0.00032070425053033866,0.000903599581597998,0.0025131752031730056
