Metric,Approach NJ: No Climate Response (Joint)_point,Approach NJ: No Climate Response (Joint)_p5,Approach NJ: No Climate Response (Joint)_p25,Approach NJ: No Climate Response (Joint)_p50,Approach NJ: No Climate Response (Joint)_p75,Approach NJ: No Climate Response (Joint)_p95,Approach NP: No Climate Response (Precomputed k)_point,Approach NP: No Climate Response (Precomputed k)_p5,Approach NP: No Climate Response (Precomputed k)_p25,Approach NP: No Climate Response (Precomputed k)_p50,Approach NP: No Climate Response (Precomputed k)_p75,Approach NP: No Climate Response (Precomputed k)_p95,Approach NL: No Climate Response (LOESS Precomputed k)_point,Approach NL: No Climate Response (LOESS Precomputed k)_p5,Approach NL: No Climate Response (LOESS Precomputed k)_p25,Approach NL: No Climate Response (LOESS Precomputed k)_p50,Approach NL: No Climate Response (LOESS Precomputed k)_p75,Approach NL: No Climate Response (LOESS Precomputed k)_p95,Approach QJ: Quadratic (Joint OLS)_point,Approach QJ: Quadratic (Joint OLS)_p5,Approach QJ: Quadratic (Joint OLS)_p25,Approach QJ: Quadratic (Joint OLS)_p50,Approach QJ: Quadratic (Joint OLS)_p75,Approach QJ: Quadratic (Joint OLS)_p95,Approach QP: Quadratic (Polynomial Detrending)_point,Approach QP: Quadratic (Polynomial Detrending)_p5,Approach QP: Quadratic (Polynomial Detrending)_p25,Approach QP: Quadratic (Polynomial Detrending)_p50,Approach QP: Quadratic (Polynomial Detrending)_p75,Approach QP: Quadratic (Polynomial Detrending)_p95,Approach QL: Quadratic (LOESS Detrending)_point,Approach QL: Quadratic (LOESS Detrending)_p5,Approach QL: Quadratic (LOESS Detrending)_p25,Approach QL: Quadratic (LOESS Detrending)_p50,Approach QL: Quadratic (LOESS Detrending)_p75,Approach QL: Quadratic (LOESS Detrending)_p95,Approach PJ: Piecewise (Joint OLS)_point,Approach PJ: Piecewise (Joint OLS)_p5,Approach PJ: Piecewise (Joint OLS)_p25,Approach PJ: Piecewise (Joint OLS)_p50,Approach PJ: Piecewise (Joint OLS)_p75,Approach PJ: Piecewise (Joint OLS)_p95,Approach PP: Piecewise (Polynomial Detrending)_point,Approach PP: Piecewise (Polynomial Detrending)_p5,Approach PP: Piecewise (Polynomial Detrending)_p25,Approach PP: Piecewise (Polynomial Detrending)_p50,Approach PP: Piecewise (Polynomial Detrending)_p75,Approach PP: Piecewise (Polynomial Detrending)_p95,Approach PL: Piecewise (LOESS Detrending)_point,Approach PL: Piecewise (LOESS Detrending)_p5,Approach PL: Piecewise (LOESS Detrending)_p25,Approach PL: Piecewise (LOESS Detrending)_p50,Approach PL: Piecewise (LOESS Detrending)_p75,Approach PL: Piecewise (LOESS Detrending)_p95,Approach DJ: Decay (Joint OLS)_point,Approach DJ: Decay (Joint OLS)_p5,Approach DJ: Decay (Joint OLS)_p25,Approach DJ: Decay (Joint OLS)_p50,Approach DJ: Decay (Joint OLS)_p75,Approach DJ: Decay (Joint OLS)_p95,Approach DP: Decay (Polynomial Detrending)_point,Approach DP: Decay (Polynomial Detrending)_p5,Approach DP: Decay (Polynomial Detrending)_p25,Approach DP: Decay (Polynomial Detrending)_p50,Approach DP: Decay (Polynomial Detrending)_p75,Approach DP: Decay (Polynomial Detrending)_p95,Approach DL: Decay (LOESS Detrending)_point,Approach DL: Decay (LOESS Detrending)_p5,Approach DL: Decay (LOESS Detrending)_p25,Approach DL: Decay (LOESS Detrending)_p50,Approach DL: Decay (LOESS Detrending)_p75,Approach DL: Decay (LOESS Detrending)_p95
Total R²,0.1856673502562166,-0.10546496956343196,-0.019190772221559124,0.0174976110330399,0.043690494095039625,0.07461022266190839,0.1856673502562165,0.008994971777988291,0.0346615929034606,0.0512924484313305,0.056484811544046026,0.07755365851703161,0.1856673502562165,0.3250132689684651,0.37004435817375203,0.4276673800446368,0.4555239882491302,0.5011588175614813,0.1863929345279196,-2.688353448189357,-1.3323391083763538,-0.589677531289049,-0.2677681631569635,-0.044806374061205786,0.1862324748928406,-2.223932805466572,-0.8188774779209032,-0.1775338972076616,-0.08697242183687122,0.0020576883464253036,0.1864353326918248,0.3234111669662053,0.36991891515954495,0.42794209819950335,0.4561999496793431,0.500387834166355,0.1866131871306227,-0.7518038601284257,-0.5856451768120456,-0.2828575600210227,-0.10312798429263065,-0.035499683741515346,0.186279259855845,-2.122834099119509,-0.44336726591266057,-0.17934805940672355,-0.08365396123211237,0.024520090470087512,0.1865137983795735,0.3236434814935454,0.3693246043972608,0.4283844511558112,0.4559608016590359,0.5004409075132336,0.1867068171237245,-0.10638125965096579,-0.019705838705260048,0.01352720944960295,0.03749285828068458,0.07424992069256993,0.1865689084315495,0.009391321766972015,0.0324115010242188,0.0496215235870671,0.05672821216366685,0.07815809215229419,0.1865178841145564,0.3242823189468617,0.3702008869512261,0.4278033178711042,0.45580832771714447,0.5014601665581607
Var(h(T))/Var(Δy),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08708434328262639,0.05529200440077567,0.16479786018371467,0.3737773391432392,0.6566818042492983,1.2026540682991103,0.04738289938101167,0.03370235117600855,0.09185557379742328,0.1703406342314942,0.44387637544287195,0.7278650373486631,0.06835621453116258,0.06853763603559275,0.1511038274398083,0.2551556172953298,0.5212889964322889,0.8931417133085799,0.07178243562240229,0.057846890205101746,0.11878114013306923,0.34569626640999523,0.5435232102163896,0.7294908358657867,0.04705907832724947,0.017102995752268323,0.08903982247614237,0.14642506266383426,0.3134958149405829,0.5958601199246224,0.07545122822607846,0.06060480635968178,0.11379885582882888,0.21937558860949968,0.376900079732178,0.7322404102567878,0.001212205010138548,0.0005580192669965826,0.0015558658220796438,0.003158973260707691,0.005037744935676379,0.013728738688759116,0.0009049386918583019,0.00038116268758950903,0.0009248984217165468,0.0017258242997980045,0.002869988597882827,0.006403846885677665,0.0008553389932805943,0.00045175140380315396,0.0012334799127139045,0.0019659624865164976,0.0028444428926593835,0.0035372811797561984
Var(j)/Var(Δy),0.15929400584918882,0.08856252829979848,0.10735814489971303,0.16226438802656046,0.18977440612687124,0.2457903843906653,0.10382283322159638,0.06483661917328049,0.0756233412293108,0.08695516695149137,0.09415948167060836,0.10947667536942093,0.08740998496107467,0.33097577689780716,0.3852129519905401,0.44332704808291934,0.47781183438024305,0.54172258087335,0.22652245065248153,0.21759406709181017,0.3405591332350886,0.46680587022202896,0.897642167539889,1.470596867908876,0.14656891772385228,0.15834476230833813,0.21041341408709924,0.3163907593860802,0.8234940484989276,2.025640671801124,0.14803909675685692,0.4776731975118976,0.6016384351656869,0.6851489254011918,1.0022821313520236,1.3017981917160066,0.22841939426801108,0.2279572100728617,0.2698759786577457,0.45042882616934443,0.6116537582535237,0.8401768262449241,0.1479911962546153,0.14143413170959598,0.18279852929041238,0.2932575772964533,0.5376270546170953,1.9709674779615418,0.15178591586498702,0.4670243208001581,0.5429885555425442,0.6671568966190651,0.8274105926577555,1.1809061828602456,0.15899080184646155,0.087996768324301,0.11042748193892903,0.16512397379478178,0.18676106199782502,0.2477510195113786,0.10360290349716332,0.06460481774777631,0.07546999248147139,0.08684008578563196,0.09443192493393697,0.10952129703021485,0.08721399003929428,0.33248451502833243,0.3849737078598374,0.4436576179099576,0.47775583456449777,0.5415916238627626
Var(k)/Var(Δy),0.11951981289700775,0.03744257538528961,0.0722245012248611,0.0914497390104303,0.11972990884327157,0.16540435504628517,0.0818445170345976,0.05088772382680545,0.06493679762629719,0.07997864083218825,0.08722419663916225,0.10860614152574624,0.0818445170345976,0.05088772382680545,0.06493679762629719,0.07997864083218825,0.08722419663916225,0.10860614152574624,0.11805755622039607,0.0699203211266359,0.13258336303575838,0.28782932104884384,0.646311900759079,1.378093373129784,0.0818445170345976,0.05088772382680545,0.06493679762629719,0.07997864083218825,0.08722419663916225,0.10860614152574624,0.0818445170345976,0.05088772382680545,0.06493679762629719,0.07997864083218825,0.08722419663916225,0.10860614152574624,0.11506476570864677,0.0831899296856709,0.10685095365607178,0.15001099848420912,0.22789980752722844,0.31638325292032077,0.0818445170345976,0.05088772382680545,0.06493679762629719,0.07997864083218825,0.08722419663916225,0.10860614152574624,0.0818445170345976,0.05088772382680545,0.06493679762629719,0.07997864083218825,0.08722419663916225,0.10860614152574624,0.12021799053662166,0.03865861121163329,0.07279897809903885,0.09188478254146504,0.11718617193602796,0.1702237574381849,0.0818445170345976,0.05088772382680545,0.06493679762629719,0.07997864083218825,0.08722419663916225,0.10860614152574624,0.0818445170345976,0.05088772382680545,0.06493679762629719,0.07997864083218825,0.08722419663916225,0.10860614152574624
Var(ε)/Var(Δy),0.8143326497437805,0.9118874117272917,0.9326986632896418,0.9651899479221924,1.0039524835573446,1.0940026220599535,0.8143326497437805,0.9070823723396977,0.9271315032242959,0.9341891335072423,0.9459189833428359,0.9720479783598559,0.8143326497437805,0.4928506658088254,0.5374572660084528,0.5635267792455828,0.6216135857281486,0.6709186243721557,0.8136070654720816,1.0424426506753788,1.241468680542835,1.4465918683230856,1.9430930270475333,2.6300792490049463,0.8137672690931136,0.9750797132524737,1.0380973686050985,1.1432562325420204,1.595550543051933,2.63257653251994,0.813564188756036,0.4935090971411033,0.5370120206847853,0.5631993532085464,0.6217780811076277,0.6722269907094475,0.8133868128693708,0.9890184236301631,1.0590709018098734,1.2242042483843683,1.4015011020313015,1.6091155863815956,0.8137204254073753,0.9637698357759465,1.034378339311829,1.1036103948134541,1.3323708095730191,2.4802967474463,0.8134857808545234,0.49341714081543697,0.537171816051556,0.5628667610218479,0.6224187873677616,0.6719370975909662,0.8132931828762734,0.9128638507094093,0.9452940804909569,0.9666770049389986,1.0040791656116619,1.094977376319902,0.8134310624741398,0.9065030206072607,0.9278538171824575,0.9348749707577964,0.9454613974000099,0.9716028878951853,0.8134820626095717,0.49257878308711506,0.5372689008373667,0.563345650940527,0.6214214975844263,0.6714835061503872
"2Cov(h(T),j)/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15643864921906062,-1.5281247893616208,-0.9851176175271308,-0.4603120184900464,-0.1874605185615817,-0.058765299940030484,-0.08929671619066709,-0.9901606391790283,-0.4819302338765236,-0.22237548101229831,-0.12218081084572538,-0.04878966141491512,-0.12831604123224497,-1.8670448039220067,-1.0273286535778408,-0.5247035873784255,-0.30057298584050146,-0.14562854285470933,-0.14656564974673558,-0.9455232685928918,-0.6887567760794375,-0.4701477187106021,-0.18309431536085669,-0.05090139105593946,-0.0903160900934803,-0.910194634581418,-0.3635235042187892,-0.19428349718061472,-0.09366857377601863,-0.029823696929862628,-0.139062429234182,-1.5315386978449526,-0.8022294257566459,-0.450263466389649,-0.22730115317748215,-0.12607426761167317,0.00028095324461415734,-0.011793839923500117,-6.0418154333717305e-06,0.00019583900654679962,0.00046896467453749427,0.0017074954098280093,0.00020526142240593067,-0.00535639713658173,6.617957988594276e-05,0.0001220520383076264,0.0002136975498455719,0.0004441742876819416,2.956366558130598e-05,-0.0030821204185263766,-0.001909989368695816,-0.0009545043031873065,-0.0005222120150610323,-4.294176688298891e-05
"2Cov(h(T),k)/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004870778093729107,-0.009833664669581828,-0.0029760063716915176,-0.0008467933496906638,0.0011145097454046417,0.007535044002311294,-0.0002441234578655289,-0.0027187418337884907,-0.0015112053812412702,-0.00047812913517097363,1.2278961547590804e-05,0.0012309524672761843,-0.00028251892229820764,-0.0030910356429980916,-0.0014980137825343935,-0.0006137597366783893,-7.81411514769206e-05,0.0017718172624199438,-0.004574498114675247,-0.012547906429116929,-0.004193476119623892,-0.0012849002828979566,-6.866834161266505e-05,0.004065375274769111,-0.00015800339757189577,-0.003088902209199276,-0.0013581726528888458,-0.00041281874814677285,0.0002268004768215763,0.0024054791662953797,-7.529693550749805e-05,-0.002852109206432606,-0.001540360624690727,-0.0006307140672150351,0.0003166762987229602,0.002395475769561661,-0.0009109966892028917,-0.007097423136352382,-0.001984524749699603,-0.0010097847115405644,-0.0004896568622368408,0.0010974134202219477,-0.0004911107861740905,-0.001720467323914468,-0.000917276087738492,-0.0005383545192073166,-0.00018560729514508273,0.00015271597458229913,-0.0005604624832190822,-0.0020306187167085828,-0.001149686020694143,-0.0006059652652721755,-0.00013644924955140956,0.0006692181561211518
"2Cov(h(T),ε)/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7989474735962604e-15,-0.9212443301894585,-0.5326381050402919,-0.2668543962520576,-0.11681721757806728,-0.0358327136868941,1.2945475185540305e-06,-0.46968016225489156,-0.31223385808685766,-0.13595748195350524,-0.08096046593376369,-0.026778102619960074,-0.001448699755320748,-0.014520806274744627,-0.005287861749236683,1.3005374856770043e-05,0.002827617089939274,0.012235087884293831,-8.041216138388362e-15,-0.6217577199056072,-0.3718248248368045,-0.19117074936348133,-0.08470794572381948,-0.04693372460355107,-7.643794740297394e-06,-0.36101738802903216,-0.24183414971910025,-0.11808139965507794,-0.08410378259849871,-0.015049074079822493,-0.001477924850725263,-0.014721402185613214,-0.0027416203941898025,0.0004632165334806853,0.0045569561911782104,0.011423036406980254,-9.55202641059269e-17,-0.00972253764450486,-0.005371258304119386,-0.00248577292116817,-0.0012074454183671275,2.1971633694445588e-05,4.004051582655835e-06,-0.00437611816880921,-0.002998653388635306,-0.0013585284512724585,-0.000299925043308261,0.001043320340491745,-2.6392921839609032e-05,-0.002449504659845603,-0.0018583694444954577,-0.000893302139211165,-0.00035285901497592666,0.00010133199816631227
"2Cov(j,k)/Var(Δy)",-0.0931464684899772,-0.13048041904173835,-0.08952012275258284,-0.030849310284128982,-0.012823535528776955,-0.008706684093597105,-4.3181611216613673e-19,-0.0013310040147323395,-0.0006620948258455198,-0.0001663327165486607,6.912649118882882e-05,0.0003514879246182297,-2.8703070985160854e-18,-0.03329549569058133,-0.02706828280227064,-0.023014611130922732,-0.020622742228270766,-0.017207802489233148,-0.08396198831476583,-0.5871693204327084,-0.11075123738901206,-0.06824431253252905,-0.02614891164556475,-0.0010875681701439568,-0.00041095318326109725,-0.002052066301481968,-0.000575481414991101,-0.00010376658923792154,0.0003918013633154242,0.001514337522357598,-0.0004957586549884234,-0.03383334791217506,-0.02775422116163412,-0.02235299972710562,-0.020416758556586354,-0.015508250209617169,-0.07751326060702117,-0.19377535170182184,-0.12126918909373931,-0.08075408891170885,-0.0511558491246137,-0.009565177499705108,-0.0005454809986498794,-0.002814564665488811,-0.0007543351917440185,-0.0003361278030763942,0.00041344853421686526,0.0013122030399451696,-0.000770063274251743,-0.033887932538965264,-0.02769191253864845,-0.02268091908386363,-0.0205912638903129,-0.015524098975580873,-0.09308413682487747,-0.13029935684764116,-0.08825824150862836,-0.031094673788985325,-0.01398929772674045,-0.008490354822030779,-5.5454489159777885e-06,-0.0013915480601796569,-0.0005208379976802283,-3.711735670242797e-05,0.00014967061493999215,0.0004036957492946362,9.94466480942153e-06,-0.03349474714411792,-0.027050823234271822,-0.022692707925806098,-0.020571642562978873,-0.01644781689820569
"2Cov(j,ε)/Var(Δy)",-8.743920658095425e-15,-0.2820280793400695,-0.15156553258723052,-0.1214803435464866,-0.07343720710936379,-0.04507928293799492,1.2008298060384773e-17,-0.07126502309129827,-0.05619286115938124,-0.044327815699858976,-0.03208680527575022,-0.01843299339322959,0.01641284826051529,-0.061104866260695605,-0.04645262085125029,-0.03172785278123302,-0.02266150886460974,-0.01084714072361643,2.4800875784254348e-14,-1.3602427743403462,-0.5941755230046106,-0.2954388437568737,-0.13869152821994596,-0.021703508027291894,-0.0002681815894287667,-2.88882390737429,-1.245259318677494,-0.317518779892293,-0.12288499276799857,-0.05191884657190547,0.0179607239088903,-0.07240314906943594,-0.05018848196446263,-0.030784977666323945,-0.022004030727111407,-0.008833296174016516,-1.3210804328976365e-14,-0.6436914019756982,-0.39355970496453,-0.19283121840947542,-0.11026467101524534,-0.07266638262161985,-0.00029148313563661364,-2.815648264886369,-0.6849714965334142,-0.22890747579298784,-0.12666378743765616,-0.04649161076346114,0.017972912104710154,-0.07123848765805448,-0.04812350612291809,-0.03162044432272614,-0.02251657602647021,-0.00910421929759263,-4.441406520263136e-15,-0.28411908621894305,-0.15936316902714387,-0.12499481456651959,-0.07456761784862775,-0.0457488334424624,7.312828223482463e-06,-0.07539829214633181,-0.056160459826149964,-0.04431446708497229,-0.032161046782433256,-0.0184439130827851,0.016600920579482602,-0.06119908850920879,-0.04638561989514363,-0.031645180688833374,-0.0225653508057123,-0.010793017298803166
