Approach,h1_point,h1_p5,h1_p25,h1_p50,h1_p75,h1_p95,h2_point,h2_p5,h2_p25,h2_p50,h2_p75,h2_p95,T_opt_point,T_opt_p5,T_opt_p25,T_opt_p50,T_opt_p75,T_opt_p95,total_r_squared_point,total_r_squared_p5,total_r_squared_p25,total_r_squared_p50,total_r_squared_p75,total_r_squared_p95,h4_point,h4_p5,h4_p25,h4_p50,h4_p75,h4_p95
Approach NJ: No Climate Response (Joint),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.1856673502562165,-0.4393461258474767,-0.0608979396341046,0.0101685565859238,0.0416817769515496,0.0746102224775262,,,,,,
Approach NP: No Climate Response (Precomputed k),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.1856673502562165,,,,,,,,,,,
Approach NL: No Climate Response (LOESS Precomputed k),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.1856673502562161,,,,,,,,,,,
Approach QJ: Quadratic (Joint OLS),0.0080710287777554,0.0032056358893915,0.0062509116755697,0.0093952965223408,0.0124301429917186,0.0148634654229388,-0.0002772024212301,-0.0004842283850087,-0.0003910360541168,-0.0002684803843125,-0.000137337456131,-2.6973926738833078e-05,14.558005557704702,6.940358476629659,10.423017419873464,17.00228762394999,29.529637681791066,85.71826240602087,0.1863929345279193,-2.688354254276968,-1.3323390688910988,-0.5896776061528728,-0.2677682704083348,-0.0448063919965875,,,,,,
Approach QP: Quadratic (Polynomial Detrending),0.0066278292382964,0.0022163870435389,0.0051695815311476,0.0072168464752239,0.0098207118496426,0.0124562640537751,-0.0002148220399418,-0.000345162827249,-0.0002890232213527,-0.000229723340415,-0.0001103174698964,-3.141577028324433e-05,15.42632506443603,7.639357274423784,11.64057090208761,18.87066509899499,28.82305477522969,72.62146242881737,0.1862324748928403,-2.018099234233839,-0.605259390312362,0.2299166172248983,0.2975132590916877,0.4256264864775154,,,,,,
Approach QL: Quadratic (LOESS Detrending),0.0079117568999836,0.0034118158731159,0.0066999377758129,0.0092089194648012,0.0123454375402702,0.0144606670035055,-0.0002574614600677,-0.0004342675107703,-0.0003499519639127,-0.0002778064891701,-0.0001723240767364,-2.4672830092652788e-05,15.364934421452588,9.261879580486314,12.05776163836502,17.85283160938843,28.59149988374729,122.55583470558174,0.1864353326918246,0.581405199150839,0.6434873091653796,0.6761346186919126,0.719583086139239,0.73192012893802,,,,,,
Approach PJ: Piecewise (Joint OLS),0.0,0.0,0.0,0.0,0.0,0.0,-0.0001275514243508,-0.001215880540537,-0.000286998355749,-0.0001854624169169,-0.0001105026946464,-1.80163698805624e-05,22.785919387927915,2.195876830026951,15.82356542045515,22.780169955950026,25.90425868139399,27.30113064348979,0.1866131871306225,-0.7518030753375186,-0.5856446125995975,-0.2828577002809574,-0.103127943384537,-0.0354996108878882,-0.0012598935581561,-0.0125311616529581,-0.0040299442691645,-0.0017841852182169,-0.000930817354573,-2.97461226936262e-05
Approach PP: Piecewise (Polynomial Detrending),0.0,0.0,0.0,0.0,0.0,0.0,-0.000161550731394,-0.0003941871653493,-0.0002684533828646,-0.0001588583196797,-9.756363019386984e-05,3.6992165581889767e-06,16.59324127821702,15.0,15.0,15.0,15.0,15.0,0.1862837656743137,-0.0852545640973314,0.2163887427437771,0.3208808776222215,0.4034404168835857,0.4612663390242104,-0.0003089367506966,-0.0006105399361446,-0.0004224072688962,-0.0001926308754258,-5.39944870050492e-05,9.852527563961414e-05
Approach PL: Piecewise (LOESS Detrending),0.0,0.0,0.0,0.0,0.0,0.0,-0.0001897918532652,-0.0004428449117828,-0.0002935516871597,-0.0002022697111416,-0.0001259037057638,-5.339770315512909e-05,16.83581588412889,15.0,15.0,15.0,15.0,15.0,0.1865137981058945,0.5815882850665837,0.6438272276745645,0.6761300461283388,0.7196279248844036,0.7317882648110929,-0.0003854001727049,-0.0007189068184122,-0.0005038897385527,-0.0002711682739328,-0.0001153462203131,8.130651716026213e-05
Approach DJ: Decay (Joint OLS),0.0093286001233711,0.0029602474183665,0.0068036551181354,0.0092742022098111,0.0138849254482114,0.0155773082218094,-0.0002668950703738,-0.0005313818700481,-0.0003907083664903,-0.0002813112949913,-6.605238245472093e-05,1.950316493238747e-05,17.476156660189886,-84.28680033455566,10.393337158551336,16.926959980703707,27.795739068004465,117.93383953900492,0.186706817123724,-0.1063812638719819,-0.0197058288020636,0.0135272072861165,0.0374928560102933,0.0742499206654856,0.5969775416515064,6.3442147613127944e-09,0.2356030590875285,0.5201617340171567,0.8161281877218592,0.9999999746818348
Approach DP: Decay (Polynomial Detrending),0.0081722343901577,0.0022349832782087,0.0054860345108566,0.0089538476475779,0.0115434823449311,0.0127275666724824,-0.0002214722359712,-0.000389097903348,-0.0002900536835307,-0.0002241028409235,-8.4186971619553e-05,-2.949912769315596e-05,18.449794292088928,5.511839475500874,12.728679287509935,20.51832378409864,43.46844209429703,73.84250258859507,0.1865689084315493,0.3993359663758611,0.4354142705238222,0.4508228639743737,0.4865756227908899,0.5318860458689175,0.6192223818910972,6.3442147613127944e-09,0.3572834484677561,0.5520303908957129,0.7884232533784603,0.9999999746818348
