Metric,Approach NJ_point,Approach NJ_p5,Approach NJ_p25,Approach NJ_p50,Approach NJ_p75,Approach NJ_p95,Approach QJ_point,Approach QJ_p5,Approach QJ_p25,Approach QJ_p50,Approach QJ_p75,Approach QJ_p95,Approach PJ_point,Approach PJ_p5,Approach PJ_p25,Approach PJ_p50,Approach PJ_p75,Approach PJ_p95,Approach DJ_point,Approach DJ_p5,Approach DJ_p25,Approach DJ_p50,Approach DJ_p75,Approach DJ_p95
Var(h(T))/Var(Δy),0.0,0.0,0.0,0.0,0.0,0.0,0.08708434328404989,0.055292056286333324,0.1647978603489995,0.37377733953669706,0.6566817991822744,1.2026540728745907,0.07178243603768295,0.05784689343919291,0.11878114033968643,0.3456962664705194,0.5435231827655811,0.7294909716529886,0.0012122050217930945,0.0005580192676434758,0.0015558658579615406,0.0031589732324226,0.005037744924840492,0.013728738691412948
Var(j)/Var(Δy),0.15929400584916342,0.09491471749449357,0.11708830995898184,0.17482560496267174,0.2220102605663918,0.6317520187266907,0.2265224506538796,0.2175940910283878,0.34055911127359406,0.4668059851248492,0.8976456957512066,1.4705967482689775,0.2284193907584994,0.2279571996465975,0.2698759702762995,0.4504288244203716,0.6116536727980975,0.840176936788547,0.15899080177302422,0.08799676832686837,0.11042748210733414,0.16512397708790877,0.18676106216835903,0.24775103242029128
Var(k)/Var(Δy),0.11951981289700775,0.03744257537295473,0.07222450122508352,0.09144973902809694,0.11972990906350733,0.16540435514493118,0.11805755622029439,0.06992032091981282,0.13258336254919467,0.2878293195612611,0.6463119019975301,1.3780933755294575,0.11506476588193244,0.08318992944274814,0.10685095380713433,0.15001099766775572,0.22789982920409924,0.31638332421849363,0.12021799067261672,0.038658611163288954,0.07279897798296006,0.09188478253282235,0.11718617193508743,0.17022375733670841
Var(ε)/Var(Δy),0.8143326497437805,0.9118874118472877,0.9450669843161612,0.9749491534042763,1.0521917620882835,1.4295411173052834,0.8136070654720816,1.042442670967282,1.24146869005257,1.4465919484735854,1.943093437505277,2.6300776044136183,0.8133868128693708,0.9890182701080498,1.0590708639256627,1.2242043007067305,1.4015012130784963,1.6091149485100038,0.8132931828762734,0.912863850587756,0.9452940803450989,0.9666770115235876,1.0040791427779052,1.0949773767837037
"2Cov(h(T),j)/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,-0.15643864922190762,-1.5281253848820877,-0.9851171453581029,-0.4603119902447089,-0.18746050117026508,-0.058765306009008485,-0.14656564645214698,-0.9455235122048664,-0.6887569316628955,-0.4701477081353458,-0.1830943540906261,-0.050901395663351154,0.00028095330443066434,-0.011793844303964449,-6.041801836517127e-06,0.00019583901217162992,0.00046896468818622946,0.0017074953725081644
"2Cov(h(T),k)/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,-0.004870778093750297,-0.009833664672575012,-0.0029760063603600814,-0.0008467933618351101,0.0011145097381883911,0.007535044028112975,-0.004574498592646793,-0.012547906159433703,-0.004193476122025362,-0.001284900288884346,-6.866819718355673e-05,0.004065375296725755,-0.0009109968530897913,-0.007097423139490961,-0.0019845247565211197,-0.0010097848157583646,-0.0004896568705013087,0.001097413420518225
"2Cov(h(T),ε)/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,-1.450079146170326e-14,-0.9212446216889836,-0.5326393141092509,-0.266854425410443,-0.11681710467351028,-0.03583276412094777,-8.627431911601666e-17,-0.6217574864895619,-0.3718249556950114,-0.19117051687169664,-0.0847079688072924,-0.04693371150782682,8.81285883035536e-17,-0.009722534819327106,-0.00537125869908859,-0.0024857718531009643,-0.0012074454648951368,2.1971641481610354e-05
"2Cov(j,k)/Var(Δy)",-0.0931464684899772,-0.1330524947939458,-0.08952010781803625,-0.030849311988423445,-0.012475520154407985,-0.003913678546670033,-0.08396198831461331,-0.5871693970986284,-0.11075129949421167,-0.06824432259232593,-0.02614894971321295,-0.00108756585376553,-0.07751326050269897,-0.1937753489753342,-0.1212692607090234,-0.08075408049272426,-0.051155880112624244,-0.009565180759328249,-0.09308413679503481,-0.1302993397857224,-0.08825824132943262,-0.03109467536973341,-0.01398929771571903,-0.008490354818986275
"2Cov(j,ε)/Var(Δy)",1.4803672362966145e-16,-1.048869793523171,-0.24915602419448557,-0.12756481963366562,-0.076667667869876,-0.0548165534550486,-3.8502756636554703e-16,-1.3602460040288131,-0.5941763987026747,-0.29543882463721227,-0.13869136954018518,-0.021703577441583917,6.685529454242775e-17,-0.6436918095830003,-0.39355960428230763,-0.1928310867890734,-0.11026469108739337,-0.07266634098622553,1.2451544599049425e-16,-0.28411920156524195,-0.15936319228877036,-0.12499481437742288,-0.07456761806061485,-0.04574883345370661
"2Cov(k,ε)/Var(Δy)",-8.33151087002899e-17,-0.11549717624038745,-0.07088065086941266,-0.042955050205829404,-0.02189781894496316,-0.012127390360307886,-1.8268361639405032e-16,-2.5146442332641072,-0.8160518610898715,-0.3346455424741617,-0.08561114538188336,-0.01619495141487779,-1.3086568293411389e-16,-0.4048878967288946,-0.23519333942434117,-0.11239549457513193,-0.06342583900298096,-0.02818050022186062,-8.008918833293112e-17,-0.12226657124772167,-0.07547700882825285,-0.04059744829541426,-0.021425497206356454,-0.012654333791226838
